formal_vector_id,candidate_q_vector_id,request_id,W,K,qP,qC,qT,qV,state_line_role,request_role,archetype,center_id,same_parameter_parent_id,materialize,baseline_reuse,selection_reason,warnings
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,120,3,0.2,0.2,0.2,0.2,S_PCT|S_PCVT,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T20_V20,false,true,mandatory_coordinate_neighbor,[]
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,120,3,0.2,0.2,0.2,0.3,S_PCVT,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,W120_K3_P20_C20_T20_V20,true,false,passed_hard_gates_pareto_and_deterministic_tie_break,"[""V_selectivity_reduced_but_guard_passed""]"
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,120,3,0.2,0.2,0.25,0.2,S_PCT,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T25_V20,true,false,passed_hard_gates_pareto_and_deterministic_tie_break,"[""affected_lift_deterioration_vs_baseline""]"
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,120,3,0.2,0.2,0.2,0.25,S_PCVT,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,W120_K3_P20_C20_T20_V20,true,false,mandatory_coordinate_neighbor,"[""failed_hard_gate:material_advantage""]"
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,120,3,0.2,0.2,0.3,0.2,S_PCT,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T30_V20,true,false,mandatory_coordinate_neighbor,[]
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,250,3,0.2,0.2,0.2,0.2,S_PCT|S_PCVT,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T20_V20,false,true,mandatory_coordinate_neighbor,[]
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,250,3,0.2,0.2,0.2,0.3,S_PCVT,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20,true,false,passed_hard_gates_pareto_and_deterministic_tie_break,"[""V_selectivity_reduced_but_guard_passed""]"
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,250,3,0.2,0.2,0.25,0.2,S_PCT,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T25_V20,true,false,passed_hard_gates_pareto_and_deterministic_tie_break,"[""affected_lift_deterioration_vs_baseline""]"
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,250,3,0.2,0.2,0.2,0.25,S_PCVT,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20,true,false,mandatory_coordinate_neighbor,"[""failed_hard_gate:material_advantage""]"
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,R1-T14-01-R1-T14-01-20260710T2113Z-R0-T15,250,3,0.2,0.2,0.3,0.2,S_PCT,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T30_V20,true,false,mandatory_coordinate_neighbor,[]
