state_name,eligible_day_count,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_day_count,raw_state_false_day_count,raw_state_null_day_count,confirmed_state_true_day_count,confirmed_state_false_day_count,confirmed_state_null_day_count,unique_security_count_raw_true,unique_security_count_confirmed_true,nonzero_year_count_raw,nonzero_year_count_confirmed,candidate_config_id,W,q,K,raw_coverage,confirmed_coverage,year_coverage_raw,year_coverage_confirmed,unknown_ratio,blocked_ratio,diagnostic_required_ratio,raw_segment_count,raw_fragment_rate,raw_average_duration,raw_fragment_denominator_zero,raw_duration_denominator_zero,confirmed_interval_count,confirmed_interval_total_days,confirmed_interval_average_duration,unique_security_count_confirmed_interval,nonzero_year_count_confirmed_interval,confirmed_interval_status
S_P,1730769,1423262,306677,830,0,196350,1423262,111157,0,1423262,307507,794,0,11,0,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.1134466817928909,0.0,1.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,26842,0.1367048637636873,7.315028686387006,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K2_WEAK_D010,120,0.1,2,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1423262,306677,830,0,196350,1423262,111157,0,1423262,307507,794,0,11,0,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.1134466817928909,0.0,1.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,26842,0.1367048637636873,7.315028686387006,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCT,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_PCVT,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K3_WEAK_D010,120,0.1,3,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
S_P,1730769,1423262,306677,830,0,196350,1423262,111157,0,1423262,307507,794,0,11,0,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.1134466817928909,0.0,1.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,26842,0.1367048637636873,7.315028686387006,False,False,0,0,,0,0,zero_confirmed_input_fact
S_PC,1730769,1423262,306677,830,0,0,1423262,307507,0,1423262,307507,0,0,0,0,R0_W120_Q10_K5_WEAK_D010,120,0.1,5,0.0,0.0,0.0,0.0,0.17719117918104613,0.00047955561949630484,0.0,0,,,True,True,0,0,,0,0,zero_confirmed_input_fact
