task_id,run_id,code_commit,state_line,comparison_id,reference_config_id,challenger_config_id,comparison_role,analysis_level,both_true,reference_only,challenger_only,both_false,common_valid_denominator,union_true,jaccard,reference_containment,challenger_containment,both_onset,reference_only_onset,challenger_only_onset,onset_jaccard
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,PCT_W250K3_vs_W120K3,R0_W250_Q20_K3_WEAK_D010,R0_W120_Q20_K3_WEAK_D010,reference_vs_fast_challenger,raw,21488,13127,14745,1453718,1503078,49360,0.4353322528363047,0.6207713419037989,0.5930505340435515,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,PCT_W250K3_vs_W120K3,R0_W250_Q20_K3_WEAK_D010,R0_W120_Q20_K3_WEAK_D010,reference_vs_fast_challenger,confirmed,5530,5324,5814,1486410,1503078,16668,0.33177345812335013,0.5094895890915792,0.4874823695345557,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,PCT_W120K3_vs_W120K2,R0_W120_Q20_K3_WEAK_D010,R0_W120_Q20_K2_WEAK_D010,k_confirmation_sidecar,raw,39800,0,0,1562932,1602732,39800,1.0,1.0,1.0,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,PCT_W120K3_vs_W120K2,R0_W120_Q20_K3_WEAK_D010,R0_W120_Q20_K2_WEAK_D010,k_confirmation_sidecar,confirmed,12480,0,9721,1580531,1602732,22201,0.5621368406828521,1.0,0.5621368406828521,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W120K3,R0_W250_Q20_K3_WEAK_D010,R0_W120_Q20_K3_WEAK_D010,reference_vs_short_window,raw,3993,3867,6267,1488569,1502696,14127,0.2826502442132087,0.5080152671755725,0.38918128654970763,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W120K3,R0_W250_Q20_K3_WEAK_D010,R0_W120_Q20_K3_WEAK_D010,reference_vs_short_window,confirmed,839,1304,1964,1498589,1502696,4107,0.20428536644752862,0.39150723285114325,0.2993221548341063,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W500K3,R0_W250_Q20_K3_WEAK_D010,R0_W500_Q20_K3_WEAK_D010,reference_vs_long_window,raw,3576,3659,2583,1302713,1312531,9818,0.36422896720309633,0.49426399447131997,0.5806137359961032,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W500K3,R0_W250_Q20_K3_WEAK_D010,R0_W500_Q20_K3_WEAK_D010,reference_vs_long_window,confirmed,819,1157,877,1309678,1312531,2853,0.2870662460567823,0.4144736842105263,0.4829009433962264,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W250K5,R0_W250_Q20_K3_WEAK_D010,R0_W250_Q20_K5_WEAK_D010,k_confirmation_sidecar,raw,7860,0,0,1495506,1503366,7860,1.0,1.0,1.0,,,,
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,PCVT_W250K3_vs_W250K5,R0_W250_Q20_K3_WEAK_D010,R0_W250_Q20_K5_WEAK_D010,k_confirmation_sidecar,confirmed,587,1556,0,1501223,1503366,2143,0.2739150723285114,0.2739150723285114,1.0,,,,
