task_id,run_id,code_commit,state_line,candidate_config_id,profile_role,W,q,K,analysis_level,duration_unit,count,mean,std,min,q10,q25,q50,q75,q90,q95,q99,max,open_interval_count,termination_distribution_json
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,eligible_trading_observations,15136,2.2869318181818183,1.7009462205399801,1,1,1,2,3,4,6,9,23,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,confirmed,eligible_trading_observations,4884,2.2223587223587224,1.7174173960605215,1,1,1,2,3,4,6,9,21,0,"{""raw_state_false"": 4884}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W120_Q20_K3_WEAK_D010,fast_structural_convergence_challenger,120,0.2,3,raw,eligible_trading_observations,17599,2.2614921302346724,1.7210352516947045,1,1,1,2,3,4,6,9,20,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W120_Q20_K3_WEAK_D010,fast_structural_convergence_challenger,120,0.2,3,confirmed,eligible_trading_observations,5528,2.2575976845151953,1.7679361232589026,1,1,1,2,3,4,6,9,18,0,"{""raw_state_blocked"": 1, ""raw_state_false"": 5527}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W250_Q20_K3_WEAK_D010,reference_depletion_profile,250,0.2,3,raw,eligible_trading_observations,3747,2.0976781425140114,1.5174945103202426,1,1,1,2,3,4,5,7,14,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W250_Q20_K3_WEAK_D010,reference_depletion_profile,250,0.2,3,confirmed,eligible_trading_observations,1024,2.0927734375,1.5317386805749214,1,1,1,2,3,4,5,8,12,0,"{""raw_state_false"": 1024}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W120_Q20_K3_WEAK_D010,short_window_counterfactual,120,0.2,3,raw,eligible_trading_observations,5170,2.0827852998065763,1.5166942223881956,1,1,1,2,3,4,5,8,15,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W120_Q20_K3_WEAK_D010,short_window_counterfactual,120,0.2,3,confirmed,eligible_trading_observations,1426,2.0624123422159886,1.5326723140108207,1,1,1,2,3,4,5,8,13,0,"{""raw_state_false"": 1426}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W120_Q20_K2_WEAK_D010,k2_confirmation_sidecar,120,0.2,2,raw,eligible_trading_observations,17599,2.2614921302346724,1.7210352516947045,1,1,1,2,3,4,6,9,20,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCT,R0_W120_Q20_K2_WEAK_D010,k2_confirmation_sidecar,120,0.2,2,confirmed,eligible_trading_observations,9721,2.2838185371875324,1.7399903225660207,1,1,1,2,3,4,6,9,19,0,"{""raw_state_blocked"": 1, ""raw_state_false"": 9720}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W500_Q20_K3_WEAK_D010,long_window_sidecar,500,0.2,3,raw,eligible_trading_observations,2870,2.145993031358885,1.4893404118175233,1,1,1,2,3,4,5,8,12,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W500_Q20_K3_WEAK_D010,long_window_sidecar,500,0.2,3,confirmed,eligible_trading_observations,862,1.9675174013921113,1.450335572222706,1,1,1,1,2,4,5,8,10,0,"{""raw_state_false"": 862}"
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W250_Q20_K5_WEAK_D010,stricter_confirmation_sidecar,250,0.2,5,raw,eligible_trading_observations,3747,2.0976781425140114,1.5174945103202426,1,1,1,2,3,4,5,7,14,0,{}
R1-T04,R1-T04-20260710T0700Z,c443e05a603b35a5c3956d61532130cf5edbe41d,S_PCVT,R0_W250_Q20_K5_WEAK_D010,stricter_confirmation_sidecar,250,0.2,5,confirmed,eligible_trading_observations,275,2.1345454545454547,1.556739314283022,1,1,1,2,3,4,5,7,10,0,"{""raw_state_false"": 275}"
