task_id,run_id,code_commit,state_line,candidate_config_id,profile_role,W,q,K,analysis_level,year,eligible_day_count,state_true_day_count,coverage,unique_security_count,onset_count,segment_or_interval_count,duration_total_days,year_share_of_state_days,nonzero_year_count,max_year_share,year_hhi
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2017,133205,1181,0.0088660335572989,210,503,503,1181,0.034118156868409646,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2018,142250,1788,0.012569420035149385,334,803,803,1788,0.05165390726563628,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2019,153590,4700,0.030600950582720228,546,2134,2134,4700,0.13577928643651596,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2020,162718,2235,0.01373541956022075,407,995,995,2235,0.06456738408204536,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2021,173268,3030,0.017487360620541587,497,1418,1418,3030,0.08753430593673263,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2022,180738,4460,0.024676603702597128,594,1873,1873,4460,0.1288458760652896,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2023,187126,7212,0.038540876201062384,701,3053,3053,7212,0.20834898165535173,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2024,190070,2058,0.010827589835323828,408,943,943,2058,0.059453993933265926,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2025,192701,7294,0.03785138634464793,724,3128,3128,7294,0.21071789686552073,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,raw,2026,92686,657,0.007088449172474807,180,286,286,657,0.018980210891232124,10,0.21071789686552073,0.14240700698751244
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,confirmed,2017,133205,391,0.002935325250553658,111,163,163,391,0.03602358577482956,10,0.21715496591118483,0.1464065880834076
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,confirmed,2018,142250,531,0.0037328646748681898,174,244,244,531,0.04892205638474295,10,0.21715496591118483,0.1464065880834076
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,confirmed,2019,153590,1373,0.008939384074484016,383,677,677,1373,0.12649714391007924,10,0.21715496591118483,0.1464065880834076
R1-T04,R1-T04-20260710T0810Z,3b72e127b7ffaaa82d22e4defc6da8cf9cd0e38c,S_PCT,R0_W250_Q20_K3_WEAK_D010,reference_baseline,250,0.2,3,confirmed,2020,162718,691,0.0042466107007214935,223,303,303,691,0.0636631656532154,10,0.21715496591118483,0.1464065880834076
