layer,role,indicator_id,W,total_row_count,eligible_count,ineligible_count,valid_count,unknown_count,diagnostic_required_count,blocked_count,eligible_ratio,percentile_mean,percentile_std,percentile_q01,percentile_q05,percentile_q10,percentile_q20,percentile_q30,percentile_q50,percentile_q90,percentile_q95,percentile_q99,score_mean,score_std,score_q01,score_q05,score_q10,score_q20,score_q30,score_q50,score_q90,score_q95,score_q99,percentile_tail_extreme_ratio,reference_observation_count_min,reference_observation_count_max,score_formula_mismatch_count,percentile_bounds_violation_count,current_value_in_reference_set_true_count,non_midrank_tie_method_count
C,A,C1_LogMASpread_5_60,120,1730769,1587742,143027,1587742,143027,0,0,0.9173621667594,0.4871483580666495,0.31304331531614826,0.0,0.016666666666666666,0.058333333333333334,0.15833333333333333,0.25833333333333336,0.475,0.9333333333333333,0.9833333333333333,1.0,0.512851641933351,0.3130433153161487,0.0,0.01666666666666672,0.06666666666666665,0.18333333333333335,0.30000000000000004,0.525,0.9416666666666667,0.9833333333333333,1.0,0.09330924041815358,120,120,0,0,0,0
C,A,C1_LogMASpread_5_60,250,1730769,1484607,246162,1484607,246162,0,0,0.857773047703073,0.49585997641122376,0.30190014538093046,0.0,0.032,0.08,0.18,0.284,0.496,0.9160000000000001,0.968,1.0,0.5041400235887773,0.30190014538093113,0.0,0.03200000000000003,0.08399999999999996,0.18799999999999994,0.29200000000000004,0.504,0.92,0.968,1.0,0.052899521556883405,250,250,0,0,0,0
C,A,C1_LogMASpread_5_60,500,1730769,1287635,443134,1287635,443134,0,0,0.7439669880844872,0.4939755893556682,0.29735831556059106,0.004,0.038,0.084,0.182,0.284,0.492,0.908,0.96,1.0,0.5060244106443348,0.29735831556059167,0.0,0.040000000000000036,0.09199999999999997,0.19399999999999995,0.30000000000000004,0.508,0.916,0.962,0.996,0.03967350996206223,500,500,0,0,0,0
C,B,C2_AdjVWAPSpread_5_60,120,1730769,1563558,167211,1563558,134706,0,32505,0.9033891871185583,0.49415979452001596,0.31423279794148523,0.0,0.016666666666666666,0.058333333333333334,0.15833333333333333,0.26666666666666666,0.49166666666666664,0.9416666666666667,0.9916666666666667,1.0,0.5058402054799879,0.31423279794148573,0.0,0.008333333333333304,0.05833333333333335,0.16666666666666663,0.2833333333333333,0.5083333333333333,0.9416666666666667,0.9833333333333334,1.0,0.0927467992872666,120,120,0,0,0,0
C,B,C2_AdjVWAPSpread_5_60,250,1730769,1460423,270346,1460423,237841,0,32505,0.8438000680622313,0.4996281077468101,0.3029375788016888,0.0,0.032,0.08,0.18,0.284,0.5,0.92,0.972,1.0,0.50037189225319,0.30293757880168926,0.0,0.028000000000000025,0.07999999999999996,0.18400000000000005,0.28800000000000003,0.5,0.92,0.968,1.0,0.05275389390608064,250,250,0,0,0,0
C,B,C2_AdjVWAPSpread_5_60,500,1730769,1263482,467287,1263482,434782,0,32505,0.7300119195571448,0.49494224373594614,0.2973737921819457,0.004,0.03799999999999999,0.084,0.184,0.284,0.492,0.91,0.96,0.998,0.5050577562640584,0.2973737921819466,0.0020000000000000018,0.040000000000000036,0.08999999999999997,0.19399999999999995,0.29800000000000004,0.508,0.916,0.962,0.996,0.03941646972414328,500,500,0,0,0,0
P,A,P1_NATR14,120,1730769,1623605,107164,1623605,107164,0,0,0.9380830139666241,0.47235299944678877,0.32936659736323065,0.0,0.0,0.025,0.10833333333333334,0.225,0.4583333333333333,0.9416666666666667,0.9833333333333332,1.0,0.5276470005531916,0.32936659736323015,0.0,0.01666666666666672,0.05833333333333335,0.16666666666666663,0.29166666666666663,0.5416666666666667,0.9749999999999999,1.0,1.0,0.12449641384450036,120,120,0,0,0,0
P,A,P1_NATR14,250,1730769,1520247,210522,1520247,210522,0,0,0.8783650504486734,0.4864552404970483,0.31983461870013596,0.0,0.008,0.04,0.136,0.248,0.488,0.9320000000000002,0.976,1.0,0.5135447595029463,0.31983461870013613,0.0,0.02400000000000002,0.06799999999999995,0.17200000000000004,0.28,0.512,0.96,0.992,1.0,0.0835160339076479,250,250,0,0,0,0
P,A,P1_NATR14,500,1730769,1322929,407840,1322929,407840,0,0,0.7643590796923218,0.48993991514281543,0.31383011603870137,0.0,0.016,0.054,0.15,0.258,0.492,0.922,0.968,0.998,0.5100600848571772,0.3138301160387018,0.0020000000000000018,0.03200000000000003,0.07799999999999996,0.17600000000000005,0.28200000000000003,0.508,0.946,0.984,1.0,0.06474950658727717,500,500,0,0,0,0
P,B,P2_LogRange20,120,1730769,1619612,111157,1619612,111157,0,0,0.9357759469923485,0.4881542307663944,0.30904383438767474,0.0,0.020833333333333332,0.0625,0.16250000000000003,0.26666666666666666,0.48333333333333334,0.925,0.9791666666666666,1.0,0.5118457692336076,0.30904383438767463,0.0,0.02083333333333337,0.07499999999999996,0.1875,0.30000000000000004,0.5166666666666666,0.9375,0.9791666666666666,1.0,0.0728878274549707,120,120,0,0,0,0
P,B,P2_LogRange20,250,1730769,1516287,214482,1516287,214482,0,0,0.8760770501436067,0.49448547669406273,0.30337516330173614,0.002,0.028,0.072,0.174,0.28,0.494,0.9160000000000001,0.968,1.0,0.5055145233059393,0.3033751633017352,0.0,0.03200000000000003,0.08399999999999996,0.18799999999999994,0.29200000000000004,0.506,0.9279999999999999,0.972,0.998,0.05549213308562297,250,250,0,0,0,0
