layer,indicator_a,indicator_b,W,eligible_rows,unique_security_count,pooled_spearman_score,pooled_spearman_percentile,security_spearman_computable_count,security_spearman_q25,security_spearman_median,security_spearman_q75,positive_security_share,negative_security_share,zero_security_share,pooled_vs_security_median_sign_consistency
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,1563558,795,0.9048447469786061,0.9048447469786063,795,0.8755855678746176,0.9132707992266654,0.9395645805887873,1.0,0.0,0.0,true
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,1460423,792,0.9193580804801837,0.9193580804801839,792,0.8960253318097415,0.9277274524968003,0.9486058742008651,1.0,0.0,0.0,true
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,1263482,783,0.9263820333057526,0.9263820333057528,783,0.9005343116921509,0.9345305368901929,0.9550997155473864,1.0,0.0,0.0,true
P,P1_NATR14,P2_LogRange20,120,1619612,798,0.6848146937973416,0.6848146937973407,798,0.6303773774512471,0.6886183515335579,0.7384048977089516,0.9987468671679198,0.0012531328320802004,0.0,true
P,P1_NATR14,P2_LogRange20,250,1516287,792,0.7280039875198852,0.7280039875198852,792,0.6743959004073579,0.7352697209894865,0.7762963867283483,1.0,0.0,0.0,true
P,P1_NATR14,P2_LogRange20,500,1319004,785,0.7573603883092905,0.7573603883092905,785,0.7036020954749312,0.7570400229991382,0.8011191619098065,0.9974522292993631,0.0025477707006369425,0.0,true
T,T1_ER20,T2_AbsTrendT20,120,1618814,798,0.6554608271671545,0.6554608271671549,798,0.6372014124111852,0.655347368344583,0.6760250791349283,1.0,0.0,0.0,true
T,T1_ER20,T2_AbsTrendT20,250,1515495,792,0.6664633960030792,0.666463396003079,792,0.6470819429361166,0.6681399418571522,0.6865677453863268,1.0,0.0,0.0,true
T,T1_ER20,T2_AbsTrendT20,500,1318219,785,0.6694530457733836,0.6694530457733836,785,0.6486239053192495,0.6692586636109906,0.6914203721784985,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,1567078,795,0.6194979669166664,0.6194979669166677,795,0.5759964332829418,0.6278089571743599,0.6710302972135563,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,1464003,792,0.5289351107823109,0.528935110782311,792,0.4883293370788236,0.5390262594471095,0.5920352769892406,1.0,0.0,0.0,true
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,1267268,780,0.45812651852386804,0.4581265185238644,780,0.42475967585563545,0.48106530989177115,0.5488498089904608,0.9987179487179487,0.001282051282051282,0.0,true
