layer,role,indicator_id,W,q,r0_t06_row_count,state_eligible_count,state_active_true_count,state_active_false_count,state_active_null_count,score_eligible_count,recomputed_active_true_count,recomputed_active_false_count,recomputed_active_null_count,active_mismatch_count
C,A,C1_LogMASpread_5_60,120,0.1,1730769,1587742,233810,1353932,143027,1587742,233810,1353932,143027,0
C,A,C1_LogMASpread_5_60,120,0.2,1730769,1587742,391955,1195787,143027,1587742,391955,1195787,143027,0
C,A,C1_LogMASpread_5_60,120,0.3,1730769,1587742,541836,1045906,143027,1587742,541836,1045906,143027,0
C,A,C1_LogMASpread_5_60,250,0.1,1730769,1484607,183874,1300733,246162,1484607,183874,1300733,246162,0
C,A,C1_LogMASpread_5_60,250,0.2,1730769,1484607,330271,1154336,246162,1484607,330271,1154336,246162,0
C,A,C1_LogMASpread_5_60,250,0.3,1730769,1484607,473253,1011354,246162,1484607,473253,1011354,246162,0
C,A,C1_LogMASpread_5_60,500,0.1,1730769,1287635,151090,1136545,443134,1287635,151090,1136545,443134,0
C,A,C1_LogMASpread_5_60,500,0.2,1730769,1287635,281482,1006153,443134,1287635,281482,1006153,443134,0
C,A,C1_LogMASpread_5_60,500,0.3,1730769,1287635,407914,879721,443134,1287635,407914,879721,443134,0
C,B,C2_AdjVWAPSpread_5_60,120,0.1,1730769,1563558,224960,1338598,167211,1563558,224960,1338598,167211,0
C,B,C2_AdjVWAPSpread_5_60,120,0.2,1730769,1563558,377593,1185965,167211,1563558,377593,1185965,167211,0
C,B,C2_AdjVWAPSpread_5_60,120,0.3,1730769,1563558,522684,1040874,167211,1563558,522684,1040874,167211,0
C,B,C2_AdjVWAPSpread_5_60,250,0.1,1730769,1460423,178522,1281901,270346,1460423,178522,1281901,270346,0
C,B,C2_AdjVWAPSpread_5_60,250,0.2,1730769,1460423,321261,1139162,270346,1460423,321261,1139162,270346,0
C,B,C2_AdjVWAPSpread_5_60,250,0.3,1730769,1460423,460943,999480,270346,1460423,460943,999480,270346,0
C,B,C2_AdjVWAPSpread_5_60,500,0.1,1730769,1263482,147815,1115667,467287,1263482,147815,1115667,467287,0
C,B,C2_AdjVWAPSpread_5_60,500,0.2,1730769,1263482,274589,988893,467287,1263482,274589,988893,467287,0
C,B,C2_AdjVWAPSpread_5_60,500,0.3,1730769,1263482,398844,864638,467287,1263482,398844,864638,467287,0
P,A,P1_NATR14,120,0.1,1730769,1623605,314578,1309027,107164,1623605,314578,1309027,107164,0
P,A,P1_NATR14,120,0.2,1730769,1623605,463526,1160079,107164,1623605,463526,1160079,107164,0
P,A,P1_NATR14,120,0.3,1730769,1623605,602583,1021022,107164,1623605,602583,1021022,107164,0
P,A,P1_NATR14,250,0.1,1730769,1520247,251274,1268973,210522,1520247,251274,1268973,210522,0
P,A,P1_NATR14,250,0.2,1730769,1520247,393749,1126498,210522,1520247,393749,1126498,210522,0
P,A,P1_NATR14,250,0.3,1730769,1520247,525894,994353,210522,1520247,525894,994353,210522,0
P,A,P1_NATR14,500,0.1,1730769,1322929,200373,1122556,407840,1322929,200373,1122556,407840,0
P,A,P1_NATR14,500,0.2,1730769,1322929,328073,994856,407840,1322929,328073,994856,407840,0
P,A,P1_NATR14,500,0.3,1730769,1322929,446315,876614,407840,1322929,446315,876614,407840,0
P,B,P2_LogRange20,120,0.1,1730769,1619612,229565,1390047,111157,1619612,229565,1390047,111157,0
P,B,P2_LogRange20,120,0.2,1730769,1619612,388255,1231357,111157,1619612,388255,1231357,111157,0
P,B,P2_LogRange20,120,0.3,1730769,1619612,541819,1077793,111157,1619612,541819,1077793,111157,0
P,B,P2_LogRange20,250,0.1,1730769,1516287,195866,1320421,214482,1516287,195866,1320421,214482,0
P,B,P2_LogRange20,250,0.2,1730769,1516287,343915,1172372,214482,1516287,343915,1172372,214482,0
P,B,P2_LogRange20,250,0.3,1730769,1516287,485986,1030301,214482,1516287,485986,1030301,214482,0
P,B,P2_LogRange20,500,0.1,1730769,1319004,166161,1152843,411765,1319004,166161,1152843,411765,0
P,B,P2_LogRange20,500,0.2,1730769,1319004,297293,1021711,411765,1319004,297293,1021711,411765,0
P,B,P2_LogRange20,500,0.3,1730769,1319004,422114,896890,411765,1319004,422114,896890,411765,0
T,A,T1_ER20,120,0.1,1730769,1618814,182520,1436294,111955,1618814,182520,1436294,111955,0
T,A,T1_ER20,120,0.2,1730769,1618814,346102,1272712,111955,1618814,346102,1272712,111955,0
T,A,T1_ER20,120,0.3,1730769,1618814,505925,1112889,111955,1618814,505925,1112889,111955,0
T,A,T1_ER20,250,0.1,1730769,1515495,160261,1355234,215274,1515495,160261,1355234,215274,0
T,A,T1_ER20,250,0.2,1730769,1515495,312481,1203014,215274,1515495,312481,1203014,215274,0
T,A,T1_ER20,250,0.3,1730769,1515495,463385,1052110,215274,1515495,463385,1052110,215274,0
T,A,T1_ER20,500,0.1,1730769,1318219,136261,1181958,412550,1318219,136261,1181958,412550,0
T,A,T1_ER20,500,0.2,1730769,1318219,268814,1049405,412550,1318219,268814,1049405,412550,0
T,A,T1_ER20,500,0.3,1730769,1318219,400837,917382,412550,1318219,400837,917382,412550,0
T,B,T2_AbsTrendT20,120,0.1,1730769,1619612,183235,1436377,111157,1619612,183235,1436377,111157,0
T,B,T2_AbsTrendT20,120,0.2,1730769,1619612,345510,1274102,111157,1619612,345510,1274102,111157,0
T,B,T2_AbsTrendT20,120,0.3,1730769,1619612,504118,1115494,111157,1619612,504118,1115494,111157,0
T,B,T2_AbsTrendT20,250,0.1,1730769,1516287,160657,1355630,214482,1516287,160657,1355630,214482,0
T,B,T2_AbsTrendT20,250,0.2,1730769,1516287,312253,1204034,214482,1516287,312253,1204034,214482,0
T,B,T2_AbsTrendT20,250,0.3,1730769,1516287,462262,1054025,214482,1516287,462262,1054025,214482,0
T,B,T2_AbsTrendT20,500,0.1,1730769,1319004,136769,1182235,411765,1319004,136769,1182235,411765,0
T,B,T2_AbsTrendT20,500,0.2,1730769,1319004,269663,1049341,411765,1319004,269663,1049341,411765,0
T,B,T2_AbsTrendT20,500,0.3,1730769,1319004,401967,917037,411765,1319004,401967,917037,411765,0
V,A,V1_TurnoverShrink20_60,120,0.1,1730769,1567078,219500,1347578,163691,1567078,219500,1347578,163691,0
V,A,V1_TurnoverShrink20_60,120,0.2,1730769,1567078,346703,1220375,163691,1567078,346703,1220375,163691,0
V,A,V1_TurnoverShrink20_60,120,0.3,1730769,1567078,477695,1089383,163691,1567078,477695,1089383,163691,0
V,A,V1_TurnoverShrink20_60,250,0.1,1730769,1464003,161990,1302013,266766,1464003,161990,1302013,266766,0
V,A,V1_TurnoverShrink20_60,250,0.2,1730769,1464003,291230,1172773,266766,1464003,291230,1172773,266766,0
V,A,V1_TurnoverShrink20_60,250,0.3,1730769,1464003,427413,1036590,266766,1464003,427413,1036590,266766,0
V,A,V1_TurnoverShrink20_60,500,0.1,1730769,1267268,125895,1141373,463501,1267268,125895,1141373,463501,0
V,A,V1_TurnoverShrink20_60,500,0.2,1730769,1267268,243431,1023837,463501,1267268,243431,1023837,463501,0
V,A,V1_TurnoverShrink20_60,500,0.3,1730769,1267268,363358,903910,463501,1267268,363358,903910,463501,0
V,B,V2_AmountLevel20Pct,120,0.1,1730769,1619612,293186,1326426,111157,1619612,293186,1326426,111157,0
V,B,V2_AmountLevel20Pct,120,0.2,1730769,1619612,434129,1185483,111157,1619612,434129,1185483,111157,0
V,B,V2_AmountLevel20Pct,120,0.3,1730769,1619612,568848,1050764,111157,1619612,568848,1050764,111157,0
V,B,V2_AmountLevel20Pct,250,0.1,1730769,1516287,222101,1294186,214482,1516287,222101,1294186,214482,0
V,B,V2_AmountLevel20Pct,250,0.2,1730769,1516287,351209,1165078,214482,1516287,351209,1165078,214482,0
V,B,V2_AmountLevel20Pct,250,0.3,1730769,1516287,469699,1046588,214482,1516287,469699,1046588,214482,0
V,B,V2_AmountLevel20Pct,500,0.1,1730769,1319004,162937,1156067,411765,1319004,162937,1156067,411765,0
V,B,V2_AmountLevel20Pct,500,0.2,1730769,1319004,265165,1053839,411765,1319004,265165,1053839,411765,0
V,B,V2_AmountLevel20Pct,500,0.3,1730769,1319004,362317,956687,411765,1319004,362317,956687,411765,0
