layer,role,indicator_id,W,q,total_row_count,eligible_day_count,ineligible_day_count,hit_true_day_count,hit_false_day_count,hit_null_day_count,hit_rate,coverage,unique_security_count_hit,nonzero_year_count,segment_count,strict_onset_count,left_censored_start_count,total_hit_duration,mean_duration,std_duration,min_duration,q10,q25,q50,q75,q90,q95,q99,max_duration,single_day_segment_count,single_day_fragment_ratio
C,A,C1_LogMASpread_5_60,120,0.1,1730769,1587742,143027,233810,1353932,143027,0.14725944139539043,0.13509024023425426,793,11,31766,31613,153,233810,7.360385317635208,6.579952545723525,1,1.0,3.0,5.0,10.0,17.0,21.0,30.0,59,3860,0.12151356796574954
C,A,C1_LogMASpread_5_60,120,0.2,1730769,1587742,143027,391955,1195787,143027,0.2468631553489169,0.22646291908394478,794,11,37334,37091,243,391955,10.498607167729148,9.848719677485606,1,2.0,3.0,7.0,15.0,24.0,31.0,44.0,80,3267,0.08750736593989393
C,A,C1_LogMASpread_5_60,120,0.3,1730769,1587742,143027,541836,1045906,143027,0.34126199344729813,0.31306084174144555,794,11,39263,38915,348,541836,13.80016809719074,13.247163638978723,1,2.0,4.0,9.0,19.0,32.0,41.0,59.0,109,2752,0.07009143468405368
C,A,C1_LogMASpread_5_60,250,0.1,1730769,1484607,246162,183874,1300733,246162,0.12385365285223632,0.10623832527622115,789,10,25444,25339,105,183874,7.226615312057852,6.8221156745456115,1,1.0,2.0,5.0,10.0,16.0,21.0,32.0,59,3077,0.12093224335796258
C,A,C1_LogMASpread_5_60,250,0.2,1730769,1484607,246162,330271,1154336,246162,0.22246358800679236,0.1908232698875471,789,10,31772,31585,187,330271,10.395033362709304,10.270495608775567,1,2.0,3.0,7.0,14.0,24.0,31.0,48.0,89,2788,0.08775022031977842
C,A,C1_LogMASpread_5_60,250,0.3,1730769,1484607,246162,473253,1011354,246162,0.3187732511028171,0.2734351031246804,790,10,34238,33969,269,473253,13.822448741164788,13.982919144555675,1,2.0,4.0,9.0,19.0,32.0,42.0,65.0,138,2384,0.0696302354109469
C,A,C1_LogMASpread_5_60,500,0.1,1730769,1287635,443134,151090,1136545,443134,0.11733915278786303,0.08729645608397192,778,9,20729,20663,66,151090,7.288822422692846,7.219840783132094,1,1.0,2.0,5.0,10.0,16.0,22.0,35.0,72,2651,0.12788846543489796
C,A,C1_LogMASpread_5_60,500,0.2,1730769,1287635,443134,281482,1006153,443134,0.2186038745451933,0.1626340661289866,778,9,26510,26377,133,281482,10.617955488494907,11.06371086864845,1,2.0,3.0,7.0,14.0,24.0,32.0,53.0,137,2348,0.0885703508110147
C,A,C1_LogMASpread_5_60,500,0.3,1730769,1287635,443134,407914,879721,443134,0.3167931906169062,0.23568367586893457,781,9,28628,28426,202,407914,14.248777420707,15.129028094434368,1,2.0,4.0,9.0,19.0,33.0,44.0,72.0,225,1999,0.06982674304876345
C,B,C2_AdjVWAPSpread_5_60,120,0.1,1730769,1563558,167211,224960,1338598,167211,0.14387697802064267,0.12997690621914304,793,11,32728,32553,175,224960,6.8736250305548765,6.215567450680746,1,1.0,2.0,5.0,9.0,16.0,20.0,29.0,54,4372,0.13358592031288194
C,B,C2_AdjVWAPSpread_5_60,120,0.2,1730769,1563558,167211,377593,1185965,167211,0.2414959982296787,0.21816487353309424,793,11,38495,38215,280,377593,9.808884270684505,9.229115449181407,1,2.0,3.0,7.0,14.0,23.0,29.0,42.0,91,3763,0.09775295492921159
C,B,C2_AdjVWAPSpread_5_60,120,0.3,1730769,1563558,167211,522684,1040874,167211,0.33429140460411444,0.30199524026603203,793,11,40700,40325,375,522684,12.842358722358723,12.41083045515552,1,2.0,4.0,9.0,18.0,30.0,39.0,56.0,134,3275,0.08046683046683047
C,B,C2_AdjVWAPSpread_5_60,250,0.1,1730769,1460423,270346,178522,1281901,270346,0.12223992637749474,0.1031460581972522,789,10,26397,26255,142,178522,6.7629654885024815,6.444118712007814,1,1.0,2.0,5.0,9.0,15.0,20.0,30.0,62,3671,0.13906883357957345
