layer,role,indicator_id,W,bucket_id,lower_bound,upper_bound,lower_inclusive,upper_inclusive,eligible_count,bucket_count,bucket_ratio_of_eligible,nominal_bucket_width,bucket_ratio_minus_nominal_width
C,A,C1_LogMASpread_5_60,120,B00_00_01,0.0,0.01,true,true,1587742,70312,0.04428427288564515,0.01,0.034284272885645145
C,A,C1_LogMASpread_5_60,120,B01_01_05,0.01,0.05,false,true,1587742,79968,0.05036586548696199,0.04,0.010365865486961987
C,A,C1_LogMASpread_5_60,120,B02_05_10,0.05,0.1,false,true,1587742,83530,0.0526093030227833,0.05,0.0026093030227832964
C,A,C1_LogMASpread_5_60,120,B03_10_20,0.1,0.2,false,true,1587742,158145,0.09960371395352645,0.1,-0.0003962860464735568
C,A,C1_LogMASpread_5_60,120,B04_20_30,0.2,0.3,false,true,1587742,149881,0.09439883809838122,0.09999999999999998,-0.005601161901618759
C,A,C1_LogMASpread_5_60,120,B05_30_50,0.3,0.5,false,true,1587742,288213,0.18152382439968207,0.2,-0.018476175600317946
C,A,C1_LogMASpread_5_60,120,B06_50_90,0.5,0.9,false,true,1587742,558141,0.35153129412713147,0.4,-0.048468705872868556
C,A,C1_LogMASpread_5_60,120,B07_90_95,0.9,0.95,false,true,1587742,72744,0.04581600789045072,0.04999999999999993,-0.004183992109549214
C,A,C1_LogMASpread_5_60,120,B08_95_99,0.95,0.99,false,true,1587742,48969,0.030841912602929192,0.040000000000000036,-0.009158087397070844
C,A,C1_LogMASpread_5_60,120,B09_99_100,0.99,1.0,false,true,1587742,77839,0.04902496753250843,0.010000000000000009,0.03902496753250842
C,A,C1_LogMASpread_5_60,250,B00_00_01,0.0,0.01,true,true,1484607,35205,0.02371334636034991,0.01,0.01371334636034991
C,A,C1_LogMASpread_5_60,250,B01_01_05,0.01,0.05,false,true,1484607,68701,0.046275546323033635,0.04,0.0062755463230336345
C,A,C1_LogMASpread_5_60,250,B02_05_10,0.05,0.1,false,true,1484607,79968,0.05386476016885277,0.05,0.003864760168852767
C,A,C1_LogMASpread_5_60,250,B03_10_20,0.1,0.2,false,true,1484607,146397,0.09860993515455606,0.1,-0.0013900648454439474
C,A,C1_LogMASpread_5_60,250,B04_20_30,0.2,0.3,false,true,1484607,142982,0.09630966309602473,0.09999999999999998,-0.0036903369039752443
C,A,C1_LogMASpread_5_60,250,B05_30_50,0.3,0.5,false,true,1484607,279937,0.18855966595873522,0.2,-0.011440334041264794
C,A,C1_LogMASpread_5_60,250,B06_50_90,0.5,0.9,false,true,1484607,561031,0.37789866274374295,0.4,-0.02210133725625707
C,A,C1_LogMASpread_5_60,250,B07_90_95,0.9,0.95,false,true,1484607,67635,0.045557511179726354,0.04999999999999993,-0.00444248882027358
C,A,C1_LogMASpread_5_60,250,B08_95_99,0.95,0.99,false,true,1484607,59421,0.04002473381844488,0.040000000000000036,2.4733818444845623e-05
C,A,C1_LogMASpread_5_60,250,B09_99_100,0.99,1.0,false,true,1484607,43330,0.029186175196533493,0.010000000000000009,0.019186175196533484
C,A,C1_LogMASpread_5_60,500,B00_00_01,0.0,0.01,true,true,1287635,24818,0.019274095531730654,0.01,0.009274095531730654
C,A,C1_LogMASpread_5_60,500,B01_01_05,0.01,0.05,false,true,1287635,58492,0.04542591650584211,0.04,0.005425916505842107
C,A,C1_LogMASpread_5_60,500,B02_05_10,0.05,0.1,false,true,1287635,67780,0.05263914075029026,0.05,0.0026391407502902586
C,A,C1_LogMASpread_5_60,500,B03_10_20,0.1,0.2,false,true,1287635,130392,0.1012647217573303,0.1,0.0012647217573302921
C,A,C1_LogMASpread_5_60,500,B04_20_30,0.2,0.3,false,true,1287635,126432,0.09818931607171287,0.09999999999999998,-0.0018106839282871073
C,A,C1_LogMASpread_5_60,500,B05_30_50,0.3,0.5,false,true,1287635,248071,0.1926563039991923,0.2,-0.007343696000807698
C,A,C1_LogMASpread_5_60,500,B06_50_90,0.5,0.9,false,true,1287635,493344,0.3831396319609206,0.4,-0.01686036803907942
C,A,C1_LogMASpread_5_60,500,B07_90_95,0.9,0.95,false,true,1287635,62924,0.048867885697422016,0.04999999999999993,-0.0011321143025779176
C,A,C1_LogMASpread_5_60,500,B08_95_99,0.95,0.99,false,true,1287635,51700,0.040151129784449784,0.040000000000000036,0.00015112978444974806
C,A,C1_LogMASpread_5_60,500,B09_99_100,0.99,1.0,false,true,1287635,23682,0.018391857941109088,0.010000000000000009,0.008391857941109079
C,B,C2_AdjVWAPSpread_5_60,120,B00_00_01,0.0,0.01,true,true,1563558,64385,0.04117851720243189,0.01,0.031178517202431887
C,B,C2_AdjVWAPSpread_5_60,120,B01_01_05,0.01,0.05,false,true,1563558,78574,0.0502533324635223,0.04,0.0102533324635223
