layer,indicator_a,indicator_b,W,common_eligible_rows,unique_security_count,pooled_spearman_score,security_spearman_median,q20_both_hit,q20_indicator_a_only,q20_indicator_b_only,q20_neither,q20_A_hit_count,q20_B_hit_count,q20_Jaccard,diagnostic_status
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,1563558,795,0.9048447469786213,0.913270799226666,310263,77629,67330,1108336,387892,377593,0.6815641599043983,complementary_structure
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,1460423,792,0.919358080480216,0.9277274524968011,264651,62284,56610,1076878,326935,321261,0.6900129059171675,complementary_structure
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,1263482,783,0.9263820333057502,0.9345305368901927,227904,50271,46685,938622,278175,274589,0.701545281044142,complementary_structure
P,P1_NATR14,P2_LogRange20,120,1619612,798,0.6848146937973527,0.6886183515335587,255869,205427,132386,1025930,461296,388255,0.4309866224679205,complementary_structure
P,P1_NATR14,P2_LogRange20,250,1516287,792,0.7280039875199107,0.7352697209894865,228750,163224,115165,1009148,391974,343915,0.45105976862359237,complementary_structure
P,P1_NATR14,P2_LogRange20,500,1319004,785,0.7573603883092987,0.7570400229991383,202059,125494,95234,896217,327553,297293,0.47792150657423244,complementary_structure
T,T1_ER20,T2_AbsTrendT20,120,1618814,798,0.6554608271671705,0.655347368344582,159787,186315,185524,1087188,346102,345311,0.30056280166884236,complementary_structure
T,T1_ER20,T2_AbsTrendT20,250,1515495,792,0.6664633960030028,0.6681399418571523,139404,173077,172687,1030327,312481,312091,0.28733139860831713,complementary_structure
T,T1_ER20,T2_AbsTrendT20,500,1318219,785,0.6694530457733647,0.66925866361099,118201,150613,151327,898078,268814,269528,0.2813365036975682,complementary_structure
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,120,1567078,795,0.6194979669166687,0.6278089571743606,185298,161405,228761,991614,346703,414059,0.3219975532787455,complementary_structure
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,250,1464003,792,0.5289351107822817,0.5390262594471086,123768,167462,212986,959787,291230,336754,0.24546622875910323,complementary_structure
V,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,500,1267268,780,0.4581265185238469,0.4810653098917702,83025,160406,166875,856962,243431,249900,0.20234897856721568,complementary_structure
