layer,indicator_a,indicator_b,W,q,common_eligible_rows,both_hit,indicator_a_only,indicator_b_only,neither,A_hit_count,B_hit_count,A_hit_rate,B_hit_rate,both_hit_rate,A_given_B,B_given_A,Jaccard,A_given_B_denominator_zero,B_given_A_denominator_zero,Jaccard_denominator_zero,joint_segment_count,joint_strict_onset_count,joint_left_censored_start_count,joint_total_duration,joint_mean_duration,joint_median_duration,joint_q90_duration,joint_q95_duration,joint_max_duration,joint_single_day_segment_count,joint_single_day_fragment_ratio
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,0.1,1563558,173352,58093,51608,1280505,231445,224960,0.14802456960343013,0.14387697802064267,0.11087020756505354,0.7705903271692746,0.7489986821923135,0.6124365401532575,false,false,false,28036,27894,142,173352,6.183193037523185,4.0,14.0,18.0,46,4157,0.14827364816664287
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,0.2,1563558,310263,77629,67330,1108336,387892,377593,0.24808289810803308,0.2414959982296787,0.1984339563994428,0.8216863130407608,0.7998695513184082,0.6815641599043983,false,false,false,34993,34760,233,310263,8.866430428942932,6.0,20.0,26.0,80,3664,0.10470665561683766
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,120,0.3,1563558,445216,90782,77468,950092,535998,522684,0.34280659879582337,0.33429140460411444,0.2847454331722904,0.8517880784565818,0.830629965037183,0.7257386717438293,false,false,false,38102,37767,335,445216,11.684845939845678,8.0,27.0,35.0,108,3116,0.08178048396409637
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,0.1,1460423,138421,43670,40101,1238231,182091,178522,0.12468373888934918,0.12223992637749474,0.09478144345850482,0.7753722230313351,0.760174857626132,0.6229792251746238,false,false,false,22422,22323,99,138421,6.173445722950674,4.0,14.0,18.0,53,3319,0.14802426188564802
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,0.2,1460423,264651,62284,56610,1076878,326935,321261,0.2238632231894458,0.21997804745611374,0.18121530542863265,0.8237881348809846,0.8094911832627281,0.6900129059171675,false,false,false,29542,29344,198,264651,8.958465912937513,6.0,20.0,27.0,88,3063,0.1036828921535441
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,250,0.3,1460423,393664,74728,67279,924752,468392,460943,0.3207235164058632,0.31562293938126146,0.26955477967684704,0.8540405212792037,0.840458419443543,0.7348988464934634,false,false,false,33191,32914,277,393664,11.860564610888494,8.0,27.0,36.0,114,2600,0.07833448826489109
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,0.1,1263482,115537,33773,32278,1081894,149310,147815,0.118173428667761,0.11699019060026182,0.09144332883254372,0.781632445962859,0.7738061750719979,0.6362590038989361,false,false,false,18145,18079,66,115537,6.367429043813723,4.0,14.0,19.0,69,2714,0.14957288509231192
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,0.2,1263482,227904,50271,46685,938622,278175,274589,0.2201653842318292,0.21732719579701176,0.180377718083835,0.8299822644024342,0.81928282555945,0.701545281044142,false,false,false,24567,24437,130,227904,9.276834778361216,6.0,21.0,28.0,108,2528,0.10290226726910083
C,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,500,0.3,1263482,342184,60830,56660,803808,403014,398844,0.31897090738134776,0.3156705042097948,0.27082617718337104,0.8579394449960386,0.8490623154530612,0.7444058180362605,false,false,false,27661,27460,201,342184,12.37063012906258,8.0,28.0,38.0,172,2164,0.07823289107407541
P,P1_NATR14,P2_LogRange20,120,0.1,1619612,137179,175678,92386,1214369,312857,229565,0.19316786983549147,0.1417407379051279,0.08469868091863977,0.5975606037505717,0.4384718897131917,0.3385104739625361,false,false,false,22523,22390,133,137179,6.090618478888247,4.0,14.0,19.0,68,5127,0.22763397415974782
