W,q,state_name,required_dimension_count,common_valid_row_count,derived_true_count,r0_true_count,derived_false_count,r0_false_count,derived_null_count,r0_null_count,row_mismatch_count,true_count_mismatch
120,0.1,S_P,1,1619612,196350,196350,1423262,1423262,111157,111157,0,false
120,0.1,S_PC,2,1563558,56797,56797,1506761,1551463,167211,122509,0,false
120,0.1,S_PCT,3,1563558,6693,6693,1556865,1601567,167211,122509,0,false
120,0.1,S_PCVT,4,1545035,1143,1143,1543892,1606912,185734,122714,0,false
120,0.2,S_P,1,1619612,337590,337590,1282022,1282022,111157,111157,0,false
120,0.2,S_PC,2,1563558,145033,145033,1418525,1457699,167211,128037,0,false
120,0.2,S_PCT,3,1563558,39800,39800,1523758,1562932,167211,128037,0,false
120,0.2,S_PCVT,4,1545035,10768,10768,1534267,1590924,185734,129077,0,false
120,0.3,S_P,1,1619612,475043,475043,1144569,1144569,111157,111157,0,false
120,0.3,S_PC,2,1563558,251148,251148,1312410,1347054,167211,132567,0,false
120,0.3,S_PCT,3,1563558,102437,102437,1461121,1495765,167211,132567,0,false
120,0.3,S_PCVT,4,1545035,39199,39199,1505836,1556752,185734,134818,0,false
250,0.1,S_P,1,1516287,168499,168499,1347788,1347788,214482,214482,0,false
250,0.1,S_PC,2,1460423,51967,51967,1408456,1456946,270346,221856,0,false
250,0.1,S_PCT,3,1460423,5427,5427,1454996,1503486,270346,221856,0,false
250,0.1,S_PCVT,4,1442412,612,612,1441800,1508239,288357,221918,0,false
250,0.2,S_P,1,1516287,300660,300660,1215627,1215627,214482,214482,0,false
250,0.2,S_PC,2,1460423,132775,132775,1327648,1370896,270346,227098,0,false
250,0.2,S_PCT,3,1460423,34615,34615,1425808,1469056,270346,227098,0,false
250,0.2,S_PCVT,4,1442412,7860,7860,1434552,1495506,288357,227403,0,false
250,0.3,S_P,1,1516287,429506,429506,1086781,1086781,214482,214482,0,false
250,0.3,S_PC,2,1460423,232009,232009,1228414,1266625,270346,232135,0,false
250,0.3,S_PCT,3,1460423,92041,92041,1368382,1406593,270346,232135,0,false
250,0.3,S_PCVT,4,1442412,31445,31445,1410967,1466222,288357,233102,0,false
500,0.1,S_P,1,1319004,142778,142778,1176226,1176226,411765,411765,0,false
500,0.1,S_PC,2,1263482,47470,47470,1216012,1268452,467287,414847,0,false
500,0.1,S_PCT,3,1263482,4637,4637,1258845,1311285,467287,414847,0,false
500,0.1,S_PCVT,4,1246284,464,464,1245820,1315415,484485,414890,0,false
500,0.2,S_P,1,1319004,263160,263160,1055844,1055844,411765,411765,0,false
500,0.2,S_PC,2,1263482,123477,123477,1140005,1189645,467287,417647,0,false
500,0.2,S_PCT,3,1263482,30702,30702,1232780,1282420,467287,417647,0,false
500,0.2,S_PCVT,4,1246284,6159,6159,1240125,1306631,484485,417979,0,false
500,0.3,S_P,1,1319004,376575,376575,942429,942429,411765,411765,0,false
500,0.3,S_PC,2,1263482,212911,212911,1050571,1097243,467287,420615,0,false
500,0.3,S_PCT,3,1263482,82661,82661,1180821,1227493,467287,420615,0,false
500,0.3,S_PCVT,4,1246284,25479,25479,1220805,1283695,484485,421595,0,false
