task_id,run_id,code_commit,step_id,anchor_state,target_dimension,child_state,W,q,K,required_dimensions,denominator_scope,N,n11,n10,n01,n00,anchor_true_count,anchor_false_count,target_true_count,target_false_count,child_true_count,anchor_rate,target_marginal_rate,child_joint_rate,retention,nonanchor_target_rate,lift,delta,delta_nonanchor,independence_expected_joint_rate,joint_excess,retention_denominator_zero,lift_denominator_zero,nonanchor_denominator_zero,nonzero_year_count,positive_delta_year_count,negative_delta_year_count,undefined_year_count,max_year_denominator_share,pooled_vs_year_median_sign_consistency,association_direction,warnings
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,120,0.1,not_applicable,"P,C",step_specific_minimal_common_valid,1563558,56797,128201,151777,1226783,184998,1378560,208574,1354984,56797,0.11831860410678721,0.13339703420020235,0.03632548328875552,0.3070141298824852,0.11009821843082637,2.3015064144658437,0.17361709568228287,0.19691591145165885,0.015783350878553298,0.02054213241020222,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,120,0.2,not_applicable,"P,C",step_specific_minimal_common_valid,1563558,145033,175677,216341,1026507,320710,1242848,361374,1202184,145033,0.2051155121843897,0.23112286208762323,0.09275831149212245,0.45222475133297996,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,0.0474068842346249,0.04535142725749755,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,120,0.3,not_applicable,"P,C",step_specific_minimal_common_valid,1563558,251148,202485,254433,855492,453633,1109925,505581,1057977,251148,0.2901286680762722,0.3233528912902495,0.16062595695202864,0.553636970855295,0.22923440773025205,1.712175724318286,0.23028407956504543,0.3244025631250429,0.09381394366865173,0.06681201328337691,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,250,0.1,not_applicable,"P,C",step_specific_minimal_common_valid,1460423,51967,109158,115333,1183965,161125,1299298,167300,1293123,51967,0.11032762425680778,0.11455585128418273,0.035583526142768225,0.3225259891388673,0.08876562574559493,2.8154475351832158,0.2079701378546846,0.23376036339327239,0.012638674916900064,0.02294485122586816,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,250,0.2,not_applicable,"P,C",step_specific_minimal_common_valid,1460423,132775,155269,176618,995761,288044,1172379,309393,1151030,132775,0.19723326734788482,0.21185163476609173,0.09091544025258436,0.46095388204579857,0.15064923544348713,2.1758334909935626,0.24910224727970684,0.31030464660231144,0.04178419011790702,0.04913125013467733,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,250,0.3,not_applicable,"P,C",step_specific_minimal_common_valid,1460423,232009,179844,217159,831411,411853,1048570,449168,1011255,232009,0.2820093904300329,0.30756020687157076,0.15886424686546294,0.5633296346026373,0.20710014591300532,1.831607672308106,0.25576942773106653,0.356229488689632,0.0867348664603865,0.07212938040507644,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,500,0.1,not_applicable,"P,C",step_specific_minimal_common_valid,1263482,47470,92226,91622,1032164,139696,1123786,139092,1124390,47470,0.11056429771061242,0.11008625370207094,0.037570776631562615,0.3398093001947085,0.08152975744492279,3.086755055852319,0.22972304649263758,0.2582795427497857,0.01217160932816178,0.025399167303400833,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,500,0.2,not_applicable,"P,C",step_specific_minimal_common_valid,1263482,123477,133801,142355,863849,257278,1006204,265832,997650,123477,0.20362616958532057,0.21039634913675065,0.09772754973952934,0.47993610024953554,0.14147727498598694,2.281104697009704,0.2695397511127849,0.3384588252635486,0.0428422026694523,0.054885347070077035,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,C_GIVEN_P,P,C,S_PC,500,0.3,not_applicable,"P,C",step_specific_minimal_common_valid,1263482,212911,154814,176512,719245,367725,895757,389423,874059,212911,0.29104094874323494,0.3082141257255743,0.16851130447446025,0.578995173023319,0.19705344194910004,1.8785484658118528,0.27078104729774477,0.381941731074219,0.08970293156723783,0.07880837290722242,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,120,0.1,not_applicable,"P,C,T",step_specific_minimal_common_valid,1563558,6693,50104,80778,1425983,56797,1506761,87471,1476087,6693,0.03632548328875552,0.055943559496993395,0.004280621505566151,0.11784073102452594,0.05361036023629494,2.1064217594316488,0.061897171527532546,0.064230370788231,0.0020321768356215335,0.002248444669944617,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
