dimension,W,q,r0_t06_row_count,state_eligible_count,state_active_true_count,state_active_false_count,state_active_null_count,score_eligible_count,recomputed_active_true_count,recomputed_active_false_count,recomputed_active_null_count,active_mismatch_count
C,120,0.1,1730769,1563558,208574,1354984,167211,1563558,208574,1354984,167211,0
C,120,0.2,1730769,1563558,361374,1202184,167211,1563558,361374,1202184,167211,0
C,120,0.3,1730769,1563558,505581,1057977,167211,1563558,505581,1057977,167211,0
C,250,0.1,1730769,1460423,167300,1293123,270346,1460423,167300,1293123,270346,0
C,250,0.2,1730769,1460423,309393,1151030,270346,1460423,309393,1151030,270346,0
C,250,0.3,1730769,1460423,449168,1011255,270346,1460423,449168,1011255,270346,0
C,500,0.1,1730769,1263482,139092,1124390,467287,1263482,139092,1124390,467287,0
C,500,0.2,1730769,1263482,265832,997650,467287,1263482,265832,997650,467287,0
C,500,0.3,1730769,1263482,389423,874059,467287,1263482,389423,874059,467287,0
P,120,0.1,1730769,1619612,196350,1423262,111157,1619612,196350,1423262,111157,0
P,120,0.2,1730769,1619612,337590,1282022,111157,1619612,337590,1282022,111157,0
P,120,0.3,1730769,1619612,475043,1144569,111157,1619612,475043,1144569,111157,0
P,250,0.1,1730769,1516287,168499,1347788,214482,1516287,168499,1347788,214482,0
P,250,0.2,1730769,1516287,300660,1215627,214482,1516287,300660,1215627,214482,0
P,250,0.3,1730769,1516287,429506,1086781,214482,1516287,429506,1086781,214482,0
P,500,0.1,1730769,1319004,142778,1176226,411765,1319004,142778,1176226,411765,0
P,500,0.2,1730769,1319004,263160,1055844,411765,1319004,263160,1055844,411765,0
P,500,0.3,1730769,1319004,376575,942429,411765,1319004,376575,942429,411765,0
T,120,0.1,1730769,1618814,90389,1528425,111955,1618814,90389,1528425,111955,0
T,120,0.2,1730769,1618814,248118,1370696,111955,1618814,248118,1370696,111955,0
T,120,0.3,1730769,1618814,413530,1205284,111955,1618814,413530,1205284,111955,0
T,250,0.1,1730769,1515495,75644,1439851,215274,1515495,75644,1439851,215274,0
T,250,0.2,1730769,1515495,223760,1291735,215274,1515495,223760,1291735,215274,0
T,250,0.3,1730769,1515495,381659,1133836,215274,1515495,381659,1133836,215274,0
T,500,0.1,1730769,1318219,62646,1255573,412550,1318219,62646,1255573,412550,0
T,500,0.2,1730769,1318219,192452,1125767,412550,1318219,192452,1125767,412550,0
T,500,0.3,1730769,1318219,332310,985909,412550,1318219,332310,985909,412550,0
V,120,0.1,1730769,1567078,145394,1421684,163691,1567078,145394,1421684,163691,0
V,120,0.2,1730769,1567078,257834,1309244,163691,1567078,257834,1309244,163691,0
V,120,0.3,1730769,1567078,384902,1182176,163691,1567078,384902,1182176,163691,0
V,250,0.1,1730769,1464003,90617,1373386,266766,1464003,90617,1373386,266766,0
V,250,0.2,1730769,1464003,188233,1275770,266766,1464003,188233,1275770,266766,0
V,250,0.3,1730769,1464003,300225,1163778,266766,1464003,300225,1163778,266766,0
V,500,0.1,1730769,1267268,57046,1210222,463501,1267268,57046,1210222,463501,0
V,500,0.2,1730769,1267268,130608,1136660,463501,1267268,130608,1136660,463501,0
V,500,0.3,1730769,1267268,220371,1046897,463501,1267268,220371,1046897,463501,0
