W,q,state_name,required_dimension_count,joined_row_count,common_valid_row_count,derived_true_count,r0_true_count,derived_false_count,r0_false_count,derived_null_count,r0_null_count,missing_key_count,row_mismatch_count,true_count_mismatch,false_count_mismatch,null_count_mismatch
120,0.1,S_P,1,1730769,1619612,196350,196350,1423262,1423262,111157,111157,0,0,false,false,false
120,0.1,S_PC,2,1730769,1563558,56797,56797,1551463,1551463,122509,122509,0,0,false,false,false
120,0.1,S_PCT,3,1730769,1563558,6693,6693,1601567,1601567,122509,122509,0,0,false,false,false
120,0.1,S_PCVT,4,1730769,1545035,1143,1143,1606912,1606912,122714,122714,0,0,false,false,false
120,0.2,S_P,1,1730769,1619612,337590,337590,1282022,1282022,111157,111157,0,0,false,false,false
120,0.2,S_PC,2,1730769,1563558,145033,145033,1457699,1457699,128037,128037,0,0,false,false,false
120,0.2,S_PCT,3,1730769,1563558,39800,39800,1562932,1562932,128037,128037,0,0,false,false,false
120,0.2,S_PCVT,4,1730769,1545035,10768,10768,1590924,1590924,129077,129077,0,0,false,false,false
120,0.3,S_P,1,1730769,1619612,475043,475043,1144569,1144569,111157,111157,0,0,false,false,false
120,0.3,S_PC,2,1730769,1563558,251148,251148,1347054,1347054,132567,132567,0,0,false,false,false
120,0.3,S_PCT,3,1730769,1563558,102437,102437,1495765,1495765,132567,132567,0,0,false,false,false
120,0.3,S_PCVT,4,1730769,1545035,39199,39199,1556752,1556752,134818,134818,0,0,false,false,false
250,0.1,S_P,1,1730769,1516287,168499,168499,1347788,1347788,214482,214482,0,0,false,false,false
250,0.1,S_PC,2,1730769,1460423,51967,51967,1456946,1456946,221856,221856,0,0,false,false,false
250,0.1,S_PCT,3,1730769,1460423,5427,5427,1503486,1503486,221856,221856,0,0,false,false,false
250,0.1,S_PCVT,4,1730769,1442412,612,612,1508239,1508239,221918,221918,0,0,false,false,false
250,0.2,S_P,1,1730769,1516287,300660,300660,1215627,1215627,214482,214482,0,0,false,false,false
250,0.2,S_PC,2,1730769,1460423,132775,132775,1370896,1370896,227098,227098,0,0,false,false,false
250,0.2,S_PCT,3,1730769,1460423,34615,34615,1469056,1469056,227098,227098,0,0,false,false,false
250,0.2,S_PCVT,4,1730769,1442412,7860,7860,1495506,1495506,227403,227403,0,0,false,false,false
250,0.3,S_P,1,1730769,1516287,429506,429506,1086781,1086781,214482,214482,0,0,false,false,false
250,0.3,S_PC,2,1730769,1460423,232009,232009,1266625,1266625,232135,232135,0,0,false,false,false
250,0.3,S_PCT,3,1730769,1460423,92041,92041,1406593,1406593,232135,232135,0,0,false,false,false
250,0.3,S_PCVT,4,1730769,1442412,31445,31445,1466222,1466222,233102,233102,0,0,false,false,false
500,0.1,S_P,1,1730769,1319004,142778,142778,1176226,1176226,411765,411765,0,0,false,false,false
500,0.1,S_PC,2,1730769,1263482,47470,47470,1268452,1268452,414847,414847,0,0,false,false,false
500,0.1,S_PCT,3,1730769,1263482,4637,4637,1311285,1311285,414847,414847,0,0,false,false,false
500,0.1,S_PCVT,4,1730769,1246284,464,464,1315415,1315415,414890,414890,0,0,false,false,false
500,0.2,S_P,1,1730769,1319004,263160,263160,1055844,1055844,411765,411765,0,0,false,false,false
500,0.2,S_PC,2,1730769,1263482,123477,123477,1189645,1189645,417647,417647,0,0,false,false,false
500,0.2,S_PCT,3,1730769,1263482,30702,30702,1282420,1282420,417647,417647,0,0,false,false,false
500,0.2,S_PCVT,4,1730769,1246284,6159,6159,1306631,1306631,417979,417979,0,0,false,false,false
500,0.3,S_P,1,1730769,1319004,376575,376575,942429,942429,411765,411765,0,0,false,false,false
500,0.3,S_PC,2,1730769,1263482,212911,212911,1097243,1097243,420615,420615,0,0,false,false,false
500,0.3,S_PCT,3,1730769,1263482,82661,82661,1227493,1227493,420615,420615,0,0,false,false,false
500,0.3,S_PCVT,4,1730769,1246284,25479,25479,1283695,1283695,421595,421595,0,0,false,false,false
