W,q,state_name,r0_key_count,derived_key_count,r0_true_count,r0_false_count,r0_null_count,derived_true_count,derived_false_count,derived_null_count,missing_key_count,row_mismatch_count
120,0.1,C,1730769,1730769,208574,1354984,167211,208574,1354984,167211,0,0
120,0.2,C,1730769,1730769,361374,1202184,167211,361374,1202184,167211,0,0
120,0.3,C,1730769,1730769,505581,1057977,167211,505581,1057977,167211,0,0
250,0.1,C,1730769,1730769,167300,1293123,270346,167300,1293123,270346,0,0
250,0.2,C,1730769,1730769,309393,1151030,270346,309393,1151030,270346,0,0
250,0.3,C,1730769,1730769,449168,1011255,270346,449168,1011255,270346,0,0
500,0.1,C,1730769,1730769,139092,1124390,467287,139092,1124390,467287,0,0
500,0.2,C,1730769,1730769,265832,997650,467287,265832,997650,467287,0,0
500,0.3,C,1730769,1730769,389423,874059,467287,389423,874059,467287,0,0
120,0.1,P,1730769,1730769,196350,1423262,111157,196350,1423262,111157,0,0
120,0.2,P,1730769,1730769,337590,1282022,111157,337590,1282022,111157,0,0
120,0.3,P,1730769,1730769,475043,1144569,111157,475043,1144569,111157,0,0
250,0.1,P,1730769,1730769,168499,1347788,214482,168499,1347788,214482,0,0
250,0.2,P,1730769,1730769,300660,1215627,214482,300660,1215627,214482,0,0
250,0.3,P,1730769,1730769,429506,1086781,214482,429506,1086781,214482,0,0
500,0.1,P,1730769,1730769,142778,1176226,411765,142778,1176226,411765,0,0
500,0.2,P,1730769,1730769,263160,1055844,411765,263160,1055844,411765,0,0
500,0.3,P,1730769,1730769,376575,942429,411765,376575,942429,411765,0,0
120,0.1,S_PCT,1730769,1730769,6693,1601567,122509,6693,1601567,122509,0,0
120,0.2,S_PCT,1730769,1730769,39800,1562932,128037,39800,1562932,128037,0,0
120,0.3,S_PCT,1730769,1730769,102437,1495765,132567,102437,1495765,132567,0,0
250,0.1,S_PCT,1730769,1730769,5427,1503486,221856,5427,1503486,221856,0,0
250,0.2,S_PCT,1730769,1730769,34615,1469056,227098,34615,1469056,227098,0,0
250,0.3,S_PCT,1730769,1730769,92041,1406593,232135,92041,1406593,232135,0,0
500,0.1,S_PCT,1730769,1730769,4637,1311285,414847,4637,1311285,414847,0,0
500,0.2,S_PCT,1730769,1730769,30702,1282420,417647,30702,1282420,417647,0,0
500,0.3,S_PCT,1730769,1730769,82661,1227493,420615,82661,1227493,420615,0,0
120,0.1,S_PCVT,1730769,1730769,1143,1606912,122714,1143,1606912,122714,0,0
120,0.2,S_PCVT,1730769,1730769,10768,1590924,129077,10768,1590924,129077,0,0
120,0.3,S_PCVT,1730769,1730769,39199,1556752,134818,39199,1556752,134818,0,0
250,0.1,S_PCVT,1730769,1730769,612,1508239,221918,612,1508239,221918,0,0
250,0.2,S_PCVT,1730769,1730769,7860,1495506,227403,7860,1495506,227403,0,0
250,0.3,S_PCVT,1730769,1730769,31445,1466222,233102,31445,1466222,233102,0,0
500,0.1,S_PCVT,1730769,1730769,464,1315415,414890,464,1315415,414890,0,0
500,0.2,S_PCVT,1730769,1730769,6159,1306631,417979,6159,1306631,417979,0,0
500,0.3,S_PCVT,1730769,1730769,25479,1283695,421595,25479,1283695,421595,0,0
120,0.1,T,1730769,1730769,90389,1528425,111955,90389,1528425,111955,0,0
120,0.2,T,1730769,1730769,248118,1370696,111955,248118,1370696,111955,0,0
120,0.3,T,1730769,1730769,413530,1205284,111955,413530,1205284,111955,0,0
250,0.1,T,1730769,1730769,75644,1439851,215274,75644,1439851,215274,0,0
250,0.2,T,1730769,1730769,223760,1291735,215274,223760,1291735,215274,0,0
250,0.3,T,1730769,1730769,381659,1133836,215274,381659,1133836,215274,0,0
500,0.1,T,1730769,1730769,62646,1255573,412550,62646,1255573,412550,0,0
500,0.2,T,1730769,1730769,192452,1125767,412550,192452,1125767,412550,0,0
500,0.3,T,1730769,1730769,332310,985909,412550,332310,985909,412550,0,0
120,0.1,V,1730769,1730769,145394,1421684,163691,145394,1421684,163691,0,0
120,0.2,V,1730769,1730769,257834,1309244,163691,257834,1309244,163691,0,0
120,0.3,V,1730769,1730769,384902,1182176,163691,384902,1182176,163691,0,0
250,0.1,V,1730769,1730769,90617,1373386,266766,90617,1373386,266766,0,0
250,0.2,V,1730769,1730769,188233,1275770,266766,188233,1275770,266766,0,0
250,0.3,V,1730769,1730769,300225,1163778,266766,300225,1163778,266766,0,0
500,0.1,V,1730769,1730769,57046,1210222,463501,57046,1210222,463501,0,0
500,0.2,V,1730769,1730769,130608,1136660,463501,130608,1136660,463501,0,0
500,0.3,V,1730769,1730769,220371,1046897,463501,220371,1046897,463501,0,0
