transition_path,W,q,K,lag_k,anchor_year,anchor_event_count,control_anchor_count,target_valid_event_count,target_true_event_count,target_valid_control_count,target_true_control_count,observed_probability,baseline_probability,absolute_difference,relative_lift
P_TO_C,120,0.1,not_applicable,1,2016,1187,31316,541,203,20116,2385,0.3752310536044362,0.11856233843706503,0.25666871516737116,3.1648418760196386
P_TO_C,120,0.1,not_applicable,1,2017,1865,112085,1749,466,106888,9328,0.2664379645511721,0.08726891699723074,0.17916904755394134,3.0530683056331136
P_TO_C,120,0.1,not_applicable,1,2018,1897,123798,1835,499,120488,13826,0.27193460490463217,0.1147500165991634,0.15718458830546878,2.369800135668257
P_TO_C,120,0.1,not_applicable,1,2019,3286,122345,3236,881,117799,13719,0.2722496909765142,0.11646109050161717,0.155788600474897,2.337687976335184
P_TO_C,120,0.1,not_applicable,1,2020,1806,142963,1771,485,138664,13643,0.2738565782044043,0.09838891132521779,0.1754676668791865,2.7834089687118313
P_TO_C,120,0.1,not_applicable,1,2021,2679,144661,2610,622,140420,15698,0.23831417624521073,0.1117931918530124,0.12652098439219833,2.131741408354726
P_TO_C,120,0.1,not_applicable,1,2022,3257,150904,3221,767,148023,17080,0.2381248059608817,0.11538747356829682,0.12273733239258489,2.063697198638618
P_TO_C,120,0.1,not_applicable,1,2023,4183,149271,4144,1040,147440,17754,0.25096525096525096,0.1204150841020076,0.13055016686324336,2.084167883424389
P_TO_C,120,0.1,not_applicable,1,2024,2056,175454,2038,492,173038,17810,0.24141315014720313,0.10292536899409378,0.13848778115310934,2.345516489341479
P_TO_C,120,0.1,not_applicable,1,2025,3807,155513,3787,981,153737,16719,0.25904409823078955,0.10875065859227122,0.15029343963851832,2.382000270931688
P_TO_C,120,0.1,not_applicable,1,2026,632,87499,628,120,85815,7273,0.1910828025477707,0.08475208296917788,0.10633071957859283,2.2546089235029485
P_TO_C,120,0.1,not_applicable,3,2016,1187,31316,580,209,20574,2456,0.3603448275862069,0.11937396714299602,0.24097086044321087,3.0186215320678422
P_TO_C,120,0.1,not_applicable,3,2017,1865,112085,1751,460,107022,9657,0.26270702455739575,0.09023378370802265,0.1724732408493731,2.9114042852005393
P_TO_C,120,0.1,not_applicable,3,2018,1897,123798,1837,486,120544,14187,0.26456178551986936,0.11769146535704805,0.1468703201628213,2.247926684549738
P_TO_C,120,0.1,not_applicable,3,2019,3286,122345,3236,892,117857,14160,0.27564894932014833,0.12014560017648507,0.15550334914366326,2.2942908347475086
P_TO_C,120,0.1,not_applicable,3,2020,1806,142963,1772,474,138723,14016,0.26749435665914223,0.10103587725178954,0.1664584794073527,2.6475185244596307
P_TO_C,120,0.1,not_applicable,3,2021,2679,144661,2614,643,140483,15964,0.24598316755929608,0.11363652541588662,0.13234664214340947,2.1646487927983333
P_TO_C,120,0.1,not_applicable,3,2022,3257,150904,3222,760,148096,17413,0.23587833643699566,0.1175791378565255,0.11829919858047015,2.0061240517414176
P_TO_C,120,0.1,not_applicable,3,2023,4183,149271,4150,1075,147497,18355,0.25903614457831325,0.12444320901442063,0.13459293556389262,2.0815611123327415
P_TO_C,120,0.1,not_applicable,3,2024,2056,175454,2040,485,173042,18110,0.23774509803921567,0.10465667294645231,0.13308842509276336,2.2716668832082805
P_TO_C,120,0.1,not_applicable,3,2025,3807,155513,3789,1009,153769,16950,0.26629717603589337,0.11023028048566356,0.1560668955502298,2.415825985950636
P_TO_C,120,0.1,not_applicable,3,2026,632,87499,628,111,84241,7073,0.1767515923566879,0.08396149143528686,0.09279010092140103,2.1051506986737936
