transition_path,W,q,K,anchor_event_count,target_valid_at_anchor_count,target_already_active_at_anchor_count,target_already_active_at_anchor_rate,target_inactive_at_anchor_count,target_inactive_at_anchor_rate,target_at_k_probability_among_target_active_at_anchor_onsets,target_at_k_probability_among_target_inactive_at_anchor_onsets
P_TO_C,120,0.1,not_applicable,26655,25539,6510,0.2549042640667215,19029,0.7450957359332785,0.8905961893054702,0.03984021864816567
P_TO_C,120,0.2,not_applicable,34079,32937,11811,0.3585936788414245,21126,0.6414063211585754,0.9330171902786011,0.04686612384018178
P_TO_C,120,0.3,not_applicable,38938,37747,16035,0.4248019710175643,21712,0.5751980289824357,0.9483468496568933,0.052888602229798215
P_TO_C,250,0.1,not_applicable,19245,18518,4390,0.23706663786586024,14128,0.7629333621341398,0.9054669703872438,0.03738053097345133
P_TO_C,250,0.2,not_applicable,26385,25473,8484,0.3330585325638912,16989,0.6669414674361088,0.937057991513437,0.046680009418413
P_TO_C,250,0.3,not_applicable,30835,29844,12136,0.4066479024259483,17708,0.5933520975740517,0.9539386947923534,0.047441545238902066
P_TO_C,500,0.1,not_applicable,14436,14084,3308,0.2348764555523999,10776,0.7651235444476001,0.9235187424425635,0.034341934286244664
P_TO_C,500,0.2,not_applicable,20189,19697,6452,0.32756257298065694,13245,0.6724374270193431,0.9378487290762554,0.043343653250773995
P_TO_C,500,0.3,not_applicable,23500,22817,8883,0.38931498444142526,13934,0.6106850155585748,0.9543970273617836,0.04715423813966841
P_TO_T,120,0.1,not_applicable,26655,26655,1923,0.07214406302757456,24732,0.9278559369724254,0.390535621424857,0.059518033317159956
P_TO_T,120,0.2,not_applicable,34079,34079,6333,0.18583291763255963,27746,0.8141670823674404,0.6472445918206221,0.10938907911335376
P_TO_T,120,0.3,not_applicable,38938,38938,11325,0.29084698751861937,27613,0.7091530124813806,0.7694957166828579,0.13858301941466242
P_TO_T,250,0.1,not_applicable,19245,19245,1274,0.06619901273057938,17971,0.9338009872694206,0.35949764521193095,0.055923432196316285
P_TO_T,250,0.2,not_applicable,26385,26385,4609,0.17468258480197082,21776,0.8253174151980291,0.629854632241267,0.10869764878765613
P_TO_T,250,0.3,not_applicable,30835,30835,8723,0.2828928166045079,22112,0.7171071833954922,0.7607474492720394,0.1350397973950796
P_TO_T,500,0.1,not_applicable,14436,14436,876,0.060681629260182876,13560,0.9393183707398172,0.3150684931506849,0.053392330383480825
P_TO_T,500,0.2,not_applicable,20189,20189,3441,0.17043934815988904,16748,0.829560651840111,0.6181342632955537,0.10878910914736088
P_TO_T,500,0.3,not_applicable,23500,23500,6482,0.27582978723404256,17018,0.7241702127659575,0.7665843875347115,0.14126219297214715
P_TO_V,120,0.1,not_applicable,26655,25290,6206,0.2453934361407671,19084,0.7546065638592329,0.9205479452054794,0.032907147348564245
P_TO_V,120,0.2,not_applicable,34079,32741,10216,0.3120246785376134,22525,0.6879753214623866,0.9416601409553641,0.04075652637187001
P_TO_V,120,0.3,not_applicable,38938,37642,14365,0.3816215929015461,23277,0.6183784070984538,0.9563461672352572,0.04598195100988397
P_TO_V,250,0.1,not_applicable,19245,18478,3152,0.17058123173503625,15326,0.8294187682649637,0.9324238578680203,0.024402975336030277
P_TO_V,250,0.2,not_applicable,26385,25393,6357,0.2503445831528374,19036,0.7496554168471626,0.9493471763410414,0.0322546753519647
P_TO_V,250,0.3,not_applicable,30835,29753,9554,0.32111047625449535,20199,0.6788895237455047,0.9576049408562756,0.040546561710975794
P_TO_V,500,0.1,not_applicable,14436,14019,1794,0.12796918467793708,12225,0.872030815322063,0.9392419175027871,0.021431492842535788
P_TO_V,500,0.2,not_applicable,20189,19590,3997,0.2040326697294538,15593,0.7959673302705462,0.9497122842131599,0.02590906175848137
P_TO_V,500,0.3,not_applicable,23500,22720,5961,0.26236795774647886,16759,0.7376320422535211,0.9624224123469216,0.03538397279073931
P_TO_PCT,120,0.1,not_applicable,26655,25539,714,0.027957241865382357,24825,0.9720427581346176,0.30392156862745096,0.018167170191339375
P_TO_PCT,120,0.2,not_applicable,34079,32937,3166,0.09612290129641436,29771,0.9038770987035857,0.5067930489731438,0.03876385623110514
P_TO_PCT,120,0.3,not_applicable,38938,37747,6270,0.16610591570191008,31477,0.8338940842980899,0.6161084529505582,0.05583449853819753
P_TO_PCT,250,0.1,not_applicable,19245,18518,475,0.025650718220110162,18043,0.9743492817798899,0.27789473684210525,0.016848639361525246
P_TO_PCT,250,0.2,not_applicable,26385,25473,2209,0.08671927138538844,23264,0.9132807286146115,0.5011317338162065,0.038643397524071525
P_TO_PCT,250,0.3,not_applicable,30835,29844,4745,0.15899343251574857,25099,0.8410065674842514,0.6187565858798736,0.053946372365432885
P_TO_PCT,500,0.1,not_applicable,14436,14084,340,0.024140869071286566,13744,0.9758591309287135,0.2823529411764706,0.016734575087310827
P_TO_PCT,500,0.2,not_applicable,20189,19697,1626,0.08255064222978119,18071,0.9174493577702189,0.5129151291512916,0.04117093686016269
P_TO_PCT,500,0.3,not_applicable,23500,22817,3469,0.1520357628084323,19348,0.8479642371915677,0.6264053041222254,0.05370064089311557
P_TO_PCVT,120,0.1,not_applicable,26655,25524,87,0.0034085566525622942,25437,0.9965914433474377,0.3103448275862069,0.0028317470305986
P_TO_PCVT,120,0.2,not_applicable,34079,32888,559,0.01699708100218925,32329,0.9830029189978108,0.4776386404293381,0.009161533937912037
P_TO_PCVT,120,0.3,not_applicable,38938,37670,1549,0.04112025484470401,36121,0.958879745155296,0.5872093023255814,0.017401906450897807
P_TO_PCVT,250,0.1,not_applicable,19245,18515,39,0.002106400216041048,18476,0.997893599783959,0.2564102564102564,0.0014615134784020786
P_TO_PCVT,250,0.2,not_applicable,26385,25461,310,0.012175484073681317,25151,0.9878245159263187,0.46774193548387094,0.006284055204231794
P_TO_PCVT,250,0.3,not_applicable,30835,29778,894,0.03002216401370139,28884,0.9699778359862986,0.5991041433370661,0.014201593349497749
P_TO_PCVT,500,0.1,not_applicable,14436,14079,18,0.0012784998934583422,14061,0.9987215001065417,0.2777777777777778,0.000782472613458529
P_TO_PCVT,500,0.2,not_applicable,20189,19672,161,0.008184221228141522,19511,0.9918157787718584,0.484472049689441,0.005845254576219043
P_TO_PCVT,500,0.3,not_applicable,23500,22769,534,0.023452940401422987,22235,0.976547059598577,0.602996254681648,0.010890598982944063
