W,q,K,lag_k,anchor_event_count,lag_available_anchor_count,right_censored_anchor_count,exact_offset_count,offset_mismatch_count,min_target_date,max_target_date
120,0.1,not_applicable,1,26655,26655,0,26655,0,20160801,20260622
120,0.1,not_applicable,3,26655,26655,0,26655,0,20160803,20260624
120,0.1,not_applicable,5,26655,26655,0,26655,0,20160805,20260626
120,0.1,not_applicable,10,26655,26654,1,26654,0,20160812,20260629
120,0.1,not_applicable,20,26655,26650,5,26650,0,20160826,20260630
120,0.2,not_applicable,1,34079,34078,1,34078,0,20160801,20260626
120,0.2,not_applicable,3,34079,34078,1,34078,0,20160803,20260630
120,0.2,not_applicable,5,34079,34077,2,34077,0,20160805,20260629
120,0.2,not_applicable,10,34079,34072,7,34072,0,20160812,20260630
120,0.2,not_applicable,20,34079,34062,17,34062,0,20160826,20260630
120,0.3,not_applicable,1,38938,38931,7,38931,0,20160801,20260630
120,0.3,not_applicable,3,38938,38927,11,38927,0,20160803,20260630
120,0.3,not_applicable,5,38938,38916,22,38916,0,20160805,20260630
120,0.3,not_applicable,10,38938,38898,40,38898,0,20160812,20260630
120,0.3,not_applicable,20,38938,38870,68,38870,0,20160826,20260630
250,0.1,not_applicable,1,19245,19245,0,19245,0,20170217,20260622
250,0.1,not_applicable,3,19245,19245,0,19245,0,20170221,20260624
250,0.1,not_applicable,5,19245,19245,0,19245,0,20170223,20260626
250,0.1,not_applicable,10,19245,19244,1,19244,0,20170302,20260615
250,0.1,not_applicable,20,19245,19244,1,19244,0,20170316,20260630
250,0.2,not_applicable,1,26385,26385,0,26385,0,20170216,20260622
250,0.2,not_applicable,3,26385,26385,0,26385,0,20170220,20260624
250,0.2,not_applicable,5,26385,26385,0,26385,0,20170222,20260626
250,0.2,not_applicable,10,26385,26382,3,26382,0,20170301,20260630
250,0.2,not_applicable,20,26385,26376,9,26376,0,20170315,20260630
250,0.3,not_applicable,1,30835,30835,0,30835,0,20170216,20260626
250,0.3,not_applicable,3,30835,30835,0,30835,0,20170220,20260630
250,0.3,not_applicable,5,30835,30833,2,30833,0,20170222,20260630
250,0.3,not_applicable,10,30835,30828,7,30828,0,20170301,20260629
250,0.3,not_applicable,20,30835,30816,19,30816,0,20170315,20260630
500,0.1,not_applicable,1,14436,14436,0,14436,0,20180313,20260602
500,0.1,not_applicable,3,14436,14436,0,14436,0,20180315,20260604
500,0.1,not_applicable,5,14436,14436,0,14436,0,20180319,20260608
500,0.1,not_applicable,10,14436,14436,0,14436,0,20180326,20260615
500,0.1,not_applicable,20,14436,14436,0,14436,0,20180411,20260630
500,0.2,not_applicable,1,20189,20189,0,20189,0,20180309,20260623
500,0.2,not_applicable,3,20189,20189,0,20189,0,20180313,20260625
500,0.2,not_applicable,5,20189,20189,0,20189,0,20180315,20260629
500,0.2,not_applicable,10,20189,20187,2,20187,0,20180322,20260629
500,0.2,not_applicable,20,20189,20182,7,20182,0,20180409,20260630
500,0.3,not_applicable,1,23500,23500,0,23500,0,20180306,20260625
500,0.3,not_applicable,3,23500,23500,0,23500,0,20180308,20260629
500,0.3,not_applicable,5,23500,23499,1,23499,0,20180312,20260629
500,0.3,not_applicable,10,23500,23494,6,23494,0,20180319,20260629
500,0.3,not_applicable,20,23500,23479,21,23479,0,20180402,20260630
