W,q,K,lag_k,anchor_event_count,p_survival_eligible_count,p_run_survival_true_count,P_survival_probability,P_active_at_k_probability,reentered_after_exit_count,PCT_target_valid_given_surviving_P_run_count,PCT_target_true_given_surviving_P_run_count,PCT_target_given_surviving_P_run_probability
120,0.1,not_applicable,1,26655,26655,20695,0.776402175951979,0.776402175951979,0,19791,668,0.03375271588095599
120,0.1,not_applicable,3,26655,26655,14928,0.5600450196961171,0.6326017632714312,1934,14242,516,0.036230866451341104
120,0.1,not_applicable,5,26655,26655,11430,0.4288126055149128,0.5336709810542112,2795,10917,390,0.035724100027480075
120,0.1,not_applicable,10,26655,26654,6396,0.23996398289187365,0.37750431454941097,3666,6093,240,0.03938946331856229
120,0.1,not_applicable,20,26655,26650,1929,0.07238273921200751,0.21838649155722326,3891,1803,80,0.044370493621741544
120,0.2,not_applicable,1,34079,34078,27260,0.7999295733317683,0.7999295733317683,0,26301,2760,0.10493897570434584
120,0.2,not_applicable,3,34079,34078,20784,0.6098949468865543,0.6822290040495335,2465,20032,2380,0.11880990415335463
120,0.2,not_applicable,5,34079,34077,16704,0.49018399506998855,0.5996126419579189,3729,16104,2009,0.12475161450571287
120,0.2,not_applicable,10,34079,34072,10722,0.314686546137591,0.47026884245127965,5301,10355,1243,0.12003862868179624
120,0.2,not_applicable,20,34079,34062,4953,0.14541130878985378,0.334830603018026,6452,4757,679,0.1427370191297036
120,0.3,not_applicable,1,38938,38931,31652,0.8130281780586165,0.8130281780586165,0,30653,5622,0.18340782305157732
120,0.3,not_applicable,3,38938,38927,24625,0.632594343257893,0.7072212089295348,2905,23837,4893,0.20526911943617066
120,0.3,not_applicable,5,38938,38916,20455,0.525619282557303,0.6383749614554425,4388,19823,4308,0.2173233113050497
120,0.3,not_applicable,10,38938,38898,14054,0.3613039230808782,0.5307984986374621,6593,13658,3094,0.2265338995460536
120,0.3,not_applicable,20,38938,38870,7605,0.1956521739130435,0.41314638538718806,8454,7396,1830,0.2474310438074635
250,0.1,not_applicable,1,19245,19245,15204,0.7900233826968044,0.7900233826968044,0,14650,436,0.02976109215017065
250,0.1,not_applicable,3,19245,19245,11261,0.5851389971421148,0.6513380098726942,1274,10857,347,0.031960946854563875
250,0.1,not_applicable,5,19245,19245,8856,0.4601714731098987,0.5583787996882307,1890,8554,274,0.0320317979892448
250,0.1,not_applicable,10,19245,19244,5423,0.28180212014134276,0.41119309914778635,2490,5245,168,0.032030505243088654
250,0.1,not_applicable,20,19245,19244,2213,0.11499688214508418,0.2647578466015381,2882,2133,89,0.04172526957337084
250,0.2,not_applicable,1,26385,26385,21440,0.8125829069547091,0.8125829069547091,0,20714,2006,0.09684271507193203
250,0.2,not_applicable,3,26385,26385,16506,0.6255827174530983,0.6917945802539321,1747,15962,1733,0.10857035459215637
250,0.2,not_applicable,5,26385,26385,13512,0.5121091529277999,0.6121281030888762,2639,13083,1439,0.10999006344110678
250,0.2,not_applicable,10,26385,26382,8916,0.33795769843074824,0.48574785838829504,3899,8639,981,0.11355480958444264
250,0.2,not_applicable,20,26385,26376,4565,0.1730740066727328,0.35714285714285715,4855,4441,586,0.13195226300382798
250,0.3,not_applicable,1,30835,30835,25380,0.8230906437489866,0.8230906437489866,0,24577,4291,0.17459413272571916
250,0.3,not_applicable,3,30835,30835,20110,0.6521809631911789,0.7224582455002432,2167,19492,3855,0.19777344551610918
250,0.3,not_applicable,5,30835,30833,16858,0.54675185677683,0.6530016540719359,3276,16364,3451,0.21088975800537765
250,0.3,not_applicable,10,30835,30828,11854,0.3845205657194758,0.546094459582198,4981,11528,2514,0.21807772380291465
250,0.3,not_applicable,20,30835,30816,6787,0.22024273104880582,0.428446261682243,6416,6616,1579,0.23866384522370013
500,0.1,not_applicable,1,14436,14436,11527,0.7984898863951233,0.7984898863951233,0,11253,326,0.028970052430462988
500,0.1,not_applicable,3,14436,14436,8702,0.6027985591576615,0.6650734275422555,899,8500,277,0.03258823529411765
500,0.1,not_applicable,5,14436,14436,7072,0.48988639512330284,0.5819479080077584,1329,6933,186,0.026828212894850715
500,0.1,not_applicable,10,14436,14436,4483,0.3105430867276254,0.43557772236076475,1805,4407,126,0.02859087814840027
500,0.1,not_applicable,20,14436,14436,1993,0.13805763369354393,0.293086727625381,2238,1969,52,0.026409344845099034
500,0.2,not_applicable,1,20189,20189,16628,0.8236168210411611,0.8236168210411611,0,16222,1578,0.09727530514116632
500,0.2,not_applicable,3,20189,20189,13018,0.6448065778394175,0.7071672693050671,1259,12712,1394,0.10966016362492133
500,0.2,not_applicable,5,20189,20189,10781,0.534003665362326,0.6277180642924365,1892,10544,1130,0.10716995447647952
500,0.2,not_applicable,10,20189,20187,7432,0.3681577252687373,0.5040372516966365,2743,7295,832,0.11405071967100754
500,0.2,not_applicable,20,20189,20182,4096,0.20295312654840947,0.3852442770785849,3679,4043,525,0.12985406876082117
500,0.3,not_applicable,1,23500,23500,19565,0.8325531914893617,0.8325531914893617,0,19013,3213,0.1689896386682796
500,0.3,not_applicable,3,23500,23500,15703,0.6682127659574468,0.7300851063829787,1454,15290,2912,0.19045127534336168
500,0.3,not_applicable,5,23500,23499,13365,0.5687476062811183,0.6641133665262352,2241,13055,2668,0.20436614324013788
500,0.3,not_applicable,10,23500,23494,9652,0.4108282965863625,0.5570358389376011,3435,9453,2003,0.2118904051623823
500,0.3,not_applicable,20,23500,23479,5845,0.24894586651901698,0.4548319775118191,4834,5753,1391,0.241786893794542
