W,q_low,q_high,lower_transition_class,higher_transition_class,row_count,lower_onset_reclassified_count,higher_onset_new_count,interpretation
120,0.1,0.2,continuing_P,continuing_P,169508,0,0,onset_set_not_required_nested
120,0.1,0.2,current_invalid,current_invalid,111157,0,0,onset_set_not_required_nested
120,0.1,0.2,exit,continuing_P,18825,0,0,onset_set_not_required_nested
120,0.1,0.2,exit,exit,8017,0,0,onset_set_not_required_nested
120,0.1,0.2,onset,continuing_P,22132,22132,0,onset_set_not_required_nested
120,0.1,0.2,onset,onset,4523,0,0,onset_set_not_required_nested
120,0.1,0.2,other,other,798,0,0,onset_set_not_required_nested
120,0.1,0.2,stay_out,continuing_P,92727,0,0,onset_set_not_required_nested
120,0.1,0.2,stay_out,exit,26380,0,0,onset_set_not_required_nested
120,0.1,0.2,stay_out,onset,29556,0,29556,onset_set_not_required_nested
120,0.1,0.2,stay_out,stay_out,1247146,0,0,onset_set_not_required_nested
120,0.2,0.3,continuing_P,continuing_P,303192,0,0,onset_set_not_required_nested
120,0.2,0.3,current_invalid,current_invalid,111157,0,0,onset_set_not_required_nested
120,0.2,0.3,exit,continuing_P,21552,0,0,onset_set_not_required_nested
120,0.2,0.3,exit,exit,12845,0,0,onset_set_not_required_nested
120,0.2,0.3,onset,continuing_P,26923,26923,0,onset_set_not_required_nested
120,0.2,0.3,onset,onset,7156,0,0,onset_set_not_required_nested
120,0.2,0.3,other,other,798,0,0,onset_set_not_required_nested
120,0.2,0.3,stay_out,continuing_P,84015,0,0,onset_set_not_required_nested
120,0.2,0.3,stay_out,exit,26506,0,0,onset_set_not_required_nested
120,0.2,0.3,stay_out,onset,31782,0,31782,onset_set_not_required_nested
120,0.2,0.3,stay_out,stay_out,1104843,0,0,onset_set_not_required_nested
250,0.1,0.2,continuing_P,continuing_P,149115,0,0,onset_set_not_required_nested
250,0.1,0.2,current_invalid,current_invalid,214482,0,0,onset_set_not_required_nested
250,0.1,0.2,exit,continuing_P,14480,0,0,onset_set_not_required_nested
250,0.1,0.2,exit,exit,4904,0,0,onset_set_not_required_nested
250,0.1,0.2,onset,continuing_P,16906,16906,0,onset_set_not_required_nested
250,0.1,0.2,onset,onset,2339,0,0,onset_set_not_required_nested
250,0.1,0.2,other,other,792,0,0,onset_set_not_required_nested
250,0.1,0.2,stay_out,continuing_P,93511,0,0,onset_set_not_required_nested
250,0.1,0.2,stay_out,exit,21744,0,0,onset_set_not_required_nested
250,0.1,0.2,stay_out,onset,24046,0,24046,onset_set_not_required_nested
250,0.1,0.2,stay_out,stay_out,1188450,0,0,onset_set_not_required_nested
250,0.2,0.3,continuing_P,continuing_P,274012,0,0,onset_set_not_required_nested
250,0.2,0.3,current_invalid,current_invalid,214482,0,0,onset_set_not_required_nested
250,0.2,0.3,exit,continuing_P,17934,0,0,onset_set_not_required_nested
250,0.2,0.3,exit,exit,8714,0,0,onset_set_not_required_nested
250,0.2,0.3,onset,continuing_P,22354,22354,0,onset_set_not_required_nested
250,0.2,0.3,onset,onset,4031,0,0,onset_set_not_required_nested
250,0.2,0.3,other,other,792,0,0,onset_set_not_required_nested
250,0.2,0.3,stay_out,continuing_P,84005,0,0,onset_set_not_required_nested
250,0.2,0.3,stay_out,exit,22487,0,0,onset_set_not_required_nested
250,0.2,0.3,stay_out,onset,26804,0,26804,onset_set_not_required_nested
250,0.2,0.3,stay_out,stay_out,1055154,0,0,onset_set_not_required_nested
500,0.1,0.2,continuing_P,continuing_P,128297,0,0,onset_set_not_required_nested
500,0.1,0.2,current_invalid,current_invalid,411765,0,0,onset_set_not_required_nested
500,0.1,0.2,exit,continuing_P,11479,0,0,onset_set_not_required_nested
500,0.1,0.2,exit,exit,3002,0,0,onset_set_not_required_nested
500,0.1,0.2,onset,continuing_P,13269,13269,0,onset_set_not_required_nested
500,0.1,0.2,onset,onset,1167,0,0,onset_set_not_required_nested
500,0.1,0.2,other,other,785,0,0,onset_set_not_required_nested
500,0.1,0.2,stay_out,continuing_P,89838,0,0,onset_set_not_required_nested
500,0.1,0.2,stay_out,exit,17275,0,0,onset_set_not_required_nested
500,0.1,0.2,stay_out,onset,19022,0,19022,onset_set_not_required_nested
500,0.1,0.2,stay_out,stay_out,1034870,0,0,onset_set_not_required_nested
500,0.2,0.3,continuing_P,continuing_P,242883,0,0,onset_set_not_required_nested
500,0.2,0.3,current_invalid,current_invalid,411765,0,0,onset_set_not_required_nested
500,0.2,0.3,exit,continuing_P,14415,0,0,onset_set_not_required_nested
500,0.2,0.3,exit,exit,5862,0,0,onset_set_not_required_nested
500,0.2,0.3,onset,continuing_P,17684,17684,0,onset_set_not_required_nested
500,0.2,0.3,onset,onset,2505,0,0,onset_set_not_required_nested
500,0.2,0.3,other,other,785,0,0,onset_set_not_required_nested
500,0.2,0.3,stay_out,continuing_P,77969,0,0,onset_set_not_required_nested
500,0.2,0.3,stay_out,exit,17762,0,0,onset_set_not_required_nested
500,0.2,0.3,stay_out,onset,20995,0,20995,onset_set_not_required_nested
500,0.2,0.3,stay_out,stay_out,918144,0,0,onset_set_not_required_nested
