task_id,run_id,code_commit,transition_path,W,q,K,lag_k,anchor_event_count,control_anchor_count,lag_available_anchor_count,lag_available_control_count,target_valid_event_count,target_true_event_count,target_false_event_count,target_invalid_event_count,event_right_censored_count,target_valid_control_count,target_true_control_count,target_false_control_count,target_invalid_control_count,control_right_censored_count,observed_probability,baseline_probability,absolute_difference,absolute_lift,relative_lift,observed_probability_ci_low,observed_probability_ci_high,baseline_probability_ci_low,baseline_probability_ci_high,absolute_difference_ci_low,absolute_difference_ci_high,relative_lift_ci_low,relative_lift_ci_high,empirical_p,descriptive_status,warnings
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.1,not_applicable,1,26655,1395809,26655,1395011,25560,6556,19004,1095,0,1352428,145235,1207193,42583,798,0.2564945226917058,0.10738834156051191,0.1491061811311939,0.1491061811311939,2.388476430164205,0.2508840552469847,0.2622035247783117,0.10625635674851405,0.10846589411845486,0.14339928560617726,0.15513183490748703,2.3308439322386763,2.4494510206695397,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.1,not_applicable,3,26655,1395809,26655,1393415,25619,6604,19015,1036,0,1351848,148341,1203507,41567,2394,0.2577774308130684,0.10973201129121025,0.14804541952185818,0.14804541952185818,2.349154342290971,0.25213983992157907,0.26320913133774176,0.10859938209271158,0.1108199109198606,0.14228322258934684,0.15352239947951404,2.291050428053451,2.4045899746872132,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.1,not_applicable,5,26655,1395809,26655,1391819,25696,6297,19399,959,0,1351324,152548,1198776,40495,3990,0.24505759651307596,0.11288780484917015,0.1321697916639058,0.1321697916639058,2.17080664151897,0.23944202476516296,0.25033124941547946,0.11178005901571267,0.11394785432747846,0.1266250117817101,0.13768756151029557,2.1182222347799393,2.2254474857756006,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.1,not_applicable,10,26655,1395809,26654,1387832,25808,5476,20332,846,1,1350020,158991,1191029,37812,7977,0.21218226906385618,0.11776936637975734,0.09441290268409884,0.09441290268409884,1.8016762387907939,0.20674493054936133,0.21800916702062076,0.11657495883155437,0.11888168422779297,0.08873867460307241,0.100462645320354,1.750419573565078,1.8541045803882668,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.1,not_applicable,20,26655,1395809,26650,1379875,25960,4985,20975,690,5,1347174,165252,1181922,32701,15934,0.1920261941448382,0.12266566902270976,0.06936052512212845,0.06936052512212845,1.5654436622302803,0.18667814373469183,0.19735005556556576,0.12145798925785461,0.12378833201750496,0.06387006248012586,0.0748720272052321,1.5189380882264287,1.6128131534825807,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.2,not_applicable,1,34079,1247146,34078,1246349,32957,12013,20944,1121,1,1209097,204177,1004920,37252,797,0.36450526443547654,0.16886734480360135,0.19563791963187518,0.19563791963187518,2.1585302052294892,0.3589806348768881,0.37046153412265503,0.1672880376252431,0.17040556171248297,0.18993158505030758,0.20182645725255646,2.119651032147164,2.2002218423513216,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.2,not_applicable,3,34079,1247146,34078,1244756,32996,12077,20919,1082,1,1208317,209772,998545,36439,2390,0.3660140623105831,0.1736067604775899,0.19240730183299318,0.19240730183299318,2.1082938320125506,0.3606750082257479,0.37153681529428445,0.1719627479530513,0.17516880814515093,0.18661210003913847,0.198373417866458,2.071029967241681,2.1463710394826174,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.2,not_applicable,5,34079,1247146,34077,1243165,33045,11874,21171,1032,2,1207583,217172,990411,35582,3981,0.359328188833409,0.17984022630328517,0.17948796253012383,0.17948796253012383,1.998041240380963,0.3540806251577611,0.36486314228834776,0.17820548934019506,0.18141746842243758,0.17383578313379566,0.18538294028034374,1.9623800925442474,2.0356958746400204,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.2,not_applicable,10,34079,1247146,34072,1239194,33167,10976,22191,905,7,1205750,230905,974845,33444,7952,0.330931347423644,0.1915032137673647,0.1394281336562793,0.1394281336562793,1.7280720302984292,0.32514740228170147,0.3366875486420834,0.18987680088863776,0.19302973547207705,0.13347702922871102,0.14558444805324605,1.6951349498818176,1.763040576494652,,positive_interval_separated,
R1-T07,R1-T07-20260710T1915Z,100fb7a5a4f8107a22efcfbe38509fc5342ccc9e,P_TO_C,120,0.2,not_applicable,20,34079,1247146,34062,1231272,33329,10024,23305,733,17,1202243,248108,954135,29029,15874,0.30075909868282874,0.20637092501266383,0.09438817367016492,0.09438817367016492,1.4573714716080903,0.2953626581019874,0.3058645555149475,0.20465179893337673,0.2079848913042097,0.08867981165325521,0.1000022352004593,1.4284394994150078,1.4867639642316042,,positive_interval_separated,
