transition_path,W,q,K,lag_k,event_security_count,per_security_median_effect,positive_security_count,negative_security_count,zero_security_count,pooled_absolute_difference,pooled_vs_security_median_sign_consistency
P_TO_C,120,0.1,not_applicable,1,794,0.1473961956746388,762,29,1,0.1491061811311939,true
P_TO_C,120,0.1,not_applicable,3,794,0.14404972534205224,753,38,1,0.14804541952185818,true
P_TO_C,120,0.1,not_applicable,5,794,0.13312039095968542,744,47,1,0.1321697916639058,true
P_TO_C,120,0.1,not_applicable,10,794,0.09117821356604426,696,94,2,0.09441290268409884,true
P_TO_C,120,0.1,not_applicable,20,794,0.06666273167276593,620,171,2,0.06936052512212845,true
P_TO_C,120,0.2,not_applicable,1,794,0.19610706761156865,775,18,0,0.19563791963187518,true
P_TO_C,120,0.2,not_applicable,3,794,0.1965703029951915,775,18,0,0.19240730183299318,true
P_TO_C,120,0.2,not_applicable,5,794,0.18096872616323414,774,19,0,0.17948796253012383,true
P_TO_C,120,0.2,not_applicable,10,794,0.13946695874406717,745,47,1,0.1394281336562793,true
P_TO_C,120,0.2,not_applicable,20,794,0.08707292197858235,692,100,1,0.09438817367016492,true
P_TO_C,120,0.3,not_applicable,1,794,0.20888218261897964,778,15,0,0.21130278255038526,true
P_TO_C,120,0.3,not_applicable,3,794,0.21253035045122173,784,9,0,0.21152212968243883,true
P_TO_C,120,0.3,not_applicable,5,794,0.19401824590503836,774,18,1,0.19690559490416257,true
P_TO_C,120,0.3,not_applicable,10,794,0.15695488721804512,768,24,1,0.1586712297243163,true
P_TO_C,120,0.3,not_applicable,20,794,0.10178740904776967,730,62,1,0.10664190501050391,true
P_TO_C,250,0.1,not_applicable,1,789,0.15264948954788526,740,46,1,0.15643144708230247,true
P_TO_C,250,0.1,not_applicable,3,789,0.14735456876771494,739,46,2,0.15345033816201198,true
P_TO_C,250,0.1,not_applicable,5,789,0.137379297476326,725,61,1,0.1420024052179788,true
P_TO_C,250,0.1,not_applicable,10,789,0.10584287653223137,680,107,1,0.11126368623592695,true
P_TO_C,250,0.1,not_applicable,20,789,0.08681605415111257,666,121,1,0.09161050088134527,true
P_TO_C,250,0.2,not_applicable,1,788,0.193000702401534,762,25,1,0.19680373357409867,true
P_TO_C,250,0.2,not_applicable,3,788,0.18948445024792965,768,19,1,0.19449699250263688,true
P_TO_C,250,0.2,not_applicable,5,788,0.1783229745922721,761,25,2,0.1802182025762295,true
P_TO_C,250,0.2,not_applicable,10,788,0.14582552715734273,739,48,1,0.1452497442256587,true
P_TO_C,250,0.2,not_applicable,20,788,0.11608800286120484,715,72,1,0.1198920492971656,true
P_TO_C,250,0.3,not_applicable,1,791,0.21409035330458845,768,20,1,0.21526967544328887,true
P_TO_C,250,0.3,not_applicable,3,791,0.22187851518560178,772,16,1,0.2211673723753518,true
P_TO_C,250,0.3,not_applicable,5,791,0.21028207568228013,769,19,1,0.21055437710452563,true
P_TO_C,250,0.3,not_applicable,10,791,0.1716981132075472,766,22,1,0.17404694938070148,true
