test_group_id,W,N_perm,elapsed_seconds,failed_simulation_count,status
W120_GLOBAL_PCT_SYNC,120,2000,104.788894,0,completed
W120_GLOBAL_PCVT_SYNC,120,2000,154.529459,0,completed
W120_C_GIVEN_P,120,2000,57.971186,0,completed
W120_T_GIVEN_PC,120,2000,24.000212,0,completed
W120_V_GIVEN_PCT,120,2000,2.71545,0,completed
LOAD_AND_RECONCILE_W120,120,0,351.061445,0,completed
W250_GLOBAL_PCT_SYNC,250,2000,95.868591,0,completed
W250_GLOBAL_PCVT_SYNC,250,2000,86.587861,0,completed
W250_C_GIVEN_P,250,2000,45.508844,0,completed
W250_T_GIVEN_PC,250,2000,28.505406,0,completed
W250_V_GIVEN_PCT,250,2000,7.303655,0,completed
LOAD_AND_RECONCILE_W250,250,0,270.144373,0,completed
