test_group_id,candidate_config_id,state_line,W,q,K,null_model_id,null_model_role,transition_path,statistic_name,N_perm,seed_policy,tail,observed_value,null_mean,null_median,null_interval_low,null_interval_high,observed_null_ratio,observed_null_difference,n_extreme,empirical_p,z_score_descriptive,failed_simulation_count,null_status,warnings
W120_GLOBAL_PCT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,confirmed_coverage,2000,sha256_identity_splitmix64_counter_v1,upper,0.007210667628089017,0.0018381912895366163,0.001839644689730403,0.0017269780080415122,0.001947718037473516,3.922697093133724,0.005372476338552401,0,0.0004997501249375312,97.2267714689697,0,completed,
W120_GLOBAL_PCT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,duration_mean,2000,sha256_identity_splitmix64_counter_v1,upper,2.2575976845151953,2.0599487583429803,2.060279187817259,1.9865878837573503,2.131973587622986,1.0959484673449855,0.19764892617221497,0,0.0004997501249375312,5.247791766314846,0,completed,
W120_GLOBAL_PCT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,duration_median,2000,sha256_identity_splitmix64_counter_v1,upper,2.0,1.73075,2.0,1.0,2.0,1.1555683952043911,0.26925,1454,0.7271364317841079,0.6097672603447533,0,completed,
W120_GLOBAL_PCT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,fragment_rate,2000,sha256_identity_splitmix64_counter_v1,lower,0.4547756874095514,0.49255158828953644,0.49230769230769234,0.4687681368374365,0.5166253790736302,0.9233056967470801,-0.03777590087998506,2,0.0014992503748125937,-3.0622466759013856,0,completed,
W120_GLOBAL_PCVT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,confirmed_coverage,2000,sha256_identity_splitmix64_counter_v1,upper,0.0016992446710104006,0.0002901848831357622,0.00028946670526222736,0.0002467111440059303,0.0003356889336474134,5.855731189882189,0.0014090597878746384,0,0.0004997501249375312,62.50572804049486,0,completed,
W120_GLOBAL_PCVT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,duration_mean,2000,sha256_identity_splitmix64_counter_v1,upper,2.0624123422159886,1.9278360609742982,1.9261992619926198,1.7723749361557233,2.0980102040816324,1.0698069114723778,0.1345762812416904,117,0.05897051474262868,1.5848043850060571,0,completed,
W120_GLOBAL_PCVT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,duration_median,2000,sha256_identity_splitmix64_counter_v1,upper,2.0,1.20825,1.0,1.0,2.0,1.6552865714876888,0.79175,392,0.19640179910044978,1.9866122768386376,0,completed,
W120_GLOBAL_PCVT_SYNC,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,fragment_rate,2000,sha256_identity_splitmix64_counter_v1,lower,0.49719495091164095,0.5241056528763038,0.5234375,0.4656473097011466,0.5851851851851851,0.9486540513024877,-0.026910701964662886,359,0.17991004497751126,-0.879437723264765,0,completed,
W120_C_GIVEN_P,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,C_GIVEN_P,nested_increment,P_TO_PC,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.45222475133297996,0.25237917678648913,0.2523039007855226,0.24813892806149007,0.2563922193359269,1.7918465266869408,0.19984557454649082,0,0.0004997501249375312,96.05050549532223,0,completed,
W120_T_GIVEN_PC,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,T_GIVEN_PC,nested_increment,PC_TO_PCT,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.27442030434452847,0.15429353090381528,0.15427595599783042,0.15116874058166557,0.1575661268726887,1.7785600130934767,0.12012677344071318,0,0.0004997501249375312,73.76280166378679,0,completed,
W120_V_GIVEN_PCT,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,V_GIVEN_PCT,nested_increment,PCT_TO_PCVT,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.27781217750257997,0.17745219417089844,0.17747615607292735,0.16984726247306406,0.18493962242534756,1.5655606784722431,0.10035998333168153,0,0.0004997501249375312,26.20278649399549,0,completed,
W250_GLOBAL_PCT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,confirmed_coverage,2000,sha256_identity_splitmix64_counter_v1,upper,0.006271200836160112,0.00177579301455018,0.001775800236773365,0.0016726668896889186,0.0018789335838578112,3.531493132801093,0.004495407821609932,0,0.0004997501249375312,85.83930468577198,0,completed,
W250_GLOBAL_PCT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,duration_mean,2000,sha256_identity_splitmix64_counter_v1,upper,2.2223587223587224,2.0182945028938413,2.0174923199771255,1.945131037049743,2.0974803345195925,1.1011072562365367,0.20406421946488118,0,0.0004997501249375312,5.490165167871617,0,completed,
W250_GLOBAL_PCT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,duration_median,2000,sha256_identity_splitmix64_counter_v1,upper,2.0,1.566,2.0,1.0,2.0,1.277139208173691,0.43399999999999994,1123,0.5617191404297851,0.8794804596254984,0,completed,
W250_GLOBAL_PCT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,GLOBAL_PCT_SYNC,global_synchronization,P_C_T,fragment_rate,2000,sha256_identity_splitmix64_counter_v1,lower,0.4606879606879607,0.4978243105868624,0.49803536261519354,0.4722194555112882,0.5222161693261141,0.9254026990865044,-0.03713634989890169,3,0.001999000499750125,-2.924560350636338,0,completed,
W250_GLOBAL_PCVT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,confirmed_coverage,2000,sha256_identity_splitmix64_counter_v1,upper,0.00123817794286817,0.0002622663683021824,0.0002617333682311158,0.00022302225195852248,0.000303911151632598,4.721070226745756,0.0009759115745659877,0,0.0004997501249375312,47.802983188319075,0,completed,
W250_GLOBAL_PCVT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,duration_mean,2000,sha256_identity_splitmix64_counter_v1,upper,2.0927734375,1.8913632786294152,1.890295358649789,1.7342181467181468,2.0582968983557546,1.106489409594828,0.20141015887058478,14,0.0074962518740629685,2.429665565701642,0,completed,
W250_GLOBAL_PCVT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,duration_median,2000,sha256_identity_splitmix64_counter_v1,upper,2.0,1.18275,1.0,1.0,2.0,1.690974424011837,0.81725,348,0.1744127936031984,2.1458339831738487,0,completed,
W250_GLOBAL_PCVT_SYNC,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,GLOBAL_PCVT_SYNC,global_synchronization,P_C_T_V,fragment_rate,2000,sha256_identity_splitmix64_counter_v1,lower,0.48046875,0.5288766225986583,0.5289256198347108,0.4669286740927057,0.5884824132308408,0.9084703869859021,-0.04840787259865831,124,0.062468765617191405,-1.5225688882663595,0,completed,
W250_C_GIVEN_P,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,C_GIVEN_P,nested_increment,P_TO_PC,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.46095388204579857,0.2653222067075941,0.26531899035805984,0.2613143583698418,0.26948179020569846,1.737336228903772,0.19563167533820447,0,0.0004997501249375312,93.25630786238075,0,completed,
W250_T_GIVEN_PC,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,T_GIVEN_PC,nested_increment,PC_TO_PCT,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.26070419883261153,0.15167535450990285,0.15171991566732002,0.14836476757236222,0.15473742349102176,1.7188303246430863,0.10902884432270868,0,0.0004997501249375312,68.0390058258275,0,completed,
W250_V_GIVEN_PCT,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,V_GIVEN_PCT,nested_increment,PCT_TO_PCVT,nested_retention,2000,sha256_identity_splitmix64_counter_v1,upper,0.22908772952491985,0.15893913492793338,0.15890874547289674,0.15170217862682991,0.16636572022817334,1.4413550799102652,0.07014859459698647,0,0.0004997501249375312,18.29305944928424,0,completed,
