test_group_id,candidate_config_id,null_model_id,W,N_perm,shifted_layer_count,block_count,shiftable_block_count,singleton_unshiftable_block_count,planned_block_layer_shift_count,shiftable_offset_zero_count,out_of_range_offset_count,preservation_violation_count,payload_tuple_fields,preservation_method,offset_plan_chain_sha256,status
W120_GLOBAL_PCT_SYNC,R0_W120_Q20_K3_WEAK_D010,GLOBAL_PCT_SYNC,120,2000,2,8677,8669,8,34708000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,9475c1e48145c4c47ec5674f3ca6cae671194341eb892147f9ecd966489d1012,passed
W120_GLOBAL_PCVT_SYNC,R0_W120_Q20_K3_WEAK_D010,GLOBAL_PCVT_SYNC,120,2000,3,8677,8669,8,52062000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,47a245b2a61d7e7b83a4115c0e1b1c3a3fbaa99e0c64951bf3099eba2d601842,passed
W120_C_GIVEN_P,R0_W120_Q20_K3_WEAK_D010,C_GIVEN_P,120,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,ce0e73754a05b6028cf21c97bb10f8afffa1ab0448db7124014be9ec51a03a94,passed
W120_T_GIVEN_PC,R0_W120_Q20_K3_WEAK_D010,T_GIVEN_PC,120,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,671b2ec3becf516f9956e550af4728c9b9d067abb619a9a0dbdf1b794c0c81be,passed
W120_V_GIVEN_PCT,R0_W120_Q20_K3_WEAK_D010,V_GIVEN_PCT,120,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,549266b19efc4abc9bce44500d19dfe6bec295ab8191bfb9572b5f346ef21c73,passed
W250_GLOBAL_PCT_SYNC,R0_W250_Q20_K3_WEAK_D010,GLOBAL_PCT_SYNC,250,2000,2,8677,8669,8,34708000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,bba4fc42cca9abf9d606914dbbf8dd2e98f595b11574c50db9a2e6cad5b3c6eb,passed
W250_GLOBAL_PCVT_SYNC,R0_W250_Q20_K3_WEAK_D010,GLOBAL_PCVT_SYNC,250,2000,3,8677,8669,8,52062000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,a559884614c2f913884640fed9c526825b4a6333a69fc28998f12c2e6522bebd,passed
W250_C_GIVEN_P,R0_W250_Q20_K3_WEAK_D010,C_GIVEN_P,250,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,b4e61ebbc08ec3c9434724f3e9296232e9f5b48466fb345b0d01c2ae8ef3f066,passed
W250_T_GIVEN_PC,R0_W250_Q20_K3_WEAK_D010,T_GIVEN_PC,250,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,3f5d9dccb45f9c029073a2363ee184f69ad0ece846e54dcceae35e68d3300b1a,passed
W250_V_GIVEN_PCT,R0_W250_Q20_K3_WEAK_D010,V_GIVEN_PCT,250,2000,1,8677,8669,8,17354000,0,0,0,"raw_state,validity_status,reason_codes_hash",bijective_source_index_mapping_within_block,1a206fe4b1e9dad86512e5d44826730fdb67e52fb30c37b33f1460654ed3c1d0,passed
