upstream_task,scope_id,year,metric,actual_value,expected_value,absolute_difference,mismatch_count,status
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,eligible_day_count,1730769,1730769,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,valid_day_count,1602732,1602732,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,unknown_day_count,126422,126422,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,blocked_day_count,1615,1615,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_true_day_count,39800,39800,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_false_day_count,1562932,1562932,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,state_null_day_count,128037,128037,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,coverage,0.02299555862163004,0.02299555862163004,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,max_year_share,0.16821608040201005,0.16821608040201005,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,pooled,year_hhi,0.11186045933183505,0.11186045933183505,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2016,year_state_true_count,1608,1608,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2016,year_state_share,0.04040201005025126,0.04040201005025126,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2017,year_state_true_count,2818,2818,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2017,year_state_share,0.07080402010050252,0.07080402010050252,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2018,year_state_true_count,2853,2853,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2018,year_state_share,0.07168341708542714,0.07168341708542714,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2019,year_state_true_count,4740,4740,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2019,year_state_share,0.11909547738693467,0.11909547738693467,0.0,0,matched
R1-T04,R0_W120_Q20_K3_WEAK_D010|S_PCT|raw,2020,year_state_true_count,2858,2858,0.0,0,matched
