task_id,run_id,code_commit,step_id,anchor_state,target_dimension,child_state,required_dimensions,W,q,year,N,n11,n10,n01,n00,anchor_true_count,anchor_false_count,target_true_count,target_false_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,association_lift,absolute_increment,delta_nonanchor,step_denominator_year_share,anchor_year_share,child_year_share,step_status,warnings,partial_year_observation
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2016,27827,6278,4143,2849,14557,10421,17406,9127,18700,6278,0.6024373860474043,0.3279908003018651,0.1636791910835344,1.8367508646369144,0.27444658574553915,0.43875819496386986,0.017797229140204585,0.03249352998035609,0.04328670026821482,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2017,120518,9883,11351,14488,84796,21234,99284,24371,96147,9883,0.46543279645850993,0.20221875570454206,0.14592482172354054,2.3016302065400147,0.26321404075396787,0.3195079747349694,0.0770793280453939,0.0662093480091048,0.06814311225721043,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2018,134378,10104,12128,20745,91401,22232,112146,30849,103529,10104,0.45448002878733357,0.2295688282308116,0.18498207693542346,1.9797114106902756,0.22491120055652197,0.2694979518519101,0.08594372578439687,0.06932119360169624,0.06966690339439989,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2019,144350,18829,21278,18583,85660,40107,104243,37412,106938,18829,0.4694691699703294,0.25917561482507795,0.17826616655314986,1.8113940630069776,0.21029355514525144,0.29120300341717953,0.09232148727453666,0.12505690499204888,0.12982562589203836,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2020,151961,10169,12276,21172,108344,22445,129516,31341,120620,10169,0.4530630429939853,0.20624370726699615,0.16347015040612742,2.1967363222746243,0.24681933572698916,0.2895928925878579,0.09718923122775107,0.06998534501574631,0.07011507725827915,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2021,162826,14002,19404,23434,105986,33406,129420,37436,125390,14002,0.4191462611506915,0.22991414147617703,0.18106938649358678,1.823055591359186,0.18923211967451445,0.2380768746571047,0.10413812599212821,0.10416263914439837,0.09654354526211276,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2022,172988,17158,21405,25172,109253,38563,134425,42330,130658,17158,0.4449342634131162,0.24469905426966032,0.18725683466617074,1.818291716496767,0.20023520914345588,0.25767742874694544,0.11063740520019084,0.12024258676062487,0.1183041100990809,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2023,181754,22871,28077,24850,105956,50948,130806,47721,134033,22871,0.4489086912145717,0.2625581830386126,0.18997599498493953,1.7097493820962109,0.1863505081759591,0.2589326962296322,0.11624384896498882,0.1588600293099685,0.1576951452428068,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2024,186108,8751,13338,28457,135562,22089,164019,37208,148900,8751,0.3961700393861198,0.1999269241515679,0.1734981922826014,1.98157422301849,0.19624311523455187,0.22267184710351837,0.11902852340623117,0.06887530791057342,0.060337992043190174,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2025,189646,24239,27108,24144,114155,51347,138299,48383,141263,24239,0.4720626326757162,0.2551227022979657,0.1745782688233465,1.8503356558381843,0.2169399303777505,0.29748436385236965,0.12129131122734174,0.16010414393065386,0.16712748133183483,computed,,False
