task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,confirmed_interval_count,confirmed_interval_total_duration,confirmed_interval_mean_duration,confirmed_interval_median_duration,confirmed_interval_q10,confirmed_interval_q25,confirmed_interval_q75,confirmed_interval_q90,confirmed_interval_max,single_day_fragment_count,fragment_rate,open_interval_count,open_interval_ratio,cross_year_interval_count,cross_year_interval_ratio,interval_year_share,partial_year_observation,interval_year_semantics
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2016,244,501,2.05327868852459,2.0,1.0,1.0,3.0,4.0,11,121,0.4959016393442623,0,0.0,0,0.0,0.04413892908827786,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2017,407,988,2.4275184275184274,2.0,1.0,1.0,3.0,5.0,12,161,0.3955773955773956,0,0.0,1,0.002457002457002457,0.07362518089725036,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2018,394,874,2.218274111675127,2.0,1.0,1.0,3.0,4.0,13,187,0.4746192893401015,0,0.0,0,0.0,0.07127351664254704,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2019,681,1386,2.0352422907488985,2.0,1.0,1.0,3.0,4.0,13,337,0.4948604992657856,0,0.0,2,0.002936857562408223,0.12319102749638206,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2020,373,819,2.195710455764075,2.0,1.0,1.0,3.0,4.0,12,173,0.46380697050938335,0,0.0,1,0.002680965147453083,0.06747467438494935,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2021,506,1149,2.2707509881422925,2.0,1.0,1.0,3.0,5.0,16,220,0.43478260869565216,0,0.0,15,0.029644268774703556,0.09153400868306802,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2022,712,1696,2.3820224719101124,2.0,1.0,1.0,3.0,5.0,15,318,0.44662921348314605,0,0.0,3,0.004213483146067416,0.1287988422575977,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2023,859,1872,2.1792782305005822,2.0,1.0,1.0,3.0,4.0,15,412,0.479627473806752,0,0.0,1,0.0011641443538998836,0.15539073806078146,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2024,350,761,2.1742857142857144,2.0,1.0,1.0,3.0,4.0,11,158,0.4514285714285714,0,0.0,4,0.011428571428571429,0.06331403762662807,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2025,897,2228,2.483835005574136,2.0,1.0,1.0,3.0,5.0,18,372,0.41471571906354515,0,0.0,6,0.006688963210702341,0.16226483357452967,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2026,105,206,1.9619047619047618,1.0,1.0,1.0,3.0,4.0,7,55,0.5238095238095238,0,0.0,0,0.0,0.01899421128798842,True,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2016,0,0,,,,,,,,0,,0,,0,,0.0,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2017,163,391,2.3987730061349692,2.0,1.0,1.0,3.0,4.800000000000011,12,70,0.4294478527607362,0,0.0,0,0.0,0.03337428337428337,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2018,244,531,2.1762295081967213,2.0,1.0,1.0,3.0,5.0,9,113,0.46311475409836067,0,0.0,0,0.0,0.049959049959049956,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2019,677,1394,2.0590841949778436,2.0,1.0,1.0,3.0,4.0,11,331,0.48892171344165436,0,0.0,5,0.007385524372230428,0.1386158886158886,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2020,303,674,2.2244224422442245,2.0,1.0,1.0,3.0,5.0,12,150,0.49504950495049505,0,0.0,1,0.0033003300330033004,0.06203931203931204,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2021,398,875,2.198492462311558,2.0,1.0,1.0,3.0,4.0,13,184,0.4623115577889447,0,0.0,11,0.02763819095477387,0.08149058149058148,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2022,653,1488,2.2787136294027563,2.0,1.0,1.0,3.0,5.0,13,296,0.45329249617151607,0,0.0,8,0.01225114854517611,0.1337018837018837,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2023,1057,2337,2.210974456007569,2.0,1.0,1.0,3.0,4.0,13,482,0.45600756859035,0,0.0,2,0.001892147587511826,0.21642096642096642,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2024,275,607,2.207272727272727,2.0,1.0,1.0,3.0,4.599999999999994,11,128,0.46545454545454545,0,0.0,3,0.01090909090909091,0.05630630630630631,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2025,1019,2367,2.322865554465162,2.0,1.0,1.0,3.0,5.0,21,449,0.44062806673209026,0,0.0,5,0.004906771344455349,0.20864045864045863,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCT,250,0.2,3,reference_baseline,2026,95,190,2.0,2.0,1.0,1.0,2.0,4.0,9,47,0.49473684210526314,0,0.0,0,0.0,0.019451269451269453,True,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2016,12,28,2.3333333333333335,2.5,1.0,1.0,3.0,3.9000000000000004,4,4,0.3333333333333333,0,0.0,0,0.0,0.008415147265077139,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2017,109,231,2.1192660550458715,2.0,1.0,1.0,3.0,4.0,12,48,0.44036697247706424,0,0.0,1,0.009174311926605505,0.07643758765778401,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2018,130,241,1.853846153846154,1.0,1.0,1.0,2.0,4.0,8,72,0.5538461538461539,0,0.0,0,0.0,0.091164095371669,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2019,167,317,1.8982035928143712,1.0,1.0,1.0,2.0,4.0,9,88,0.5269461077844312,0,0.0,0,0.0,0.11711079943899018,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2020,115,240,2.0869565217391304,2.0,1.0,1.0,3.0,4.0,7,56,0.48695652173913045,0,0.0,0,0.0,0.08064516129032258,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2021,154,306,1.9870129870129871,2.0,1.0,1.0,2.0,3.700000000000017,10,76,0.4935064935064935,0,0.0,4,0.025974025974025976,0.10799438990182328,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2022,208,482,2.3173076923076925,2.0,1.0,1.0,3.0,4.0,13,99,0.47596153846153844,0,0.0,0,0.0,0.1458625525946704,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2023,209,444,2.124401913875598,2.0,1.0,1.0,3.0,4.0,7,101,0.48325358851674644,0,0.0,0,0.0,0.14656381486676018,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2024,94,183,1.946808510638298,1.0,1.0,1.0,2.75,4.0,8,49,0.5212765957446809,0,0.0,0,0.0,0.06591865357643759,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2025,195,409,2.0974358974358975,2.0,1.0,1.0,2.0,4.0,9,97,0.49743589743589745,0,0.0,0,0.0,0.13674614305750352,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCVT,120,0.2,3,short_window_challenger,2026,33,60,1.8181818181818181,1.0,1.0,1.0,2.0,3.8000000000000007,5,19,0.5757575757575758,0,0.0,0,0.0,0.02314165497896213,True,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2016,0,0,,,,,,,,0,,0,,0,,0.0,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2017,32,76,2.375,2.0,1.0,1.0,3.0,4.0,8,10,0.3125,0,0.0,0,0.0,0.03125,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2018,67,138,2.0597014925373136,1.0,1.0,1.0,3.0,4.0,8,36,0.5373134328358209,0,0.0,0,0.0,0.0654296875,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2019,143,267,1.867132867132867,2.0,1.0,1.0,2.0,3.0,9,70,0.48951048951048953,0,0.0,0,0.0,0.1396484375,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2020,71,161,2.267605633802817,2.0,1.0,1.0,3.0,5.0,7,32,0.4507042253521127,0,0.0,0,0.0,0.0693359375,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2021,95,186,1.9578947368421054,1.0,1.0,1.0,2.0,4.0,9,53,0.5578947368421052,0,0.0,3,0.031578947368421054,0.0927734375,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2022,146,356,2.4383561643835616,2.0,1.0,1.0,3.0,5.0,12,59,0.4041095890410959,0,0.0,3,0.02054794520547945,0.142578125,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2023,229,466,2.034934497816594,2.0,1.0,1.0,3.0,4.0,12,113,0.49344978165938863,0,0.0,1,0.004366812227074236,0.2236328125,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2024,68,139,2.0441176470588234,1.0,1.0,1.0,3.0,4.300000000000004,8,36,0.5294117647058824,0,0.0,0,0.0,0.06640625,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2025,154,321,2.0844155844155843,2.0,1.0,1.0,3.0,4.0,7,74,0.4805194805194805,0,0.0,1,0.006493506493506494,0.150390625,False,confirmation_year_full_interval
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W250_Q20_K3_WEAK_D010,S_PCVT,250,0.2,3,depletion_reference,2026,19,33,1.736842105263158,2.0,1.0,1.0,2.0,3.0,4,9,0.47368421052631576,0,0.0,0,0.0,0.0185546875,True,confirmation_year_full_interval
