task_id,run_id,code_commit,candidate_config_id,state_line,W,q,K,primary_role,year,eligible_trading_days,valid_day_count,unknown_day_count,blocked_day_count,diagnostic_required_day_count,raw_state_true_count,raw_state_false_count,raw_state_null_count,raw_unique_security_count,raw_onset_count,confirmed_state_true_count,confirmed_state_false_count,confirmed_state_null_count,confirmed_unique_security_count,raw_coverage,raw_valid_hit_rate,confirmed_coverage,confirmed_valid_hit_rate,denominator_share,valid_denominator_share,raw_state_year_share,confirmed_state_year_share,partial_year_observation
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2016,122417,37011,85347,59,0,1608,35403,85406,316,702,501,36510,85406,179,0.013135430536608478,0.04344654291967253,0.004092568842562716,0.01353651617086812,0.07072983165286645,0.02309244465075883,0.04040201005025126,0.04014423076923077,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2017,133205,125417,7666,122,0,2818,122599,7788,419,1160,987,124430,7788,276,0.02115536203595961,0.02246904327164579,0.007409631770579183,0.00786974652559063,0.07696289915060878,0.07825200969344843,0.07080402010050252,0.07908653846153846,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2018,142250,137492,4550,208,0,2853,134639,4758,482,1296,875,136617,4758,281,0.020056239015817223,0.020750298199167953,0.006151142355008787,0.006364006633113199,0.08218889984740887,0.08578602037021785,0.07168341708542714,0.07011217948717949,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2019,153590,148708,4684,198,0,4740,143968,4882,583,2169,1378,147330,4882,403,0.030861384204700828,0.03187454609032466,0.00897193827723159,0.009266481964655567,0.08874090072100899,0.09278407119842869,0.11909547738693467,0.11041666666666666,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2020,162718,156065,6506,147,0,2858,153207,6653,533,1334,824,155241,6653,281,0.01756412935262233,0.018312882452824145,0.005063975712582504,0.0052798513439912854,0.09401485697975871,0.09737435828323138,0.07180904522613066,0.06602564102564103,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2021,173268,166886,6151,231,0,3707,163179,6382,597,1670,1116,165770,6382,346,0.021394602580972828,0.022212767997315534,0.006440889258258882,0.006687199645266829,0.10011041334805511,0.10412595493195369,0.09314070351758794,0.08942307692307692,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2022,180738,175753,4841,144,0,5082,170671,4985,682,2147,1721,174032,4985,466,0.028118049331075923,0.028915580388385972,0.009522070621562705,0.009792151485323152,0.10442641392352185,0.10965838331049732,0.12768844221105527,0.13790064102564104,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2023,187126,183471,3495,160,0,5979,177492,3655,729,2623,1882,181589,3655,516,0.031951733056870775,0.03258825645469856,0.010057394482861816,0.010257751906295819,0.10811725886007896,0.11447391079731359,0.15022613065326634,0.15080128205128204,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2024,190070,188470,1433,167,0,2669,185801,1600,559,1250,758,187712,1600,255,0.014042194980796549,0.01416140499814294,0.003988004419424423,0.0040218602430094974,0.1098182368646538,0.11759296002076454,0.0670603015075377,0.060737179487179487,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,R0_W120_Q20_K3_WEAK_D010,S_PCT,120,0.2,3,fast_state_challenger,2025,192701,191388,1187,126,0,6695,184693,1313,748,2872,2215,189173,1313,541,0.034742943731480375,0.034981294543022554,0.011494491466053627,0.011573348381298722,0.11133837040067161,0.11941360127582154,0.16821608040201005,0.17748397435897437,False
