handoff_row_id,state_line,candidate_config_id,formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,primary_role,request_role,center_id,same_parameter_parent_id
shared_S_PCT_W250,S_PCT,R0_W250_Q20_K3_WEAK_D010,,,250,3,0.2,0.2,0.2,0.2,reference,formal_candidate_family,,
shared_S_PCT_W120,S_PCT,R0_W120_Q20_K3_WEAK_D010,,,120,3,0.2,0.2,0.2,0.2,challenger,formal_candidate_family,,
shared_S_PCVT_W250,S_PCVT,R0_W250_Q20_K3_WEAK_D010,,,250,3,0.2,0.2,0.2,0.2,reference,formal_candidate_family,,W250_K3_P20_C20_T20_V20
shared_S_PCVT_W120,S_PCVT,R0_W120_Q20_K3_WEAK_D010,,,120,3,0.2,0.2,0.2,0.2,challenger,formal_candidate_family,,W120_K3_P20_C20_T20_V20
q_W250_K3_P20_C20_T25_V20_S_PCT,S_PCT,W250_K3_P20_C20_T25_V20,R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,q_revalidation,center,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T25_V20
q_W250_K3_P20_C20_T30_V20_S_PCT,S_PCT,W250_K3_P20_C20_T30_V20,R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,sidecar,immediate_neighbor,W250_K3_P20_C20_T25_V20,W250_K3_P20_C20_T30_V20
q_W120_K3_P20_C20_T25_V20_S_PCT,S_PCT,W120_K3_P20_C20_T25_V20,R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,q_revalidation,center,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T25_V20
q_W120_K3_P20_C20_T30_V20_S_PCT,S_PCT,W120_K3_P20_C20_T30_V20,R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,sidecar,immediate_neighbor,W120_K3_P20_C20_T25_V20,W120_K3_P20_C20_T30_V20
q_W250_K3_P20_C20_T20_V25_S_PCVT,S_PCVT,W250_K3_P20_C20_T20_V25,R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,sidecar,immediate_neighbor,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20
q_W250_K3_P20_C20_T20_V30_S_PCVT,S_PCVT,W250_K3_P20_C20_T20_V30,R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,q_revalidation,center,W250_K3_P20_C20_T20_V30,W250_K3_P20_C20_T20_V20
q_W120_K3_P20_C20_T20_V25_S_PCVT,S_PCVT,W120_K3_P20_C20_T20_V25,R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,sidecar,immediate_neighbor,W120_K3_P20_C20_T20_V30,W120_K3_P20_C20_T20_V20
q_W120_K3_P20_C20_T20_V30_S_PCVT,S_PCVT,W120_K3_P20_C20_T20_V30,R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,q_revalidation,center,W120_K3_P20_C20_T20_V30,W120_K3_P20_C20_T20_V20
