handoff_row_id,expected_status,actual_status,mismatch_reason
shared_S_PCT_W250,freeze_candidate,freeze_candidate,
shared_S_PCT_W120,freeze_candidate,freeze_candidate,
shared_S_PCVT_W250,freeze_candidate,freeze_candidate,
shared_S_PCVT_W120,freeze_candidate,freeze_candidate,
q_W250_K3_P20_C20_T25_V20_S_PCT,review_candidate,review_candidate,
q_W250_K3_P20_C20_T30_V20_S_PCT,review_candidate,review_candidate,
q_W120_K3_P20_C20_T25_V20_S_PCT,review_candidate,review_candidate,
q_W120_K3_P20_C20_T30_V20_S_PCT,review_candidate,review_candidate,
q_W250_K3_P20_C20_T20_V25_S_PCVT,do_not_freeze,do_not_freeze,
q_W250_K3_P20_C20_T20_V30_S_PCVT,review_candidate,review_candidate,
q_W120_K3_P20_C20_T20_V25_S_PCVT,do_not_freeze,do_not_freeze,
q_W120_K3_P20_C20_T20_V30_S_PCVT,review_candidate,review_candidate,
