candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,scope,metric,pooled_baseline,loyo_envelope,annual_mad_scaled,fallback_tolerance,robust_envelope
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,confirmed_coverage,0.1701882920106791,0.010733592794951896,0.08970885642597021,1e-05,0.08970885642597021
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,confirmed_coverage,0.06691698924087121,0.004827143034478051,0.04422863717945581,1e-05,0.04422863717945581
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,confirmed_coverage,0.007786704202574104,0.0005134951196007114,0.0035404567774335116,1e-05,0.0035404567774335116
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,confirmed_coverage,0.0018361832362276892,0.00012155730168642714,0.0005587316611579772,1e-05,0.0005587316611579772
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,C_GIVEN_P,delta,0.22110188924535673,0.0047610891063227245,0.031225684228914665,0.005,0.031225684228914665
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,C_GIVEN_P,lift,1.956642225906378,0.038401235939241385,0.19181249414371054,0.05,0.19181249414371054
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,T_GIVEN_PC,delta,0.12103360554601891,0.002774834753391464,0.011312623171828096,0.005,0.011312623171828096
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,T_GIVEN_PC,lift,1.789074975171152,0.015658552700094308,0.09931145297381895,0.05,0.09931145297381895
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,V_GIVEN_PCT,delta,0.11200816659020582,0.009859408932622549,0.04172698791350945,0.005,0.04172698791350945
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,V_GIVEN_PCT,lift,1.6755455792284848,0.0589374700191998,0.3014231460559304,0.05,0.3014231460559304
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,confirmed_coverage,0.16642034126784705,0.01731741199925868,0.11723221354748671,1e-05,0.11723221354748671
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,confirmed_coverage,0.06850767222351166,0.008425779786252564,0.035496530421319596,1e-05,0.035496530421319596
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,confirmed_coverage,0.007218334329783576,0.0007954721120723351,0.0032723887749329214,1e-05,0.0032723887749329214
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,confirmed_coverage,0.001425467916661678,0.0001617992591944385,0.0006860976348253074,1e-05,0.0006860976348253074
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,C_GIVEN_P,delta,0.24910224727970684,0.005257479308387464,0.029853520860175096,0.005,0.029853520860175096
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,C_GIVEN_P,lift,2.1758334909935626,0.07947408639741127,0.5311462639550532,0.05,0.5311462639550532
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,T_GIVEN_PC,delta,0.11268133148527448,0.0038333461485625664,0.02490461093598718,0.005,0.02490461093598718
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,T_GIVEN_PC,lift,1.7612427289417836,0.02651752852634348,0.15931633187976635,0.05,0.15931633187976635
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,V_GIVEN_PCT,delta,0.09942436011312905,0.013531508203819237,0.04169739768175059,0.005,0.04169739768175059
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,V_GIVEN_PCT,lift,1.7667883424914916,0.08030774111055283,0.3794692871491464,0.05,0.3794692871491464
