candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,archetype,affected_state,affected_step,confirmed_coverage,confirmed_state_days,unique_securities,confirmed_intervals,max_year_share,fragment_rate,baseline_retention,affected_delta,affected_lift,affected_lift_excess,selectivity_retained,hard_gate_pass,rejection_reasons,warnings,pareto_frontier,selected_center
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.004600624277169114,7399,757,3382,0.19610758210568996,0.4674748669426375,0.5928685897435897,0.2394876309987885,2.0361918714384646,1.0361918714384646,,false,material_advantage,[],false,false
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.006233219333819233,10006,769,4500,0.1890865480711573,0.46355555555555555,0.8017628205128206,0.231819137503591,2.0030125769890468,1.0030125769890468,,false,material_advantage,[],false,false
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.009188075309101724,14705,779,6404,0.169534172050323,0.4487820112429731,1.0,0.20839675128496615,1.9016708663202642,0.9016708663202642,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.010554360462569813,16868,782,7277,0.16178562959449846,0.44537584169300537,1.0,0.19462438293202922,1.8420819177042005,0.8420819177042005,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.0052092302393662825,8349,764,3799,0.18708827404479578,0.46959726243748356,0.6689903846153846,0.15474178279957937,2.1600091690745,1.1600091690744998,,true,,[],true,false
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.006641160218926184,10644,771,4779,0.1800075159714393,0.4618120945804562,0.8528846153846154,0.19281448550708416,2.0523662844244193,1.0523662844244193,,false,material_advantage,[],false,false
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.008675811052627639,13905,777,6111,0.17684286227975549,0.4491899852724595,1.0,0.24053591404306424,1.8673545061192263,0.8673545061192263,,false,material_advantage,"[""affected_lift_deterioration_vs_baseline""]",false,false
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,C_GIVEN_P,0.009503772308782753,15232,779,6632,0.17745535714285715,0.4455669481302774,1.0,0.25422498280160916,1.7862152764034218,0.7862152764034218,,true,,"[""affected_lift_deterioration_vs_baseline""]",true,false
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,T_GIVEN_PC,0.0010937574092237505,1753,555,1097,0.18254420992584142,0.6399270738377393,0.1404647435897436,0.04457839067986291,1.7968458046052418,0.7968458046052418,,false,material_advantage,[],false,false
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,PCT_fast_W120,S_PCT,T_GIVEN_PC,0.003753590743804953,6016,758,3129,0.1778590425531915,0.5343560242889102,0.48205128205128206,0.08283409111476754,1.7979687002730855,0.7979687002730855,,false,material_advantage,[],false,false
