candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,diagnostic_namespace,authoritative,formal_candidate_state
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C30_T20_V20,120,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T10_V20,120,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T15_V20,120,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T20_V10,120,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T20_V15,120,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P10_C20_T20_V20,250,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P15_C20_T20_V20,250,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P25_C20_T20_V20,250,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P30_C20_T20_V20,250,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C10_T20_V20,250,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C15_T20_V20,250,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C25_T20_V20,250,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C30_T20_V20,250,3,0.2,0.3,0.2,0.2,C,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T10_V20,250,3,0.2,0.2,0.1,0.2,T,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T15_V20,250,3,0.2,0.2,0.15,0.2,T,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,T,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,T,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T20_V10,250,3,0.2,0.2,0.2,0.1,V,0.1,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T20_V15,250,3,0.2,0.2,0.2,0.15,V,0.15,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,V,0.25,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,V,0.3,diagnostic_nonbaseline,r1_t14_01_diagnostic_only,false,false
