candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,exact_day_intersection,exact_day_union,jaccard,baseline_retention,candidate_novelty,added_state_days,lost_state_days,same_security_overlap,confirmed_interval_overlap,candidate_confirmed_intervals,candidate_confirmed_state_days
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,12480,12480,1.0,1.0,0.0,0,0,777,5528,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,2941,2941,1.0,1.0,0.0,0,0,617,1426,,
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCT,7399,12480,0.5928685897435897,0.5928685897435897,0.0,0,5081,757,2849,3382,7399
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCVT,2108,2941,0.7167630057803468,0.7167630057803468,0.0,0,833,551,949,1041,2108
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCT,10006,12480,0.8017628205128206,0.8017628205128206,0.0,0,2474,769,4026,4500,10006
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCVT,2610,2941,0.8874532471948317,0.8874532471948317,0.0,0,331,595,1220,1281,2610
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCT,12480,14705,0.8486909214552874,1.0,0.15130907854471265,2225,0,777,5007,6404,14705
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCVT,2941,3214,0.9150591163658992,1.0,0.0849408836341008,273,0,617,1358,1547,3214
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCT,12480,16868,0.7398624614654968,1.0,0.26013753853450317,4388,0,777,4895,7277,16868
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCVT,2941,3451,0.8522167487684729,1.0,0.14778325123152714,510,0,617,1349,1659,3451
