candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,profile_type,step_id,year,N,n11,n10,n01,n00,anchor_true_count,target_true_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,lift,delta,delta_nonanchor,evaluable_securities,security_median_delta,security_q25_delta,security_q75_delta,security_median_lift
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,pooled,C_GIVEN_P,,1563558,145033,175677,216341,1026507,320710,361374,145033,0.45222475133297996,0.23112286208762323,0.17406875177012796,1.956642225906378,0.22110188924535673,0.278155999562852,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,pooled,T_GIVEN_PC,,1563558,39800,105233,200029,1218496,145033,239829,39800,0.27442030434452847,0.15338669879850955,0.14101196665550483,1.789074975171152,0.12103360554601891,0.13340833768902363,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,pooled,V_GIVEN_PCT,,1545035,10768,27992,245405,1260870,38760,256173,10768,0.27781217750257997,0.16580401091237415,0.16292177723191317,1.6755455792284848,0.11200816659020582,0.1148904002706668,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,security_summary,C_GIVEN_P,,1563558,145033,175677,216341,1026507,,,,,,,,,,793,0.221302212816667,0.17608047232109514,0.26783525218951815,1.9506486293489904
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,security_summary,T_GIVEN_PC,,1563558,39800,105233,200029,1218496,,,,,,,,,,791,0.12139878217491848,0.08619415228543786,0.15635273758220264,1.7844270656239374
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,security_summary,V_GIVEN_PCT,,1545035,10768,27992,245405,1260870,,,,,,,,,,790,0.10170405551882965,0.0034930948060932707,0.2056057329737366,1.6070556318006255
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,pooled,C_GIVEN_P,,1563558,87062,97936,274312,1104248,184998,361374,87062,0.47061049308641173,0.23112286208762323,0.19898444753946146,2.0361918714384646,0.2394876309987885,0.27162604554695025,,,,,
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,pooled,T_GIVEN_PC,,1563558,24940,62122,214889,1261607,87062,239829,24940,0.28646252096207303,0.15338669879850955,0.14553984568871164,1.8675838466174524,0.13307582216356348,0.1409226752733614,,,,,
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,pooled,V_GIVEN_PCT,,1545035,8015,16118,248158,1272744,24133,256173,8015,0.33211784693158747,0.16580401091237415,0.16316501654938978,2.0030748659458464,0.16631383601921332,0.1689528303821977,,,,,
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,security_summary,C_GIVEN_P,,1563558,87062,97936,274312,1104248,,,,,,,,,,792,0.23611914296115244,0.17818526098236673,0.3038991140756371,2.015214640841786
