candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,1426,2941,2.0624123422159886,2.0,1.0,3.0,4.0,0.49719495091164095,0,5
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_P,17480,148646,8.503775743707093,6.0,3.0,12.0,20.0,0.1389016018306636,0,706
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PC,9512,59889,6.296152228763667,4.0,2.0,9.0,14.0,0.16757779646761986,0,325
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCT,3382,7399,2.18775872264932,2.0,1.0,3.0,4.0,0.4674748669426375,0,19
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCVT,1041,2108,2.024975984630163,1.0,1.0,3.0,4.0,0.5062439961575408,0,5
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_P,20977,212904,10.149401725699576,7.0,3.0,14.0,24.0,0.1237069170996806,0,1059
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PC,12006,84670,7.052307179743462,5.0,2.0,10.0,16.0,0.15242378810594703,0,448
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCT,4500,10006,2.2235555555555555,2.0,1.0,3.0,4.0,0.46355555555555555,0,25
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PCVT,1281,2610,2.037470725995316,1.0,1.0,3.0,4.0,0.501951600312256,0,5
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_P,25983,338681,13.034715005965438,8.0,3.0,18.0,32.0,0.10737790093522688,0,1786
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PC,15871,128110,8.071955138302565,6.0,3.0,11.0,19.0,0.1343960683006742,0,691
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCT,6404,14705,2.2962211118051217,2.0,1.0,3.0,5.0,0.4487820112429731,0,45
W120_K3_P25_C20_T20_V20,120,3,0.25,0.2,0.2,0.2,P,0.25,diagnostic_nonbaseline,S_PCVT,1547,3214,2.0775694893341954,2.0,1.0,3.0,4.0,0.497737556561086,0,9
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_P,27847,403633,14.494667289115524,9.0,3.0,20.0,36.0,0.10299134556684741,0,2129
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PC,17525,147704,8.428188302425108,6.0,3.0,12.0,19.0,0.12724679029957203,0,779
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCT,7277,16868,2.3179881819431083,2.0,1.0,3.0,5.0,0.44537584169300537,0,49
W120_K3_P30_C20_T20_V20,120,3,0.3,0.2,0.2,0.2,P,0.3,diagnostic_nonbaseline,S_PCVT,1659,3451,2.080168776371308,2.0,1.0,3.0,4.0,0.49547920433996384,0,9
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PC,10601,62947,5.9378360532025285,4.0,2.0,8.0,13.0,0.1786623903405339,0,324
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCT,3799,8349,2.197683600947618,2.0,1.0,3.0,4.0,0.46959726243748356,0,23
W120_K3_P20_C10_T20_V20,120,3,0.2,0.1,0.2,0.2,C,0.1,diagnostic_nonbaseline,S_PCVT,965,1907,1.9761658031088083,1.0,1.0,3.0,4.0,0.5119170984455959,0,3
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PC,12613,86391,6.84936176960279,5.0,2.0,9.0,16.0,0.15896297470863394,0,449
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCT,4779,10644,2.2272441933458884,2.0,1.0,3.0,4.0,0.4618120945804562,0,28
W120_K3_P20_C15_T20_V20,120,3,0.2,0.15,0.2,0.2,C,0.15,diagnostic_nonbaseline,S_PCVT,1211,2455,2.027250206440958,1.0,1.0,3.0,4.0,0.500412881915772,0,4
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_P,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420
W120_K3_P20_C25_T20_V20,120,3,0.2,0.25,0.2,0.2,C,0.25,diagnostic_nonbaseline,S_PC,15302,125163,8.179519017121946,6.0,3.0,11.0,19.0,0.13481897791138414,0,665
