candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,state_name,total_rows,valid_rows,unknown_rows,blocked_rows,diagnostic_required_rows,raw_state_days,confirmed_state_days,unique_securities,raw_coverage,confirmed_coverage,confirmed_intervals,confirmed_interval_total_duration,mean_duration,median_duration,q25_duration,q75_duration,q90_duration,fragment_rate,open_intervals,cross_year_intervals,nonzero_years,max_year_share,year_HHI,effective_years
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_P,1730769,1619612,111157,0,0,337590,275639,794,0.2084388112708476,0.1701882920106791,23733,275639,11.61416592929676,7.0,3.0,16.0,28.0,0.11401845531538364,0,1420,11,0.15876925979269987,0.1090136642661192,9.173161976821964
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PC,1730769,1602732,126422,1615,0,145033,107250,791,0.090491111427238,0.06691698924087121,14117,107250,7.597223206063611,5.0,2.0,10.0,17.0,0.14245236239994333,0,565,11,0.1764009324009324,0.11551593586211768,8.656814252828472
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCT,1730769,1602732,126422,1615,0,39800,12480,777,0.02483259833833729,0.007786704202574104,5528,12480,2.2575976845151953,2.0,1.0,3.0,4.0,0.4547756874095514,0,33,11,0.17748397435897437,0.11459613586867193,8.726297727403374
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,S_PCVT,1730769,1601692,127424,1653,0,10768,2941,617,0.006722890543250513,0.0018361832362276892,1426,2941,2.0624123422159886,2.0,1.0,3.0,4.0,0.49719495091164095,0,5,11,0.16865011900714044,0.1159749353747352,8.622552767706452
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,196350,148646,794,0.12123273969321047,0.09177877170581596,17480,148646,8.503775743707093,6.0,3.0,12.0,20.0,0.1389016018306636,0,706,11,0.17146105512425494,0.11234399460288365,8.901232358123146
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PC,1730769,1608260,121679,830,0,87062,59889,790,0.05413428177036051,0.03723838185368038,9512,59889,6.296152228763667,4.0,2.0,9.0,14.0,0.16757779646761986,0,325,11,0.18986792232296415,0.11991426877677808,8.339291146923578
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCT,1730769,1608260,121679,830,0,24940,7399,757,0.015507442826408665,0.004600624277169114,3382,7399,2.18775872264932,2.0,1.0,3.0,4.0,0.4674748669426375,0,19,11,0.19610758210568996,0.11915954057781247,8.392110234320592
W120_K3_P10_C20_T20_V20,120,3,0.1,0.2,0.2,0.2,P,0.1,diagnostic_nonbaseline,S_PCVT,1730769,1607453,122458,858,0,8015,2108,551,0.004986148895177651,0.00131139137505109,1041,2108,2.024975984630163,1.0,1.0,3.0,4.0,0.5062439961575408,0,5,11,0.16888045540796964,0.11926419279225432,8.384746306394701
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_P,1730769,1619612,111157,0,0,268754,212904,794,0.1659372738655925,0.13145370619629887,20977,212904,10.149401725699576,7.0,3.0,14.0,24.0,0.1237069170996806,0,1059,11,0.16472212828316987,0.11070508476908583,9.033008755522383
W120_K3_P15_C20_T20_V20,120,3,0.15,0.2,0.2,0.2,P,0.15,diagnostic_nonbaseline,S_PC,1730769,1605270,124303,1196,0,117778,84670,790,0.07336958891650626,0.052745021086795366,12006,84670,7.052307179743462,5.0,2.0,10.0,16.0,0.15242378810594703,0,448,11,0.18280382662099917,0.11778116888653885,8.490321580721632
