candidate_q_vector_id,W,K,qP,qC,qT,qV,changed_layer,changed_q,role,profile_type,state_name,year,valid_rows,raw_state_days,confirmed_state_days,unique_securities,confirmed_intervals,confirmed_interval_total_duration,step_id,N,n11,n10,n01,n00,anchor_true_count,target_true_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,lift,delta,delta_nonanchor
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2016,48351,21761,19241,488,1022,19717,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2017,126750,22567,18240,544,1690,18390,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2018,138219,22959,17870,583,1881,19358,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2019,149395,40794,33815,623,2700,32686,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2020,156639,23019,18290,643,1784,17543,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2021,167633,34153,27800,700,2405,30171,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2022,176278,39088,31289,740,2879,32086,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2023,183908,51385,42382,769,3577,39473,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2024,188674,22293,16751,758,1994,16985,,,,,,,,,,,,,,,
W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,BASELINE,0.2,baseline,state_year,S_P,2025,191629,51588,43763,790,3158,44853,,,,,,,,,,,,,,,
