formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,state_line,analysis_level,eligible_day_count,state_true_day_count,coverage,unique_security_count,nonzero_year_count,max_year_share,year_hhi,effective_years,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,raw,1602732,39800,0.02483259833833729,790,11,0.16821608040201005,0.11186045933183505,8.93970940199245,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,confirmed,1602732,12480,0.007786704202574104,777,11,0.17748397435897437,0.11459613586867193,8.726297727403374,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCVT,raw,1601692,10768,0.006722890543250513,762,11,0.14951708766716196,0.11303061572564353,8.847160511159876,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCVT,confirmed,1601692,2941,0.0018361832362276892,617,11,0.16865011900714044,0.1159749353747352,8.622552767706452,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,raw,1601692,16073,0.010035012973780228,781,11,0.153051701611398,0.11330933038592521,8.825398549210874,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,confirmed,1601692,4567,0.002851359687130859,704,11,0.1569958397197285,0.11556093832771529,8.653443061911927,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,raw,1602732,52420,0.0327066533893377,790,11,0.1702212895841282,0.1121346661346641,8.917848819374786,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,confirmed,1602732,20479,0.012777557320874607,783,11,0.18164949460422872,0.11505869314435124,8.691216392884039,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,raw,1601692,13299,0.008303094477589949,774,11,0.15181592600947438,0.1131475640910015,8.838016160875785,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,confirmed,1601692,3723,0.0023244169290974792,669,11,0.1616975557346226,0.11571231210133319,8.642122707947156,true
