formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,layer,q_dimension,indicator_a,indicator_b,common_eligible_rows,both_hit,a_only,b_only,neither,A_given_B,B_given_A,jaccard,continuous_score_spearman,redundancy_conflict,threshold_response_scope,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,185298,161405,228761,991614,0.4475159337195907,0.5344574462868795,0.3219975532787455,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,V,0.3,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,289588,188107,253999,835384,0.5327353303151106,0.6062194496488345,0.3957774698166173,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T,0.25,T1_ER20,T2_AbsTrendT20,1618814,227573,198670,197177,995394,0.535781047675103,0.5339043691040087,0.3650396201597639,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,V,0.2,V1_TurnoverShrink20_60,V2_AmountLevel20Pct,1567078,185298,161405,228761,991614,0.4475159337195907,0.5344574462868795,0.3219975532787455,0.6194979669166466,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,P,0.2,P1_NATR14,P2_LogRange20,1619612,255869,205427,132386,1025930,0.6590230647383807,0.5546742221913912,0.4309866224679205,0.6848146937973308,complementary,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,C,0.2,C1_LogMASpread_5_60,C2_AdjVWAPSpread_5_60,1563558,310263,77629,67330,1108336,0.8216863130407608,0.7998695513184082,0.6815641599043983,0.9048447469786087,complementary,frozen_q_and_immediate_neighbors,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,T,0.2,T1_ER20,T2_AbsTrendT20,1618814,159787,186315,185524,1087188,0.462733593774887,0.4616760376998688,0.30056280166884236,0.6554608271671122,conflict_or_sparse,frozen_q_and_immediate_neighbors,true
