formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,family_id,N_perm,primary_statistic,observed_value,null_mean,null_sd,joint_lift,joint_excess,z_observed,empirical_p,family_adjusted_p,n_extreme,n_family_extreme,selection_path_not_independently_confirmed,family_candidate_count,multiplicity_method,null_status
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.007210667628089017,0.0018365064893119765,5.667019843084783e-05,3.926295752317434,0.005374161138777041,94.83222730082541,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.011832312688752802,0.002997083724055608,7.691197685214209e-05,3.947941992338305,0.008835228964697194,114.87455304499981,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.017053113384859563,0.004321611318437064,9.77166452265706e-05,3.9460081271322935,0.012731502066422498,130.29000368261327,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.006271200836160112,0.001775394405608143,5.3668729869310906e-05,3.5322860184478144,0.004495806430551969,83.76957012956592,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.010589512523046114,0.003024502403266987,7.630539988606359e-05,3.501241232808281,0.007565010119779126,99.1412158389173,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F1_GLOBAL_PCT,10000,confirmed_coverage,0.015647957641949907,0.004483444122236994,9.894392224605392e-05,3.4901645287245002,0.011164513519712913,112.83677932181605,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,F2_GLOBAL_PCVT,10000,confirmed_coverage,0.0016992446710104006,0.0002900504342289468,2.2225184527631922e-05,5.8584455338864565,0.0014091942367814537,63.40528849285565,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,F2_GLOBAL_PCVT,10000,confirmed_coverage,0.0021510669534755937,0.00036363916848522243,2.4929454974611156e-05,5.9153884946885436,0.0017874277849903712,71.69943293227777,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,F2_GLOBAL_PCVT,10000,confirmed_coverage,0.002638711462939306,0.00043988492976243504,2.7468602976101892e-05,5.998640290687778,0.002198826533176871,80.04872090109147,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,F2_GLOBAL_PCVT,10000,confirmed_coverage,0.00123817794286817,0.0002618020082402678,2.0831638382635536e-05,4.729444022185793,0.0009763759346279022,46.86985808287514,9.999000099990002e-05,9.999000099990002e-05,0,0,true,6,studentized_family_max_statistic_common_replicate_schedule,passed
