formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,state_line,interval_count,confirmed_day_count_from_intervals,duration_mean,duration_median,duration_q90,duration_q95,duration_max,single_day_fragment_count,fragment_rate,open_interval_count,cross_year_interval_count,conservation_mismatch,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,5528,12480,2.2575976845151953,2.0,4.0,6.0,18,2514,0.4547756874095514,0,93,0,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCVT,1426,2941,2.0624123422159886,2.0,4.0,5.0,13,709,0.49719495091164095,0,32,0,true
R0T15_60b6c8080a398fa8fed4,W120_K3_P20_C20_T20_V30,120,3,0.2,0.2,0.2,0.3,center,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,2179,4567,2.095915557595227,2.0,4.0,5.0,16,1070,0.49105094079853145,0,42,0,true
R0T15_30cc9cff66c45b57bc80,W120_K3_P20_C20_T25_V20,120,3,0.2,0.2,0.25,0.2,center,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,7673,20479,2.6689691124723054,2.0,5.0,7.0,20,2939,0.3830314088361788,0,157,0,true
R0T15_4623702357099f4800ff,W120_K3_P20_C20_T20_V25,120,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_short_window_or_state_line_specific_W120,W120_K3_P20_C20_T20_V30,S_PCVT,1769,3723,2.104578858111928,2.0,4.0,5.0,13,850,0.48049745618993783,0,37,0,true
R0T15_ebf91f90f1a105d63dda,W120_K3_P20_C20_T30_V20,120,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_fast_W120,W120_K3_P20_C20_T25_V20,S_PCT,9499,29515,3.1071691757027056,2.0,6.0,8.0,22,3110,0.3274028845141594,0,226,0,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,S_PCT,4884,10854,2.2223587223587224,2.0,4.0,6.0,21,2250,0.4606879606879607,0,86,0,true
R0T15_d0211154bb6ed83d5fb1,W250_K3_P20_C20_T20_V20,250,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,S_PCVT,1024,2143,2.0927734375,2.0,4.0,5.0,12,492,0.48046875,0,18,0,true
R0T15_6544fee51f1246d4915d,W250_K3_P20_C20_T20_V30,250,3,0.2,0.2,0.2,0.3,center,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,S_PCVT,1674,3591,2.1451612903225805,2.0,4.0,5.0,12,805,0.480884109916368,0,29,0,true
R0T15_67d6724c4be0c280defb,W250_K3_P20_C20_T25_V20,250,3,0.2,0.2,0.25,0.2,center,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,S_PCT,6958,18328,2.634090255820638,2.0,5.0,7.0,22,2633,0.37841333716585224,0,144,0,true
R0T15_91a5b343f0936218f031,W250_K3_P20_C20_T20_V25,250,3,0.2,0.2,0.2,0.25,immediate_neighbor,PCVT_depletion_W250,W250_K3_P20_C20_T20_V30,S_PCVT,1319,2808,2.1288855193328278,2.0,4.0,5.0,12,626,0.4746019711902957,0,23,0,true
R0T15_1c9720c4f9f1497c6968,W250_K3_P20_C20_T30_V20,250,3,0.2,0.2,0.3,0.2,immediate_neighbor,PCT_q_decoupled_W250,W250_K3_P20_C20_T25_V20,S_PCT,8562,27083,3.1631628124270033,2.0,7.0,8.0,24,2645,0.30892314879701005,0,213,0,true
