formal_vector_id,candidate_q_vector_id,W,K,qP,qC,qT,qV,request_role,archetype,center_id,step_id,left_out_year,N,n11,n10,n01,n00,retention,target_marginal,lift,delta,nonanchor_target_rate,delta_nonanchor,joint_rate,independence_expected_joint_rate,joint_excess,selection_path_not_independently_confirmed
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2016,1535731,138755,171534,213492,1011950,0.4471798871374751,0.22936764316146513,1.949620622045104,0.21781224397600996,0.17421632357957373,0.27296356355790136,0.09035110966699246,0.04634291853776987,0.04400819112922259,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2017,1443040,135150,164326,201853,941711,0.45128825014358415,0.2335368388956647,1.9324071194832024,0.21775141124791944,0.17651220220293748,0.2747760479406467,0.09365644749972281,0.04846620908991995,0.04519023840980286,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2018,1429180,134929,163549,195596,935106,0.4520567680030019,0.23126897941476932,1.9546796511444828,0.22078778858823256,0.17298633945991074,0.27907042854309116,0.09441008130536392,0.04829951611256911,0.046110565192794814,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2019,1419208,126204,154399,197758,940847,0.44975998118338006,0.22826957007006726,1.97030195941284,0.2214904111133128,0.17368446476170402,0.27607551642167605,0.08892565430860029,0.04513300810760021,0.04379264620100008,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2020,1411597,134864,163401,195169,918163,0.4521616683150889,0.2338011486281141,1.9339582845005638,0.2183605196869748,0.17530170694815203,0.2768599613669369,0.09554001602440357,0.04940128067399155,0.04613873535041202,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2021,1400732,131031,156273,192907,920521,0.4560709213933673,0.23126336801044026,1.9720845774968487,0.22480755338292704,0.1732550286143334,0.2828158927790339,0.09354466093442572,0.04743440621251711,0.046110254721908606,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2022,1390570,127875,154272,191169,917254,0.4532211932077959,0.22943397311893685,1.9753883308852846,0.22378722008885907,0.1724693551108196,0.28075183809697635,0.09195869319775343,0.04655221039831772,0.04540648279943571,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2023,1381804,122162,147600,191491,920551,0.4528510316501212,0.22698805329844174,1.9950434618456194,0.22586297835167946,0.1721976328232207,0.2806533988269005,0.08840761786765707,0.044313630032836955,0.04409398783482011,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2024,1377450,136282,162339,187884,890945,0.45637111924479523,0.23533776180623617,1.9392175558317133,0.22103335743855906,0.17415549637616343,0.2822156228686318,0.09893789248248576,0.051019490920425466,0.047918401562060293,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2025,1373912,120794,148569,192197,912352,0.4484431789072738,0.2278100780836036,1.9684957868400383,0.22063310082367021,0.17400495586886594,0.27443822303840787,0.08791975031879772,0.0446634180812408,0.04325633223755691,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,C_GIVEN_P,2026,1472356,142284,170508,203894,955670,0.4548837566178163,0.23511840886307386,1.9347007272524008,0.21976534775474246,0.17583678003111514,0.2790469765867012,0.09663695464955487,0.049949303935392396,0.04668765071416247,true
R0T15_df8773397c1c94724915,W120_K3_P20_C20_T20_V20,120,3,0.2,0.2,0.2,0.2,baseline_reference,PCT_fast_W120,W120_K3_P20_C20_T25_V20,T_GIVEN_PC,2016,1565529,38192,100563,202053,1224721,0.2752477388202227,0.15345930992016119,1.7936203346895225,0.1217884289000615,0.141615280345731,0.13363245847449168,0.024395587689528587,0.013601310833572527,0.01079427685595606,true
