r1_handoff_row_id,route_id,candidate_role,r1_handoff_status,required_R2_decision,selection_eligible,fallback_eligible,t03_geometry_role,role_reason_code,warning_codes
q_W120_K3_P20_C20_T25_V20_S_PCT,r2_s_pct_w120_qt25_primary,primary,review_candidate,accept_or_reject_qT_decoupling_and_converge_qT,True,False,primary,pre_registered_primary_q_vector_route,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]"
q_W250_K3_P20_C20_T25_V20_S_PCT,r2_s_pct_w250_qt25_primary,primary,review_candidate,accept_or_reject_qT_decoupling_and_converge_qT,True,False,primary,pre_registered_primary_q_vector_route,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]"
q_W120_K3_P20_C20_T20_V30_S_PCVT,r2_s_pcvt_w120_qv30_primary,primary,review_candidate,accept_or_reject_qV_selectivity_heterogeneity_tradeoff,True,False,primary,pre_registered_primary_q_vector_route,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]"
q_W250_K3_P20_C20_T20_V30_S_PCVT,r2_s_pcvt_w250_qv30_primary,primary,review_candidate,accept_or_reject_qV_selectivity_heterogeneity_tradeoff,True,False,primary,pre_registered_primary_q_vector_route,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]"
shared_S_PCT_W120,r2_s_pct_w120_q20_shared,strict_core_reference,freeze_candidate,choose_window_and_state_version_without_R1_winner,False,True,shared_q_sidecar,shared_q_strict_core_and_fallback_reference,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]"
shared_S_PCT_W250,r2_s_pct_w250_q20_shared,strict_core_reference,freeze_candidate,choose_window_and_state_version_without_R1_winner,False,True,shared_q_sidecar,shared_q_strict_core_and_fallback_reference,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]"
shared_S_PCVT_W120,r2_s_pcvt_w120_q20_shared,strict_core_reference,freeze_candidate,choose_window_and_state_version_without_R1_winner,False,True,shared_q_sidecar,shared_q_strict_core_and_fallback_reference,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]"
shared_S_PCVT_W250,r2_s_pcvt_w250_q20_shared,strict_core_reference,freeze_candidate,choose_window_and_state_version_without_R1_winner,False,True,shared_q_sidecar,shared_q_strict_core_and_fallback_reference,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]"
q_W120_K3_P20_C20_T30_V20_S_PCT,r2_s_pct_w120_qt30_sensitivity,sensitivity,review_candidate,compare_qT_025_vs_030_under_parsimony,False,False,not_run,immediate_neighbor_sensitivity_only,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]"
q_W250_K3_P20_C20_T30_V20_S_PCT,r2_s_pct_w250_qt30_sensitivity,sensitivity,review_candidate,compare_qT_025_vs_030_under_parsimony,False,False,not_run,immediate_neighbor_sensitivity_only,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]"
q_W120_K3_P20_C20_T20_V25_S_PCVT,r2_s_pcvt_w120_qv25_excluded,excluded,do_not_freeze,retain_as_sensitivity_only_unless_new_R2_evidence,False,False,not_run,r1_do_not_freeze_complexity_not_justified,"[""V_security_negative_delta_share_material"",""complexity_not_justified"",""failed_hard_gate:material_advantage"",""prefer_shared_q"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only"",""stability_envelope_equivalent""]"
q_W250_K3_P20_C20_T20_V25_S_PCVT,r2_s_pcvt_w250_qv25_excluded,excluded,do_not_freeze,retain_as_sensitivity_only_unless_new_R2_evidence,False,False,not_run,r1_do_not_freeze_complexity_not_justified,"[""V_security_negative_delta_share_material"",""complexity_not_justified"",""failed_hard_gate:material_advantage"",""prefer_shared_q"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only"",""stability_envelope_equivalent""]"
