handoff_row_id,state_line,W,K,qP,qC,qT,qV,source_route,archetype,confirmed_state_days,confirmed_coverage,unique_securities,confirmed_intervals,nonzero_years,max_year_share,fragment_rate,median_duration,retention,target_marginal,association_lift,absolute_increment,global_joint_lift,nested_joint_lift,warning_codes,eligible_days,denominator_scope,metric_source_task,metric_source_run,coverage_comparable_group,coverage_cross_group_comparable
q_W120_K3_P20_C20_T25_V20_S_PCT,S_PCT,120,3,0.2,0.2,0.25,0.2,R1-T14-01→R0-T15→R1-T14-02,PCT_fast_W120,20479,0.012777557320874607,783,7673,11,0.18164949460422872,0.3830314088361788,2.0,0.36143498376231614,0.20323319725411654,1.7784249258765976,0.1582017865081996,3.947941992338305,1.7589168403073427,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",1602732,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pct_W120,False
q_W250_K3_P20_C20_T25_V20_S_PCT,S_PCT,250,3,0.2,0.2,0.25,0.2,R1-T14-01→R0-T15→R1-T14-02,PCT_q_decoupled_W250,18328,0.012188836520754873,782,6958,10,0.22681143605412485,0.37841333716585224,2.0,0.3465938617962719,0.19830794429268825,1.7477558099474033,0.14828591750358364,3.501241232808281,1.6940180296944136,"[""affected_lift_deterioration_vs_baseline"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",1503671,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pct_W250,False
q_W120_K3_P20_C20_T20_V30_S_PCVT,S_PCVT,120,3,0.2,0.2,0.2,0.3,R1-T14-01→R0-T15→R1-T14-02,PCVT_short_window_or_state_line_specific_W120,4567,0.002851359687130859,704,2179,11,0.1569958397197285,0.49105094079853145,2.0,0.4146800825593395,0.24529947459924056,1.6905053842321738,0.16938060796009896,5.998640290687778,1.5682357277602417,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",1601692,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pcvt_W120,False
q_W250_K3_P20_C20_T20_V30_S_PCVT,S_PCVT,250,3,0.2,0.2,0.2,0.3,R1-T14-01→R0-T15→R1-T14-02,PCVT_depletion_W250,3591,0.002388639892082168,640,1674,10,0.2049568365357839,0.480884109916368,2.0,0.374992713494608,0.2048650762933351,1.830437477580007,0.17012763720127289,4.990237006380305,1.5029111836707543,"[""V_security_negative_delta_share_material"",""V_selectivity_reduced_but_guard_passed"",""layer_q_complexity_added"",""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed""]",1503366,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pcvt_W250,False
shared_S_PCT_W120,S_PCT,120,3,0.2,0.2,0.2,0.2,R1-T01..R1-T09,shared_q,12480,0.007210667628089017,777,5528,11,0.17748397435897437,0.4547756874095514,2.0,0.27442030434452847,0.15338669879850955,1.789074975171152,0.12103360554601891,3.922697093133724,1.7785600130934767,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",1730769,r1_t01_to_t09_strict_common_valid_mixed_scope,R1-T01..R1-T09,lineage_mixed_R1-T01_R1-T09,mixed_scope_shared_q_W120_S_PCT,False
shared_S_PCT_W250,S_PCT,250,3,0.2,0.2,0.2,0.2,R1-T01..R1-T09,shared_q,10854,0.006271200836160112,773,4884,10,0.21715496591118483,0.4606879606879607,2.0,0.26070419883261153,0.14802286734733705,1.7612427289417836,0.11268133148527448,3.531493132801093,1.7188303246430863,"[""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",1730769,r1_t01_to_t09_strict_common_valid_mixed_scope,R1-T01..R1-T09,lineage_mixed_R1-T01_R1-T09,mixed_scope_shared_q_W250_S_PCT,False
shared_S_PCVT_W120,S_PCVT,120,3,0.2,0.2,0.2,0.2,R1-T01..R1-T09,shared_q,2941,0.0016992446710104006,617,1426,11,0.16865011900714044,0.49719495091164095,2.0,0.27781217750257997,0.16580401091237415,1.6755455792284848,0.11200816659020582,5.855731189882189,1.5655606784722431,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",1730769,r1_t01_to_t09_strict_common_valid_mixed_scope,R1-T01..R1-T09,lineage_mixed_R1-T01_R1-T09,mixed_scope_shared_q_W120_S_PCVT,False
shared_S_PCVT_W250,S_PCVT,250,3,0.2,0.2,0.2,0.2,R1-T01..R1-T09,shared_q,2143,0.00123817794286817,520,1024,10,0.21931871208586096,0.48046875,2.0,0.22908772952491985,0.1296633694117908,1.7667883424914916,0.09942436011312905,4.721070226745756,1.4413550799102652,"[""PCVT_confirmed_high_fragmentation"",""PCVT_geometry_weaker_than_coverage_null"",""availability_qualified_window_comparison"",""lead_lag_secondary_not_freeze_gate"",""partial_year_2026"",""window_dependent_state_identity""]",1730769,r1_t01_to_t09_strict_common_valid_mixed_scope,R1-T01..R1-T09,lineage_mixed_R1-T01_R1-T09,mixed_scope_shared_q_W250_S_PCVT,False
q_W120_K3_P20_C20_T30_V20_S_PCT,S_PCT,120,3,0.2,0.2,0.3,0.2,R1-T14-01→R0-T15→R1-T14-02,PCT_fast_W120,29515,0.018415430652161436,788,9499,11,0.1840081314585804,0.3274028845141594,2.0,0.4461812139306227,0.2546345676993583,1.752241331418205,0.19154664623126438,3.9460081271322935,1.7314077420190814,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]",1602732,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pct_W120,False
q_W250_K3_P20_C20_T30_V20_S_PCT,S_PCT,250,3,0.2,0.2,0.3,0.2,R1-T14-01→R0-T15→R1-T14-02,PCT_q_decoupled_W250,27083,0.018011253791554136,784,8562,10,0.22645201787098918,0.30892314879701005,2.0,0.43203916399924686,0.25129229307676854,1.7192694559369597,0.18074687092247832,3.4901645287245002,1.6658979314100943,"[""same_sample_formal_revalidation_only"",""selection_path_not_independently_confirmed"",""sidecar_neighbor_only""]",1503671,r1_t14_02_same_sample_ordered_short_circuit_scope,R1-T14-02,R1-T14-02-20260711T1100Z,same_scope_t14_02_pct_W250,False
