case_id,case_name,status,assertion_count
S01,k3_no_backfill,passed,1
S02,unknown_break,passed,1
S03,blocked_break,passed,1
S04,d_exact_lengths,passed,1
S05,d_greater_equal,passed,1
S06,raw_days_excluded,passed,1
S07,g0_no_bridge,passed,1
S08,g1_bridge,passed,1
S09,g2_bridge,passed,1
S10,gap_exceeds_g,passed,1
S11,quality_hard_break,passed,1
S12,calendar_days_excluded,passed,1
S13,unqualified_interval_blocks,passed,1
S14,bridge_availability_delayed,passed,1
S15,failed_interval_finalizes,passed,1
S16,open_interval,passed,1
S17,open_duration_excluded,passed,1
S18,security_isolation,passed,1
S19,canonical_sort,passed,1
S20,duplicate_key_fail_closed,passed,1
S21,own_denominator,passed,1
S22,common_exact_intersection,passed,1
S23,cross_state_common_forbidden,passed,1
S24,coverage_g_invariant,passed,1
S25,zone_coverage_g_monotone,passed,1
S26,event_count_g_monotone,passed,1
S27,drop_d_monotone,passed,1
S28,strict_core_subset,passed,1
S29,strict_core_violation,passed,1
S30,bridge_not_risk,passed,1
S31,unqualified_confirmed_is_risk,passed,1
S32,zone_does_not_expand_risk,passed,1
S33,sidecar_mutation_detected,passed,1
S34,contract_hash_mutation_detected,passed,1
S35,input_chain_mutation_detected,passed,1
S36,forbidden_field_detected,passed,1
S37,double_rebuild_hash_equal,passed,1
