gate_id,scope,operator,threshold,hard_gate
lineage_mismatch_count,global,==,0,True
schema_mismatch_count,global,==,0,True
source_hash_mismatch_count,global,==,0,True
source_superseded_count,global,==,0,True
duplicate_primary_key_count,global,==,0,True
unknown_bridged_day_count,global,==,0,True
blocked_bridged_day_count,global,==,0,True
ineligible_bridged_day_count,global,==,0,True
confirmed_day_conservation_mismatch_count,global,==,0,True
within_route_overlapping_event_count,global,==,0,True
post_merge_short_zone_count,global,==,0,True
risk_set_guard_violation_count,global,==,0,True
strict_core_subset_violation_count,global,==,0,True
forbidden_output_field_count,global,==,0,True
event_floor,S_PCT,pre_registered_formula,250,True
event_interval_fraction,S_PCT,pre_registered_formula,0.05,True
security_floor,S_PCT,pre_registered_formula,150,True
security_fraction,S_PCT,pre_registered_formula,0.2,True
retention_min,S_PCT,pre_registered_formula,0.35,True
drop_max,S_PCT,pre_registered_formula,0.8,True
bridge_max,S_PCT,pre_registered_formula,0.3,True
merge_max,S_PCT,pre_registered_formula,0.7,True
open_max,S_PCT,pre_registered_formula,0.1,True
nonzero_years_min,S_PCT,pre_registered_formula,8,True
max_year_share_max,S_PCT,pre_registered_formula,0.35,True
duration_inflation_max,S_PCT,pre_registered_formula,3.0,True
event_floor,S_PCVT,pre_registered_formula,100,True
event_interval_fraction,S_PCVT,pre_registered_formula,0.05,True
security_floor,S_PCVT,pre_registered_formula,100,True
security_fraction,S_PCVT,pre_registered_formula,0.15,True
retention_min,S_PCVT,pre_registered_formula,0.25,True
drop_max,S_PCVT,pre_registered_formula,0.85,True
bridge_max,S_PCVT,pre_registered_formula,0.35,True
merge_max,S_PCVT,pre_registered_formula,0.75,True
open_max,S_PCVT,pre_registered_formula,0.1,True
nonzero_years_min,S_PCVT,pre_registered_formula,8,True
max_year_share_max,S_PCVT,pre_registered_formula,0.35,True
duration_inflation_max,S_PCVT,pre_registered_formula,3.0,True
g_response,parameter_response,monotonic_or_invariant,exact_or_1e-12,True
d_response,parameter_response,monotonic_or_invariant,exact_or_1e-12,True
duration_histogram_conservation,parameter_response,monotonic_or_invariant,exact_or_1e-12,True
