machine_layer,from_state,to_state,trigger,expected_transition
daily,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k_valid_raw_true_rows,True
daily,CONFIRMED_ACTIVE,CONFIRMED_EXITED,raw_state_false,True
daily,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,True
daily,CONFIRMED_ACTIVE,CONFIRMED_ACTIVE,valid_raw_true,True
component,COMPONENT_FORMING,QUALIFIED_ACTIVE,confirmed_days_ge_d,True
component,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_exit_before_d,True
component,COMPONENT_FORMING,RIGHT_CENSORED,sample_end_before_d,True
zone,QUALIFIED_ACTIVE,GAP_PENDING,atomic_interval_exit,True
zone,GAP_PENDING,FINALIZED,g_plus_one_false,True
zone,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,True
zone,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,confirmed_reentry,True
zone,GAP_PENDING,RIGHT_CENSORED,sample_end,True
zone,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d,True
zone,REENTRY_PENDING_QUALIFICATION,FINALIZED,reentry_exits_before_d,True
zone,REENTRY_PENDING_QUALIFICATION,FINALIZED_WITH_QUALITY_BREAK,quality_break,True
zone,REENTRY_PENDING_QUALIFICATION,RIGHT_CENSORED,sample_end,True
