candidate_cell_id,route_id,candidate_role,state_line,W,K,qP,qC,qT,qV,d,g,denominator_scopes,execution_status,actual_scan_executed,selection_path_not_independently_confirmed,source_shortlist_row_id
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,1,0,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,1,1,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,1,2,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,2,0,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,2,1,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,2,2,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,3,0,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,3,1,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,primary,S_PCT,120,3,0.2,0.2,0.25,0.2,3,2,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W120_K3_P20_C20_T25_V20_S_PCT
r2_s_pct_w250_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary,primary,S_PCT,250,3,0.2,0.2,0.25,0.2,1,0,"[""own_eligible"",""common_W120_W250""]",not_executed_contract_only,False,True,q_W250_K3_P20_C20_T25_V20_S_PCT
