gate_id,state_line,metric_id,operator,threshold,admissible_threshold,scope_rule,evaluator_id,violation_population_key,fail_closed,zero_tolerance
s_pct_qualified_event_count,S_PCT,qualified_event_count,>=,"max(250,ceil(0.05*upstream_confirmed_interval_count))","max(250,ceil(0.05*upstream_confirmed_interval_count))",state_line_level_not_W_specific,r2_t02_hard_gate_eval__qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_unique_securities,S_PCT,unique_securities,>=,"max(150,ceil(0.20*upstream_unique_securities))","max(150,ceil(0.20*upstream_unique_securities))",state_line_level_not_W_specific,r2_t02_hard_gate_eval__unique_securities,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_retained_confirmed_day_ratio,S_PCT,retained_confirmed_day_ratio,>=,0.35,0.35,state_line_level_not_W_specific,r2_t02_hard_gate_eval__retained_confirmed_day_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_short_interval_drop_rate,S_PCT,short_interval_drop_rate,<=,0.80,0.80,state_line_level_not_W_specific,r2_t02_hard_gate_eval__short_interval_drop_rate,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_bridged_day_ratio,S_PCT,bridged_day_ratio,<=,0.30,0.30,state_line_level_not_W_specific,r2_t02_hard_gate_eval__bridged_day_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_merge_ratio,S_PCT,merge_ratio,<=,0.70,0.70,state_line_level_not_W_specific,r2_t02_hard_gate_eval__merge_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_open_event_ratio,S_PCT,open_event_ratio,<=,0.10,0.10,state_line_level_not_W_specific,r2_t02_hard_gate_eval__open_event_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_nonzero_years,S_PCT,nonzero_years,>=,8,8,state_line_level_not_W_specific,r2_t02_hard_gate_eval__nonzero_years,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_max_year_share,S_PCT,max_year_share,<=,0.35,0.35,state_line_level_not_W_specific,r2_t02_hard_gate_eval__max_year_share,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pct_duration_q95_ratio,S_PCT,duration_q95_ratio,<=,3.0,3.0,state_line_level_not_W_specific,r2_t02_hard_gate_eval__duration_q95_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_qualified_event_count,S_PCVT,qualified_event_count,>=,"max(100,ceil(0.05*upstream_confirmed_interval_count))","max(100,ceil(0.05*upstream_confirmed_interval_count))",state_line_level_not_W_specific,r2_t02_hard_gate_eval__qualified_event_count,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_unique_securities,S_PCVT,unique_securities,>=,"max(100,ceil(0.15*upstream_unique_securities))","max(100,ceil(0.15*upstream_unique_securities))",state_line_level_not_W_specific,r2_t02_hard_gate_eval__unique_securities,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_retained_confirmed_day_ratio,S_PCVT,retained_confirmed_day_ratio,>=,0.25,0.25,state_line_level_not_W_specific,r2_t02_hard_gate_eval__retained_confirmed_day_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_short_interval_drop_rate,S_PCVT,short_interval_drop_rate,<=,0.85,0.85,state_line_level_not_W_specific,r2_t02_hard_gate_eval__short_interval_drop_rate,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_bridged_day_ratio,S_PCVT,bridged_day_ratio,<=,0.35,0.35,state_line_level_not_W_specific,r2_t02_hard_gate_eval__bridged_day_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_merge_ratio,S_PCVT,merge_ratio,<=,0.75,0.75,state_line_level_not_W_specific,r2_t02_hard_gate_eval__merge_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_open_event_ratio,S_PCVT,open_event_ratio,<=,0.10,0.10,state_line_level_not_W_specific,r2_t02_hard_gate_eval__open_event_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_nonzero_years,S_PCVT,nonzero_years,>=,8,8,state_line_level_not_W_specific,r2_t02_hard_gate_eval__nonzero_years,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_max_year_share,S_PCVT,max_year_share,<=,0.35,0.35,state_line_level_not_W_specific,r2_t02_hard_gate_eval__max_year_share,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
s_pcvt_duration_q95_ratio,S_PCVT,duration_q95_ratio,<=,3.0,3.0,state_line_level_not_W_specific,r2_t02_hard_gate_eval__duration_q95_ratio,"route_id,candidate_cell_id,security_id,scan_event_id,d,g",True,False
lineage_mismatch,GLOBAL,lineage_mismatch,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__lineage_mismatch,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
schema_mismatch,GLOBAL,schema_mismatch,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__schema_mismatch,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
source_hash_mismatch,GLOBAL,source_hash_mismatch,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__source_hash_mismatch,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
superseded_input,GLOBAL,superseded_input,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__superseded_input,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
duplicate_primary_key,GLOBAL,duplicate_primary_key,==,0 violations,0,global_zero_tolerance,r2_t02_zero_tolerance_eval__duplicate_primary_key,"route_id,candidate_cell_id,security_id,trade_date,component_id,scan_event_id",True,True
