candidate_cell_id,route_id,eligible_days,confirmed_state_days,confirmed_state_coverage,atomic_confirmed_interval_count
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,1602732,12480,0.007786704202574104,5528
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,1602732,20479,0.012777557320874607,7673
r2_s_pct_w250_q20_shared__d1__g0,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d1__g1,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d1__g2,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d2__g0,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d2__g1,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d2__g2,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d3__g0,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d3__g1,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_q20_shared__d3__g2,r2_s_pct_w250_q20_shared,1503671,10854,0.007218334329783576,4884
r2_s_pct_w250_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
r2_s_pct_w250_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary,1503671,18328,0.012188836520754873,6958
