candidate_cell_id,route_id,d,g,status,security_count,component_count,event_count,error
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,1,0,completed,800,5528,5528,
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,1,1,completed,800,5528,5271,
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,1,2,completed,800,5528,5134,
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,2,0,completed,800,5528,3014,
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,2,1,completed,800,5528,2917,
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,2,2,completed,800,5528,2869,
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,3,0,completed,800,5528,1682,
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,3,1,completed,800,5528,1641,
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,3,2,completed,800,5528,1628,
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,1,0,completed,800,7673,7673,
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,1,1,completed,800,7673,7238,
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,1,2,completed,800,7673,6999,
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,2,0,completed,800,7673,4734,
r2_s_pct_w120_qt25_primary__d2__g1,r2_s_pct_w120_qt25_primary,2,1,completed,800,7673,4562,
r2_s_pct_w120_qt25_primary__d2__g2,r2_s_pct_w120_qt25_primary,2,2,completed,800,7673,4473,
r2_s_pct_w120_qt25_primary__d3__g0,r2_s_pct_w120_qt25_primary,3,0,completed,800,7673,2961,
r2_s_pct_w120_qt25_primary__d3__g1,r2_s_pct_w120_qt25_primary,3,1,completed,800,7673,2874,
r2_s_pct_w120_qt25_primary__d3__g2,r2_s_pct_w120_qt25_primary,3,2,completed,800,7673,2831,
r2_s_pct_w250_q20_shared__d1__g0,r2_s_pct_w250_q20_shared,1,0,completed,800,4884,4884,
r2_s_pct_w250_q20_shared__d1__g1,r2_s_pct_w250_q20_shared,1,1,completed,800,4884,4690,
r2_s_pct_w250_q20_shared__d1__g2,r2_s_pct_w250_q20_shared,1,2,completed,800,4884,4557,
r2_s_pct_w250_q20_shared__d2__g0,r2_s_pct_w250_q20_shared,2,0,completed,800,4884,2634,
r2_s_pct_w250_q20_shared__d2__g1,r2_s_pct_w250_q20_shared,2,1,completed,800,4884,2572,
r2_s_pct_w250_q20_shared__d2__g2,r2_s_pct_w250_q20_shared,2,2,completed,800,4884,2525,
r2_s_pct_w250_q20_shared__d3__g0,r2_s_pct_w250_q20_shared,3,0,completed,800,4884,1442,
r2_s_pct_w250_q20_shared__d3__g1,r2_s_pct_w250_q20_shared,3,1,completed,800,4884,1420,
r2_s_pct_w250_q20_shared__d3__g2,r2_s_pct_w250_q20_shared,3,2,completed,800,4884,1403,
r2_s_pct_w250_qt25_primary__d1__g0,r2_s_pct_w250_qt25_primary,1,0,completed,800,6958,6958,
r2_s_pct_w250_qt25_primary__d1__g1,r2_s_pct_w250_qt25_primary,1,1,completed,800,6958,6557,
r2_s_pct_w250_qt25_primary__d1__g2,r2_s_pct_w250_qt25_primary,1,2,completed,800,6958,6297,
r2_s_pct_w250_qt25_primary__d2__g0,r2_s_pct_w250_qt25_primary,2,0,completed,800,6958,4325,
r2_s_pct_w250_qt25_primary__d2__g1,r2_s_pct_w250_qt25_primary,2,1,completed,800,6958,4164,
r2_s_pct_w250_qt25_primary__d2__g2,r2_s_pct_w250_qt25_primary,2,2,completed,800,6958,4057,
r2_s_pct_w250_qt25_primary__d3__g0,r2_s_pct_w250_qt25_primary,3,0,completed,800,6958,2642,
r2_s_pct_w250_qt25_primary__d3__g1,r2_s_pct_w250_qt25_primary,3,1,completed,800,6958,2574,
r2_s_pct_w250_qt25_primary__d3__g2,r2_s_pct_w250_qt25_primary,3,2,completed,800,6958,2531,
