candidate_cell_id,d,qualified_component_count,unqualified_component_count,retrospective_qualified_confirmed_coverage,asof_qualified_confirmed_coverage
r2_s_pct_w120_q20_shared__d1__g0,1,5528,0,1.0,1.0
r2_s_pct_w120_q20_shared__d1__g1,1,5528,0,1.0,1.0
r2_s_pct_w120_q20_shared__d1__g2,1,5528,0,1.0,1.0
r2_s_pct_w120_q20_shared__d2__g0,2,3014,2514,0.7985576923076924,0.5570512820512821
r2_s_pct_w120_q20_shared__d2__g1,2,3014,2514,0.7985576923076924,0.5570512820512821
r2_s_pct_w120_q20_shared__d2__g2,2,3014,2514,0.7985576923076924,0.5570512820512821
r2_s_pct_w120_q20_shared__d3__g0,3,1682,3846,0.5850961538461539,0.3155448717948718
r2_s_pct_w120_q20_shared__d3__g1,3,1682,3846,0.5850961538461539,0.3155448717948718
r2_s_pct_w120_q20_shared__d3__g2,3,1682,3846,0.5850961538461539,0.3155448717948718
r2_s_pct_w120_qt25_primary__d1__g0,1,7673,0,1.0,1.0
r2_s_pct_w120_qt25_primary__d1__g1,1,7673,0,1.0,1.0
r2_s_pct_w120_qt25_primary__d1__g2,1,7673,0,1.0,1.0
r2_s_pct_w120_qt25_primary__d2__g0,2,4734,2939,0.8564871331607988,0.6253235021241271
r2_s_pct_w120_qt25_primary__d2__g1,2,4734,2939,0.8564871331607988,0.6253235021241271
r2_s_pct_w120_qt25_primary__d2__g2,2,4734,2939,0.8564871331607988,0.6253235021241271
r2_s_pct_w120_qt25_primary__d3__g0,3,2961,4712,0.6833341471751551,0.3941598710874554
r2_s_pct_w120_qt25_primary__d3__g1,3,2961,4712,0.6833341471751551,0.3941598710874554
r2_s_pct_w120_qt25_primary__d3__g2,3,2961,4712,0.6833341471751551,0.3941598710874554
r2_s_pct_w250_q20_shared__d1__g0,1,4884,0,1.0,1.0
r2_s_pct_w250_q20_shared__d1__g1,1,4884,0,1.0,1.0
r2_s_pct_w250_q20_shared__d1__g2,1,4884,0,1.0,1.0
r2_s_pct_w250_q20_shared__d2__g0,2,2634,2250,0.7927031509121062,0.5500276395798784
r2_s_pct_w250_q20_shared__d2__g1,2,2634,2250,0.7927031509121062,0.5500276395798784
r2_s_pct_w250_q20_shared__d2__g2,2,2634,2250,0.7927031509121062,0.5500276395798784
r2_s_pct_w250_q20_shared__d3__g0,3,1442,3442,0.5730606228118665,0.3073521282476506
r2_s_pct_w250_q20_shared__d3__g1,3,1442,3442,0.5730606228118665,0.3073521282476506
r2_s_pct_w250_q20_shared__d3__g2,3,1442,3442,0.5730606228118665,0.3073521282476506
r2_s_pct_w250_qt25_primary__d1__g0,1,6958,0,1.0,1.0
r2_s_pct_w250_qt25_primary__d1__g1,1,6958,0,1.0,1.0
r2_s_pct_w250_qt25_primary__d1__g2,1,6958,0,1.0,1.0
r2_s_pct_w250_qt25_primary__d2__g0,2,4325,2633,0.8563400261894369,0.620362287210825
r2_s_pct_w250_qt25_primary__d2__g1,2,4325,2633,0.8563400261894369,0.620362287210825
r2_s_pct_w250_qt25_primary__d2__g2,2,4325,2633,0.8563400261894369,0.620362287210825
r2_s_pct_w250_qt25_primary__d3__g0,3,2642,4316,0.6726865997381056,0.384384548232213
r2_s_pct_w250_qt25_primary__d3__g1,3,2642,4316,0.6726865997381056,0.384384548232213
r2_s_pct_w250_qt25_primary__d3__g2,3,2642,4316,0.6726865997381056,0.384384548232213
r2_s_pcvt_w120_q20_shared__d1__g0,1,1426,0,1.0,1.0
r2_s_pcvt_w120_q20_shared__d1__g1,1,1426,0,1.0,1.0
r2_s_pcvt_w120_q20_shared__d1__g2,1,1426,0,1.0,1.0
r2_s_pcvt_w120_q20_shared__d2__g0,2,717,709,0.7589255355321319,0.5151309078544712
r2_s_pcvt_w120_q20_shared__d2__g1,2,717,709,0.7589255355321319,0.5151309078544712
r2_s_pcvt_w120_q20_shared__d2__g2,2,717,709,0.7589255355321319,0.5151309078544712
r2_s_pcvt_w120_q20_shared__d3__g0,3,382,1044,0.5311118667120027,0.2713362801768106
r2_s_pcvt_w120_q20_shared__d3__g1,3,382,1044,0.5311118667120027,0.2713362801768106
r2_s_pcvt_w120_q20_shared__d3__g2,3,382,1044,0.5311118667120027,0.2713362801768106
r2_s_pcvt_w120_qv30_primary__d1__g0,1,2179,0,1.0,1.0
r2_s_pcvt_w120_qv30_primary__d1__g1,1,2179,0,1.0,1.0
r2_s_pcvt_w120_qv30_primary__d1__g2,1,2179,0,1.0,1.0
r2_s_pcvt_w120_qv30_primary__d2__g0,2,1109,1070,0.7657105320779505,0.5228815414933217
r2_s_pcvt_w120_qv30_primary__d2__g1,2,1109,1070,0.7657105320779505,0.5228815414933217
r2_s_pcvt_w120_qv30_primary__d2__g2,2,1109,1070,0.7657105320779505,0.5228815414933217
r2_s_pcvt_w120_qv30_primary__d3__g0,3,580,1599,0.5340486095905408,0.2800525509086928
r2_s_pcvt_w120_qv30_primary__d3__g1,3,580,1599,0.5340486095905408,0.2800525509086928
r2_s_pcvt_w120_qv30_primary__d3__g2,3,580,1599,0.5340486095905408,0.2800525509086928
r2_s_pcvt_w250_q20_shared__d1__g0,1,1024,0,1.0,1.0
r2_s_pcvt_w250_q20_shared__d1__g1,1,1024,0,1.0,1.0
r2_s_pcvt_w250_q20_shared__d1__g2,1,1024,0,1.0,1.0
r2_s_pcvt_w250_q20_shared__d2__g0,2,532,492,0.7704153056462902,0.5221651889874008
r2_s_pcvt_w250_q20_shared__d2__g1,2,532,492,0.7704153056462902,0.5221651889874008
r2_s_pcvt_w250_q20_shared__d2__g2,2,532,492,0.7704153056462902,0.5221651889874008
r2_s_pcvt_w250_q20_shared__d3__g0,3,275,749,0.5305646290247317,0.2739150723285114
r2_s_pcvt_w250_q20_shared__d3__g1,3,275,749,0.5305646290247317,0.2739150723285114
r2_s_pcvt_w250_q20_shared__d3__g2,3,275,749,0.5305646290247317,0.2739150723285114
r2_s_pcvt_w250_qv30_primary__d1__g0,1,1674,0,1.0,1.0
r2_s_pcvt_w250_qv30_primary__d1__g1,1,1674,0,1.0,1.0
r2_s_pcvt_w250_qv30_primary__d1__g2,1,1674,0,1.0,1.0
r2_s_pcvt_w250_qv30_primary__d2__g0,2,869,805,0.7758284600389863,0.5338345864661654
r2_s_pcvt_w250_qv30_primary__d2__g1,2,869,805,0.7758284600389863,0.5338345864661654
r2_s_pcvt_w250_qv30_primary__d2__g2,2,869,805,0.7758284600389863,0.5338345864661654
r2_s_pcvt_w250_qv30_primary__d3__g0,3,464,1210,0.5502645502645502,0.29184071289334446
r2_s_pcvt_w250_qv30_primary__d3__g1,3,464,1210,0.5502645502645502,0.29184071289334446
