candidate_cell_id,d,g,qualified_event_count,confirmed_event_coverage,active_zone_count,gap_pending_zone_count,reentry_pending_zone_count,unqualified_reentry_count,confirmed_density,raw_false_bridged_day_count,preconfirmation_gap_day_count,total_nonconfirmed_gap_day_count,raw_false_bridged_day_ratio,nonconfirmed_gap_ratio,max_raw_false_gap_days,max_total_gap_span_days
r2_s_pct_w120_q20_shared__d1__g0,1,0,5528,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d1__g1,1,1,5271,1.0,0,0,0,0,0.9418157120217342,257,514,771,0.01939476265942193,0.05818428797826579,1,3
r2_s_pct_w120_q20_shared__d1__g2,1,2,5134,1.0,0,0,0,0,0.9024513703087714,531,818,1349,0.038397570323233786,0.09754862969122857,2,6
r2_s_pct_w120_q20_shared__d2__g0,2,0,3014,0.7985576923076924,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d2__g1,2,1,2917,0.7985576923076924,0,0,0,70,0.9716291313249488,97,194,291,0.009456956225017061,0.028370868675051186,1,3
r2_s_pct_w120_q20_shared__d2__g2,2,2,2869,0.7985576923076924,0,0,0,99,0.9525903268973428,193,303,496,0.018447715541961385,0.047409673102657236,2,6
r2_s_pct_w120_q20_shared__d3__g0,3,0,1682,0.5850961538461539,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_q20_shared__d3__g1,3,1,1641,0.5850961538461539,0,0,0,81,0.9834343434343434,41,82,123,0.005521885521885522,0.016565656565656565,1,3
r2_s_pct_w120_q20_shared__d3__g2,3,2,1628,0.5850961538461539,0,0,0,125,0.9760727175511296,67,112,179,0.008956021922202915,0.023927282448870473,2,6
r2_s_pct_w120_qt25_primary__d1__g0,1,0,7673,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d1__g1,1,1,7238,1.0,0,0,0,0,0.940093646713184,435,870,1305,0.01996878442893867,0.05990635328681601,1,3
r2_s_pct_w120_qt25_primary__d1__g2,1,2,6999,1.0,0,0,0,0,0.8986353065075255,913,1397,2310,0.040063188380358945,0.10136469349247444,2,6
r2_s_pct_w120_qt25_primary__d2__g0,2,0,4734,0.8564871331607988,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d2__g1,2,1,4562,0.8564871331607988,0,0,0,106,0.9714222419140452,172,344,516,0.009525919361984936,0.028577758085954807,1,3
r2_s_pct_w120_qt25_primary__d2__g2,2,2,4473,0.8564871331607988,0,0,0,166,0.9519674355495251,350,535,885,0.018995929443690638,0.0480325644504749,2,6
r2_s_pct_w120_qt25_primary__d3__g0,3,0,2961,0.6833341471751551,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w120_qt25_primary__d3__g1,3,1,2874,0.6833341471751551,0,0,0,131,0.9816906348649597,87,174,261,0.006103121711680112,0.018309365135040338,1,3
r2_s_pct_w120_qt25_primary__d3__g2,3,2,2831,0.6833341471751551,0,0,0,205,0.9693149546304634,173,270,443,0.011983098981782918,0.030685045369536607,2,6
r2_s_pct_w250_q20_shared__d1__g0,1,0,4884,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d1__g1,1,1,4690,1.0,0,0,0,0,0.9491080797481637,194,388,582,0.016963973417278767,0.05089192025183631,1,3
r2_s_pct_w250_q20_shared__d1__g2,1,2,4557,1.0,0,0,0,0,0.9048016005335112,460,682,1142,0.0383461153717906,0.09519839946648882,2,6
r2_s_pct_w250_q20_shared__d2__g0,2,0,2634,0.7927031509121062,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d2__g1,2,1,2572,0.7927031509121062,0,0,0,49,0.978839590443686,62,124,186,0.007053469852104664,0.021160409556313993,1,3
r2_s_pct_w250_q20_shared__d2__g2,2,2,2525,0.7927031509121062,0,0,0,80,0.9574894279991097,156,226,382,0.01736033830402849,0.04251057200089027,2,6
r2_s_pct_w250_q20_shared__d3__g0,3,0,1442,0.5730606228118665,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_q20_shared__d3__g1,3,1,1420,0.5730606228118665,0,0,0,45,0.9895004772510341,22,44,66,0.0034998409163219855,0.010499522748965956,1,3
r2_s_pct_w250_q20_shared__d3__g2,3,2,1403,0.5730606228118665,0,0,0,81,0.978756884343037,56,79,135,0.008811959087332809,0.021243115656963022,2,5
r2_s_pct_w250_qt25_primary__d1__g0,1,0,6958,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d1__g1,1,1,6557,1.0,0,0,0,0,0.9384056115918283,401,802,1203,0.020531462802723874,0.06159438840817162,1,3
r2_s_pct_w250_qt25_primary__d1__g2,1,2,6297,1.0,0,0,0,0,0.8884579960250133,921,1380,2301,0.04464588685830627,0.11154200397498668,2,6
r2_s_pct_w250_qt25_primary__d2__g0,2,0,4325,0.8563400261894369,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d2__g1,2,1,4164,0.8563400261894369,0,0,0,103,0.9701446408703177,161,322,483,0.00995178637656076,0.029855359129682284,1,3
r2_s_pct_w250_qt25_primary__d2__g2,2,2,4057,0.8563400261894369,0,0,0,167,0.9435493567392088,375,564,939,0.022544186605747266,0.05645064326079115,2,6
r2_s_pct_w250_qt25_primary__d3__g0,3,0,2642,0.6726865997381056,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pct_w250_qt25_primary__d3__g1,3,1,2574,0.6726865997381056,0,0,0,139,0.9837229713556211,68,136,204,0.005425676214792946,0.01627702864437884,1,3
r2_s_pct_w250_qt25_primary__d3__g2,3,2,2531,0.6726865997381056,0,0,0,222,0.9697946983402816,154,230,384,0.0121135845197829,0.0302053016597184,2,5
r2_s_pcvt_w120_q20_shared__d1__g0,1,0,1426,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d1__g1,1,1,1382,1.0,0,0,0,0,0.9570452326716563,44,88,132,0.014318255776114546,0.042954767328343635,1,3
r2_s_pcvt_w120_q20_shared__d1__g2,1,2,1356,1.0,0,0,0,0,0.9242614707730987,96,145,241,0.03016970458830924,0.07573852922690132,2,6
r2_s_pcvt_w120_q20_shared__d2__g0,2,0,717,0.7589255355321319,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d2__g1,2,1,706,0.7589255355321319,0,0,0,14,0.9854304635761589,11,22,33,0.004856512141280353,0.01456953642384106,1,3
r2_s_pcvt_w120_q20_shared__d2__g2,2,2,699,0.7589255355321319,0,0,0,19,0.9721254355400697,25,39,64,0.01088850174216028,0.027874564459930314,2,6
r2_s_pcvt_w120_q20_shared__d3__g0,3,0,382,0.5311118667120027,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_q20_shared__d3__g1,3,1,378,0.5311118667120027,0,0,0,11,0.9923761118170267,4,8,12,0.0025412960609911056,0.007623888182973317,1,3
r2_s_pcvt_w120_q20_shared__d3__g2,3,2,376,0.5311118667120027,0,0,0,15,0.9873577749683944,8,12,20,0.0050568900126422255,0.012642225031605562,2,4
r2_s_pcvt_w120_qv30_primary__d1__g0,1,0,2179,1.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_qv30_primary__d1__g1,1,1,2104,1.0,0,0,0,0,0.9530467445742905,75,150,225,0.015651085141903172,0.046953255425709516,1,3
r2_s_pcvt_w120_qv30_primary__d1__g2,1,2,2056,1.0,0,0,0,0,0.9143143143143143,171,257,428,0.03423423423423423,0.08568568568568569,2,6
r2_s_pcvt_w120_qv30_primary__d2__g0,2,0,1109,0.7657105320779505,0,0,0,0,1.0,0,0,0,0.0,0.0,0,0
r2_s_pcvt_w120_qv30_primary__d2__g1,2,1,1087,0.7657105320779505,0,0,0,22,0.9814762840303115,22,44,66,0.006174571989896155,0.018523715969688465,1,3
