candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g0,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d1__g0,qualified_components,5528,5528,passed
r2_s_pct_w120_q20_shared__d1__g0,event_count,5528,5528,passed
r2_s_pct_w120_q20_shared__d1__g0,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g1,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d1__g1,qualified_components,5528,5528,passed
r2_s_pct_w120_q20_shared__d1__g1,event_count,5271,5271,passed
r2_s_pct_w120_q20_shared__d1__g1,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g1,raw_false_bridged_days,257,257,passed
r2_s_pct_w120_q20_shared__d1__g2,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d1__g2,qualified_components,5528,5528,passed
r2_s_pct_w120_q20_shared__d1__g2,event_count,5134,5134,passed
r2_s_pct_w120_q20_shared__d1__g2,confirmed_event_coverage,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g2,raw_false_bridged_days,531,531,passed
r2_s_pct_w120_q20_shared__d2__g0,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d2__g0,qualified_components,3014,3014,passed
r2_s_pct_w120_q20_shared__d2__g0,event_count,3014,3014,passed
r2_s_pct_w120_q20_shared__d2__g0,confirmed_event_coverage,0.7985576923076924,0.7985576923076924,passed
r2_s_pct_w120_q20_shared__d2__g0,raw_false_bridged_days,0,0,passed
r2_s_pct_w120_q20_shared__d2__g1,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d2__g1,qualified_components,3014,3014,passed
r2_s_pct_w120_q20_shared__d2__g1,event_count,2917,2917,passed
r2_s_pct_w120_q20_shared__d2__g1,confirmed_event_coverage,0.7985576923076924,0.7985576923076924,passed
r2_s_pct_w120_q20_shared__d2__g1,raw_false_bridged_days,97,97,passed
r2_s_pct_w120_q20_shared__d2__g2,confirmed_days,12480,12480,passed
r2_s_pct_w120_q20_shared__d2__g2,qualified_components,3014,3014,passed
r2_s_pct_w120_q20_shared__d2__g2,event_count,2869,2869,passed
r2_s_pct_w120_q20_shared__d2__g2,confirmed_event_coverage,0.7985576923076924,0.7985576923076924,passed
r2_s_pct_w120_q20_shared__d2__g2,raw_false_bridged_days,193,193,passed
r2_s_pct_w120_q20_shared__d3__g0,confirmed_days,12480,12480,passed
