candidate_cell_id,route_id,state_line,W,d,g,qualified_event_count,unique_securities,retained_confirmed_day_ratio,short_interval_drop_rate,bridged_day_ratio,merge_ratio,open_event_ratio,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w120_q20_shared__d1__g0,r2_s_pct_w120_q20_shared,S_PCT,120,1,0,5528,777,1.0,0.0,0.0,0.0,0.0,11,0.16202121920517892,3.0
r2_s_pct_w120_q20_shared__d1__g1,r2_s_pct_w120_q20_shared,S_PCT,120,1,1,5271,777,1.0,0.0,0.01939476265942193,0.04875735154619617,0.0,11,0.1608286252354049,3.5
r2_s_pct_w120_q20_shared__d1__g2,r2_s_pct_w120_q20_shared,S_PCT,120,1,2,5134,777,1.0,0.0,0.038397570323233786,0.07674328009349435,0.0,11,0.15938948995363214,4.0
r2_s_pct_w120_q20_shared__d2__g0,r2_s_pct_w120_q20_shared,S_PCT,120,2,0,3014,752,0.7985576923076924,0.4547756874095514,0.0,0.0,0.0,11,0.1741424802110818,2.3333333333333335
r2_s_pct_w120_q20_shared__d2__g1,r2_s_pct_w120_q20_shared,S_PCT,120,2,1,2917,752,0.7985576923076924,0.4547756874095514,0.009456956225017061,0.0332533424751457,0.0,11,0.1701258931609391,2.6666666666666665
r2_s_pct_w120_q20_shared__d2__g2,r2_s_pct_w120_q20_shared,S_PCT,120,2,2,2869,752,0.7985576923076924,0.4547756874095514,0.018447715541961385,0.05054025792959219,0.0,11,0.1689119170984456,3.0
r2_s_pct_w120_q20_shared__d3__g0,r2_s_pct_w120_q20_shared,S_PCT,120,3,0,1682,670,0.5850961538461539,0.6957308248914617,0.0,0.0,0.0,11,0.17838157117542824,2.0
r2_s_pct_w120_q20_shared__d3__g1,r2_s_pct_w120_q20_shared,S_PCT,120,3,1,1641,670,0.5850961538461539,0.6957308248914617,0.005521885521885522,0.024984765386959172,0.0,11,0.17522658610271905,2.25
r2_s_pct_w120_q20_shared__d3__g2,r2_s_pct_w120_q20_shared,S_PCT,120,3,2,1628,670,0.5850961538461539,0.6957308248914617,0.008956021922202915,0.033169533169533166,0.0,11,0.17417783191230207,2.5
r2_s_pct_w120_qt25_primary__d1__g0,r2_s_pct_w120_qt25_primary,S_PCT,120,1,0,7673,783,1.0,0.0,0.0,0.0,0.0,11,0.16559112028910686,3.5
r2_s_pct_w120_qt25_primary__d1__g1,r2_s_pct_w120_qt25_primary,S_PCT,120,1,1,7238,783,1.0,0.0,0.01996878442893867,0.06009947499309201,0.0,11,0.16418522059827892,4.5
r2_s_pct_w120_qt25_primary__d1__g2,r2_s_pct_w120_qt25_primary,S_PCT,120,1,2,6999,783,1.0,0.0,0.040063188380358945,0.09629947135305043,0.0,11,0.16194103540696855,5.0
r2_s_pct_w120_qt25_primary__d2__g0,r2_s_pct_w120_qt25_primary,S_PCT,120,2,0,4734,771,0.8564871331607988,0.3830314088361788,0.0,0.0,0.0,11,0.17214659685863876,2.6666666666666665
