route_id,d,audit_name,status,event_count_variants,bridge_count_variants
r2_s_pct_w120_q20_shared,1,g_response,responsive,3,3
r2_s_pct_w120_q20_shared,2,g_response,responsive,3,3
r2_s_pct_w120_q20_shared,3,g_response,responsive,3,3
r2_s_pct_w120_qt25_primary,1,g_response,responsive,3,3
r2_s_pct_w120_qt25_primary,2,g_response,responsive,3,3
r2_s_pct_w120_qt25_primary,3,g_response,responsive,3,3
r2_s_pct_w250_q20_shared,1,g_response,responsive,3,3
r2_s_pct_w250_q20_shared,2,g_response,responsive,3,3
r2_s_pct_w250_q20_shared,3,g_response,responsive,3,3
r2_s_pct_w250_qt25_primary,1,g_response,responsive,3,3
r2_s_pct_w250_qt25_primary,2,g_response,responsive,3,3
r2_s_pct_w250_qt25_primary,3,g_response,responsive,3,3
r2_s_pcvt_w120_q20_shared,1,g_response,responsive,3,3
r2_s_pcvt_w120_q20_shared,2,g_response,responsive,3,3
r2_s_pcvt_w120_q20_shared,3,g_response,responsive,3,3
r2_s_pcvt_w120_qv30_primary,1,g_response,responsive,3,3
r2_s_pcvt_w120_qv30_primary,2,g_response,responsive,3,3
r2_s_pcvt_w120_qv30_primary,3,g_response,responsive,3,3
r2_s_pcvt_w250_q20_shared,1,g_response,responsive,3,3
r2_s_pcvt_w250_q20_shared,2,g_response,responsive,3,3
r2_s_pcvt_w250_q20_shared,3,g_response,responsive,3,3
r2_s_pcvt_w250_qv30_primary,1,g_response,responsive,3,3
r2_s_pcvt_w250_qv30_primary,2,g_response,responsive,3,3
r2_s_pcvt_w250_qv30_primary,3,g_response,responsive,3,3
