candidate_cell_id,from_state,to_state,reason_code,transition_count,hard_break_count
r2_s_pct_w120_q20_shared__d1__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,777,0
r2_s_pct_w120_q20_shared__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d1__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d1__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5527,0
r2_s_pct_w120_q20_shared__d1__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d1__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4751,0
r2_s_pct_w120_q20_shared__d1__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d1__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,777,0
r2_s_pct_w120_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d1__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5270,0
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d1__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,257,0
r2_s_pct_w120_q20_shared__d1__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4751,0
r2_s_pct_w120_q20_shared__d1__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d1__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,257,0
r2_s_pct_w120_q20_shared__d1__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,777,0
r2_s_pct_w120_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d1__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,5133,0
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d1__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,394,0
r2_s_pct_w120_q20_shared__d1__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,4751,0
r2_s_pct_w120_q20_shared__d1__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d1__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,394,0
r2_s_pct_w120_q20_shared__d2__g0,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1626,0
r2_s_pct_w120_q20_shared__d2__g0,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2514,0
r2_s_pct_w120_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d2__g0,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d2__g0,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,3013,0
r2_s_pct_w120_q20_shared__d2__g0,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d2__g0,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2594,0
r2_s_pct_w120_q20_shared__d2__g0,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d2__g1,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1626,0
r2_s_pct_w120_q20_shared__d2__g1,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2514,0
r2_s_pct_w120_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d2__g1,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2846,0
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,97,0
r2_s_pct_w120_q20_shared__d2__g1,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,70,0
r2_s_pct_w120_q20_shared__d2__g1,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2594,0
r2_s_pct_w120_q20_shared__d2__g1,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,70,0
r2_s_pct_w120_q20_shared__d2__g1,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,97,0
r2_s_pct_w120_q20_shared__d2__g2,COMPONENT_FORMING,QUALIFIED_ACTIVE,d_qualification,1626,0
r2_s_pct_w120_q20_shared__d2__g2,COMPONENT_FORMING,UNQUALIFIED_CLOSED,normal_short_interval_drop,2514,0
r2_s_pct_w120_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,natural_state_exit,5527,0
r2_s_pct_w120_q20_shared__d2__g2,CONFIRMED_ACTIVE,CONFIRMED_EXITED,quality_interruption,1,1
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,FINALIZED,raw_false_gap_exceeds_g,2769,0
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,FINALIZED_WITH_QUALITY_BREAK,quality_break,1,1
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,reentry_pending,145,0
r2_s_pct_w120_q20_shared__d2__g2,GAP_PENDING,REENTRY_PENDING_QUALIFICATION,unqualified_reentry_observed,99,0
r2_s_pct_w120_q20_shared__d2__g2,QUALIFIED_ACTIVE,GAP_PENDING,gap_pending,2594,0
r2_s_pct_w120_q20_shared__d2__g2,RAW_NOT_CONFIRMED,CONFIRMED_ACTIVE,k3_confirmation,5528,0
r2_s_pct_w120_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,FINALIZED,unqualified_reentry_blocks_merge,99,0
r2_s_pct_w120_q20_shared__d2__g2,REENTRY_PENDING_QUALIFICATION,QUALIFIED_ACTIVE,reentry_reaches_d_merge,145,0
