candidate_cell_id,qualified_component_count,unqualified_component_count,component_qualification_rate,qualified_confirmed_day_count,retrospective_qualified_confirmed_day_count,asof_qualified_confirmed_day_count,prequalification_confirmed_day_count,prequalification_right_censored_count,qualification_delay_observations_mean,qualification_delay_observations_median,qualification_delay_observations_q90,qualification_delay_observations_q95,unqualified_reentry_count,unqualified_reentry_rate
r2_s_pct_w120_q20_shared__d1__g0,5525,0,1.0,12476,12476,12476,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_q20_shared__d1__g1,5525,0,1.0,12476,12476,12476,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_q20_shared__d1__g2,5525,0,1.0,12476,12476,12476,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_q20_shared__d2__g0,3013,2511,0.5454380883417813,9964,9964,6951,3013,0,1.0,1.0,1,1,0,0.0
r2_s_pct_w120_q20_shared__d2__g1,3013,2511,0.5454380883417813,9964,9964,6951,3083,0,1.0,1.0,1,1,70,0.02786624203821656
r2_s_pct_w120_q20_shared__d2__g2,3013,2511,0.5454380883417813,9964,9964,6951,3112,0,1.0,1.0,1,1,99,0.039410828025477705
r2_s_pct_w120_q20_shared__d3__g0,1682,3841,0.3045446315408293,7302,7302,3938,3364,0,2.0,2.0,2,2,0,0.0
r2_s_pct_w120_q20_shared__d3__g1,1682,3841,0.3045446315408293,7302,7302,3938,3445,0,2.0,2.0,2,2,62,0.016133229247983348
r2_s_pct_w120_q20_shared__d3__g2,1682,3841,0.3045446315408293,7302,7302,3938,3489,0,2.0,2.0,2,2,92,0.023939630497007546
r2_s_pct_w120_qt25_primary__d1__g0,7671,0,1.0,20474,20474,20474,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_qt25_primary__d1__g1,7671,0,1.0,20474,20474,20474,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_qt25_primary__d1__g2,7671,0,1.0,20474,20474,20474,0,0,0.0,0.0,0,0,0,
r2_s_pct_w120_qt25_primary__d2__g0,4733,2935,0.6172404799165363,17536,17536,12803,4733,0,1.0,1.0,1,1,0,0.0
r2_s_pct_w120_qt25_primary__d2__g1,4733,2935,0.6172404799165363,17536,17536,12803,4839,0,1.0,1.0,1,1,106,0.03607896528250511
r2_s_pct_w120_qt25_primary__d2__g2,4733,2935,0.6172404799165363,17536,17536,12803,4899,0,1.0,1.0,1,1,166,0.05650102110279102
r2_s_pct_w120_qt25_primary__d3__g0,2961,4707,0.38615023474178406,13992,13992,8070,5922,0,2.0,2.0,2,2,0,0.0
r2_s_pct_w120_qt25_primary__d3__g1,2961,4707,0.38615023474178406,13992,13992,8070,6053,0,2.0,2.0,2,2,98,0.020806794055201697
r2_s_pct_w120_qt25_primary__d3__g2,2961,4707,0.38615023474178406,13992,13992,8070,6127,0,2.0,2.0,2,2,155,0.032908704883227176
r2_s_pct_w250_q20_shared__d1__g0,4883,0,1.0,10853,10853,10853,0,0,0.0,0.0,0,0,0,
r2_s_pct_w250_q20_shared__d1__g1,4883,0,1.0,10853,10853,10853,0,0,0.0,0.0,0,0,0,
r2_s_pct_w250_q20_shared__d1__g2,4883,0,1.0,10853,10853,10853,0,0,0.0,0.0,0,0,0,
r2_s_pct_w250_q20_shared__d2__g0,2634,2248,0.5395329782875871,8604,8604,5970,2634,0,1.0,1.0,1,1,0,0.0
r2_s_pct_w250_q20_shared__d2__g1,2634,2248,0.5395329782875871,8604,8604,5970,2683,0,1.0,1.0,1,1,49,0.021787461093819474
r2_s_pct_w250_q20_shared__d2__g2,2634,2248,0.5395329782875871,8604,8604,5970,2714,0,1.0,1.0,1,1,80,0.035571365051133834
r2_s_pct_w250_q20_shared__d3__g0,1442,3440,0.29537074969274885,6220,6220,3336,2884,0,2.0,2.0,2,2,0,0.0
r2_s_pct_w250_q20_shared__d3__g1,1442,3440,0.29537074969274885,6220,6220,3336,2929,0,2.0,2.0,2,2,36,0.010462074978204011
r2_s_pct_w250_q20_shared__d3__g2,1442,3440,0.29537074969274885,6220,6220,3336,2965,0,2.0,2.0,2,2,63,0.018308631211857017
r2_s_pct_w250_qt25_primary__d1__g0,6957,0,1.0,18326,18326,18326,0,0,0.0,0.0,0,0,0,
