candidate_cell_id,qualified_event_count,natural_finalized_zone_count,quality_break_zone_count,right_censored_zone_count,component_count_mean,component_count_median,component_count_q90,component_count_q95,component_count_max,bridge_count_mean,bridge_count_median,bridge_count_q90,bridge_count_q95,bridge_count_max,zone_span_days_sum,duration_mean,duration_median,duration_q90,duration_q95,max_zone_span,confirmed_density,bridged_gap_count,bridged_day_count,raw_false_bridged_day_count,preconfirmation_gap_day_count,total_nonconfirmed_gap_day_count,bridged_day_ratio,raw_false_bridged_day_ratio,nonconfirmed_gap_ratio,max_single_gap,merge_ratio,zone_revision_count,top_zone_confirmed_day_share,open_event_ratio,mega_zone_concentration,active_zone_count,gap_pending_zone_count,reentry_pending_zone_count,confirmed_event_coverage,zone_span_coverage,events_per_security_mean,events_per_security_median,events_per_security_q90,events_per_security_max,events_per_year,nonzero_years,max_year_share,duration_q95_ratio
r2_s_pct_w120_q20_shared__d1__g0,5525,5522,3,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,12476,2.2580995475113124,2.0,4,6,18,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0014427701186277653,0.0,0.049615261301699264,0,0,0,0.007784208464047639,0.007784208464047639,7.11068211068211,7.0,11,17,502.27272727272725,11,0.1623529411764706,1.0
r2_s_pct_w120_q20_shared__d1__g1,5268,5263,5,0,1.0487851176917236,1.0,1,1,3,0.04878511769172361,0.0,0,0,2,13247,2.51461655277145,2.0,5,7,20,0.9417981429757681,257,257,257,514,771,0.0194006190080773,0.0194006190080773,0.058201857024231904,1,0.04726651480637813,257,0.0014427701186277653,0.0,0.0548048614780705,0,0,0,0.007784208464047639,0.008265262065023971,6.77992277992278,7.0,11,17,478.90909090909093,11,0.1611617312072893,1.1666666666666667
r2_s_pct_w120_q20_shared__d1__g2,5131,5124,7,0,1.0767881504580004,1.0,1,2,4,0.07678815045800039,0.0,0,1,3,13825,2.694406548431105,2.0,6,8,21,0.9024231464737794,394,531,531,818,1349,0.03840867992766727,0.03840867992766727,0.09757685352622061,2,0.07133112453712727,394,0.0014427701186277653,0.0,0.058010849909584085,0,0,0,0.007784208464047639,0.008625896282098318,6.603603603603603,7.0,10,17,466.45454545454544,11,0.1598129019684272,1.3333333333333333
r2_s_pct_w120_q20_shared__d2__g0,3013,3011,2,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,9964,3.3070029870560904,3.0,6,7,18,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0018065034122842231,0.0,0.03853873946206343,0,0,0,0.006216884669426954,0.006216884669426954,4.006648936170213,4.0,7,12,273.90909090909093,11,0.1742449385994026,1.1666666666666667
r2_s_pct_w120_q20_shared__d2__g1,2916,2912,4,0,1.0332647462277091,1.0,1,1,3,0.03326474622770919,0.0,0,0,2,10255,3.5168038408779148,3.0,6,8,20,0.9716235982447586,97,97,97,194,291,0.00945880058508045,0.00945880058508045,0.028376401755241344,1,0.03292181069958848,97,0.0018065034122842231,0.0,0.04134568503169186,0,0,0,0.006216884669426954,0.006398449647227359,3.877659574468085,4.0,7,12,265.09090909090907,11,0.1700960219478738,1.3333333333333333
r2_s_pct_w120_q20_shared__d2__g2,2868,2863,5,0,1.050557880055788,1.0,1,1,3,0.050557880055788006,0.0,0,0,2,10460,3.6471408647140864,3.0,7,9,21,0.9525812619502868,145,193,193,303,496,0.018451242829827914,0.018451242829827914,0.047418738049713194,2,0.04881450488145049,145,0.0018065034122842231,0.0,0.04378585086042065,0,0,0,0.006216884669426954,0.006526356246708745,3.8138297872340425,4.0,6,12,260.72727272727275,11,0.1691073919107392,1.5
r2_s_pct_w120_q20_shared__d3__g0,1682,1681,1,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,7302,4.341260404280618,4.0,7,8,18,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0024650780608052587,0.0,0.03177211722815667,0,0,0,0.004555970680063791,0.004555970680063791,2.5104477611940297,2.0,4,9,152.9090909090909,11,0.1807372175980975,1.3333333333333333
r2_s_pct_w120_q20_shared__d3__g1,1641,1638,3,0,1.0249847653869593,1.0,1,1,2,0.024984765386959172,0.0,0,0,1,7425,4.5246800731261425,4.0,7,9,18,0.9834343434343434,41,41,41,82,123,0.005521885521885522,0.005521885521885522,0.016565656565656565,1,0.024984765386959172,41,0.0024650780608052587,0.0,0.0338047138047138,0,0,0,0.004555970680063791,0.004632714639752622,2.4492537313432834,2.0,4,9,149.1818181818182,11,0.17794028031687995,1.5
r2_s_pct_w120_q20_shared__d3__g2,1628,1624,4,0,1.0331695331695332,1.0,1,1,3,0.033169533169533166,0.0,0,0,2,7481,4.5952088452088455,4.0,7,10,21,0.9760727175511296,54,67,67,112,179,0.008956021922202915,0.008956021922202915,0.023927282448870473,2,0.032555282555282554,54,0.0024650780608052587,0.0,0.03595775965779976,0,0,0,0.004555970680063791,0.004667654979123147,2.4298507462686567,2.0,4,9,148.0,11,0.1769041769041769,1.6666666666666667
r2_s_pct_w120_qt25_primary__d1__g0,7671,7665,6,0,1.0,1.0,1,1,1,0.0,0.0,0,0,0,20474,2.669013166471125,2.0,5,7,20,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.000976848686138517,0.0,0.04947738595291589,0,0,0,0.012774437647716524,0.012774437647716524,9.796934865900383,10.0,15,23,697.3636363636364,11,0.16621040281579977,1.0
