candidate_cell_id,metric_id,independent_value,production_value,status
r2_s_pct_w120_q20_shared__d1__g0,qualified_event_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,unique_securities,777,777,passed
r2_s_pct_w120_q20_shared__d1__g0,retained_confirmed_day_ratio,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,confirmed_event_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g0,retrospective_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g0,asof_qualified_confirmed_coverage,0.007784208464047639,0.007784208464047639,passed
r2_s_pct_w120_q20_shared__d1__g0,short_interval_drop_rate,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,bridged_day_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,merge_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,open_event_ratio,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,nonzero_years,11,11,passed
r2_s_pct_w120_q20_shared__d1__g0,max_year_share,0.1623529411764706,0.1623529411764706,passed
r2_s_pct_w120_q20_shared__d1__g0,duration_q95_ratio,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,qualified_component_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,unqualified_component_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,raw_false_bridged_day_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,preconfirmation_gap_day_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,total_nonconfirmed_gap_day_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_qualification,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_unqualified_close,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_event_creation,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_event_terminal,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_accepted_bridge_paths,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_rejected_reentry_paths,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,transition_event_entity_discontinuity_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_interval_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_duration_mean,2.2580995475113124,2.2580995475113124,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_duration_median,2.0,2.0,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_duration_q90,4,4,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_duration_q95,6,6,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_singleton_count,2512,2512,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_fragment_rate,0.4546606334841629,0.4546606334841629,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_natural_exit_count,5522,5522,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_quality_interruption_count,3,3,passed
r2_s_pct_w120_q20_shared__d1__g0,atomic_diag_right_censored_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_qualified_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_unqualified_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_qualification_rate,1.0,1.0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_qualified_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_retrospective_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_asof_days,12476,12476,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_prequalification_days,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_prequalification_right_censored,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_delay_mean,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_delay_median,0.0,0.0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_delay_q90,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_delay_q95,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_unqualified_reentry_count,0,0,passed
r2_s_pct_w120_q20_shared__d1__g0,component_diag_unqualified_reentry_rate,,,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_count,5525,5525,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_natural_count,5522,5522,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_quality_count,3,3,passed
r2_s_pct_w120_q20_shared__d1__g0,event_diag_right_censored_count,0,0,passed
